18:23:51:110,3.76,0.94,0.18
18:23:51:110,3.76,0.95,0.17
18:23:51:158,3.77,0.95,0.18
18:23:51:158,3.75,0.96,0.16
18:23:51:208,3.78,0.94,0.17
18:23:51:225,3.79,0.94,0.20
18:23:51:240,3.77,0.94,0.18
18:23:51:278,3.74,0.93,0.21
18:23:51:278,3.76,0.94,0.15
18:23:51:350,3.78,0.93,0.18
18:23:51:426,3.78,0.94,0.20
18:23:51:470,3.77,0.95,0.18
18:23:51:497,3.76,0.95,0.21
18:23:51:503,3.78,0.94,0.19
18:23:51:516,3.77,0.96,0.22
18:23:51:528,3.76,0.95,0.18
18:23:51:590,3.77,0.96,0.16
18:23:51:603,3.77,0.93,0.20
18:23:51:636,3.76,0.93,0.18
18:23:51:685,3.75,0.93,0.20
18:23:51:697,3.76,0.93,0.19
18:23:51:709,3.77,0.94,0.19
18:23:51:725,3.77,0.94,0.18
18:23:51:808,3.78,0.93,0.17
18:23:51:822,3.77,0.95,0.19
18:23:51:829,3.77,0.94,0.20
18:23:51:858,3.78,0.95,0.17
18:23:51:887,3.76,0.95,0.19
18:23:51:938,3.78,0.92,0.19
18:23:51:990,3.77,0.94,0.20
18:23:52:16,3.78,0.95,0.19
18:23:52:43,3.78,0.96,0.19
18:23:52:51,3.77,0.97,0.20
18:23:52:65,3.77,0.97,0.20
18:23:52:80,3.76,0.95,0.19
18:23:52:86,3.75,0.94,0.21
18:23:52:110,3.77,0.95,0.17
18:23:52:150,3.79,0.94,0.18
18:23:52:157,3.76,0.96,0.19
18:23:52:173,3.76,0.94,0.17
18:23:52:200,3.78,0.95,0.18
18:23:52:212,3.76,0.94,0.22
18:23:52:220,3.76,0.96,0.18
18:23:52:226,3.75,0.98,0.20
18:23:52:251,3.75,0.98,0.25
18:23:52:326,3.76,0.98,0.20
18:23:52:346,3.78,1.00,0.18
18:23:52:353,3.78,0.99,0.17
18:23:52:374,3.77,0.99,0.19
18:23:52:395,3.78,0.99,0.18
18:23:52:401,3.77,0.97,0.18
18:23:52:407,3.76,0.96,0.18
18:23:52:439,3.77,0.93,0.19
18:23:52:471,3.78,0.89,0.18
18:23:52:523,3.77,0.90,0.17
18:23:52:530,3.78,0.91,0.18
18:23:52:548,3.76,0.90,0.20
18:23:52:569,3.74,0.89,0.23
18:23:52:605,3.76,0.89,0.19
18:23:52:606,3.76,0.89,0.20
18:23:52:727,3.81,0.93,0.22
18:23:52:733,3.78,0.93,0.18
18:23:52:746,3.77,0.93,0.17
18:23:52:764,3.79,0.97,0.21
18:23:52:779,3.74,0.98,0.18
18:23:52:785,3.77,0.97,0.20
18:23:52:805,3.76,0.98,0.21
18:23:52:862,3.76,1.00,0.15
18:23:52:875,3.77,0.99,0.18
18:23:52:881,3.78,1.01,0.18
18:23:52:888,3.77,1.02,0.16
18:23:52:939,3.75,1.00,0.20
18:23:52:966,3.76,0.96,0.16
18:23:52:972,3.78,0.95,0.14
18:23:52:983,3.75,0.95,0.16
18:23:53:51,3.78,0.95,0.17
18:23:53:60,3.76,0.92,0.17
18:23:53:66,3.75,0.94,0.17
18:23:53:73,3.77,0.94,0.18
18:23:53:92,3.78,0.94,0.17
18:23:53:107,3.75,0.96,0.20
18:23:53:124,3.75,0.98,0.19
18:23:53:146,3.75,0.96,0.17
18:23:53:240,3.77,0.96,0.18
18:23:53:246,3.79,1.00,0.18
18:23:53:259,3.77,0.95,0.16
18:23:53:274,3.77,0.93,0.16
18:23:53:337,3.75,0.91,0.19
18:23:53:362,3.72,0.84,0.16
18:23:53:387,3.76,0.81,0.16
18:23:53:431,3.76,0.81,0.18
18:23:53:456,3.72,0.73,0.19
18:23:53:469,3.74,0.70,0.24
18:23:53:477,3.79,0.69,0.25
18:23:53:500,3.74,0.70,0.19
18:23:53:502,3.76,0.80,0.20
18:23:53:515,3.75,0.81,0.14
18:23:53:520,3.78,0.81,0.13
18:23:53:585,3.77,0.83,0.10
18:23:53:590,3.79,0.88,0.14
18:23:53:600,3.76,0.93,0.15
18:23:53:620,3.74,0.88,0.12
18:23:53:620,3.77,0.88,0.15
18:23:53:633,3.79,0.87,0.10
18:23:53:651,3.79,0.95,0.12
18:23:53:680,3.67,0.96,0.10
18:23:53:700,3.57,0.97,0.07
18:23:53:720,3.57,1.01,0.09
18:23:53:764,3.83,1.03,0.03
18:23:53:780,4.04,0.91,-0.02
18:23:53:800,4.06,0.96,-0.07
18:23:53:859,4.02,1.08,-0.04
18:23:53:875,4.06,1.12,-0.05
18:23:53:942,3.97,1.16,-0.02
18:23:54:0,3.83,1.11,0.01
18:23:54:0,3.73,1.04,0.05
18:23:54:35,3.73,1.06,0.10
18:23:54:52,3.78,1.04,0.11
18:23:54:57,3.83,0.97,0.14
18:23:54:75,3.84,0.87,0.07
18:23:54:147,3.82,0.85,0.08
18:23:54:164,3.80,0.86,0.04
18:23:54:183,3.78,0.84,0.02
18:23:54:202,3.80,0.80,0.03
18:23:54:297,3.80,0.84,0.05
18:23:54:313,3.81,0.81,0.02
18:23:54:331,3.86,0.87,0.05
18:23:54:333,3.82,0.74,0.08
18:23:54:373,3.83,0.74,0.08
18:23:54:381,4.00,0.63,0.03
18:23:54:381,4.22,0.62,0.04
18:23:54:422,4.37,0.54,0.03
18:23:54:489,4.88,0.34,0.01
18:23:54:498,5.43,-0.29,-0.32
18:23:54:538,5.14,0.03,-0.34
18:23:54:559,4.60,0.31,-0.15
18:23:54:593,4.40,0.30,0.08
18:23:54:611,3.58,0.09,0.19
18:23:54:697,2.87,-0.13,0.22
18:23:54:713,2.94,-0.23,0.28
18:23:54:713,3.33,-0.24,0.34
18:23:54:729,3.75,-0.25,0.37
18:23:54:750,3.91,-0.30,0.28
18:23:54:782,3.67,-0.15,0.35
18:23:54:851,3.31,0.15,0.41
18:23:54:867,3.07,0.28,0.49
18:23:54:888,3.01,0.48,0.49
18:23:54:906,3.00,0.59,0.49
18:23:54:906,3.17,0.74,0.63
18:23:54:954,3.23,0.79,0.58
18:23:54:954,3.28,0.80,0.51
18:23:54:990,3.33,0.88,0.49
18:23:54:990,3.43,0.95,0.46
18:23:55:22,3.67,1.00,0.41
18:23:55:40,4.04,1.03,0.41
18:23:55:40,4.24,1.11,0.33
18:23:55:57,4.27,1.23,0.24
18:23:55:93,4.44,1.39,0.24
18:23:55:93,4.85,1.63,0.34
18:23:55:176,5.69,2.08,0.58
18:23:55:228,5.72,2.52,0.59
18:23:55:228,4.87,2.48,0.37
18:23:55:246,4.22,2.25,0.32
18:23:55:246,3.97,1.92,0.41
18:23:55:261,3.97,1.57,0.27
18:23:55:278,4.30,1.25,0.01
18:23:55:278,4.78,0.84,-0.19
18:23:55:294,5.10,0.21,-0.35
18:23:55:313,4.83,0.04,-0.45
18:23:55:381,4.39,0.04,-0.52
18:23:55:381,4.17,0.33,-0.47
18:23:55:401,4.19,0.42,-0.44
18:23:55:401,4.18,0.35,-0.39
18:23:55:417,4.07,0.43,-0.37
18:23:55:417,3.76,0.51,-0.29
18:23:55:436,3.50,0.38,-0.31
18:23:55:454,3.46,0.44,-0.20
18:23:55:471,3.62,0.55,0.00
18:23:55:471,3.62,0.46,0.02
18:23:55:501,3.51,0.39,0.07
18:23:55:520,3.40,0.43,0.13
18:23:55:555,3.54,0.52,0.22
18:23:55:588,3.94,0.54,0.37
18:23:55:588,4.77,0.38,0.14
18:23:55:605,5.01,0.16,-0.07
18:23:55:605,4.82,0.41,0.13
18:23:55:623,4.76,0.88,0.41
18:23:55:623,4.86,1.25,0.72
18:23:55:639,5.06,1.42,0.90
18:23:55:655,5.00,1.20,0.83
18:23:55:725,4.73,0.63,0.49
18:23:55:741,4.20,0.64,0.49
18:23:55:773,3.77,0.33,0.36
18:23:55:791,3.42,0.55,0.22
18:23:55:808,3.34,1.04,0.65
18:23:55:808,3.37,1.15,0.41
18:23:55:825,3.40,1.25,0.30
18:23:55:825,3.38,1.36,0.38
18:23:55:842,3.25,1.40,0.37
18:23:55:859,3.22,1.42,0.37
18:23:55:875,3.50,1.37,0.30
18:23:55:908,4.16,1.35,0.11
18:23:55:926,4.71,1.48,-0.07
18:23:55:943,4.87,1.77,-0.30
18:23:55:959,4.75,2.12,-0.23
18:23:55:991,4.76,2.45,0.09
18:23:56:26,5.12,2.56,0.21
18:23:56:61,5.03,2.37,0.27
18:23:56:94,4.60,2.25,0.22
18:23:56:112,4.34,2.30,0.22
18:23:56:112,4.45,2.20,0.28
18:23:56:130,4.59,1.96,0.23
18:23:56:146,4.82,1.72,0.11
18:23:56:199,5.11,1.80,0.04
18:23:56:199,5.36,1.44,-0.19
18:23:56:248,5.41,0.58,-0.33
18:23:56:292,5.03,0.02,-0.52
18:23:56:292,4.84,-0.07,-0.67
18:23:56:292,4.83,0.16,-0.62
18:23:56:343,4.82,0.39,-0.51
18:23:56:474,4.55,0.47,-0.48
18:23:56:474,4.15,0.32,-0.47
18:23:56:490,3.75,0.25,-0.38
18:23:56:492,3.52,0.20,-0.27
18:23:56:507,3.35,0.32,-0.24
18:23:56:507,3.22,0.48,-0.08
18:23:56:527,3.24,0.46,-0.09
18:23:56:545,3.20,0.47,0.04
18:23:56:555,3.59,0.53,0.33
18:23:56:564,4.17,0.23,0.12
18:23:56:638,4.31,-0.00,-0.14
18:23:56:638,4.69,0.31,0.06
18:23:56:655,5.14,0.66,0.26
18:23:56:655,5.43,0.92,0.56
18:23:56:682,5.70,1.27,0.96
18:23:56:734,5.87,1.36,1.11
18:23:56:734,5.37,1.51,1.02
18:23:56:751,4.66,1.37,0.82
18:23:56:821,4.17,0.90,0.60
18:23:56:822,3.73,0.91,0.37
18:23:56:822,3.43,1.42,0.34
18:23:56:858,3.40,1.50,0.33
18:23:56:890,3.67,1.44,0.28
18:23:56:891,3.97,1.46,0.36
18:23:56:926,3.93,1.37,0.22
18:23:56:942,3.73,1.29,0.14
18:23:57:15,3.83,1.48,0.23
