18:21:25:88,3.81,0.79,0.16
18:21:25:88,3.78,0.80,0.16
18:21:25:109,3.80,0.81,0.14
18:21:25:125,3.82,0.83,0.16
18:21:25:145,3.78,0.81,0.15
18:21:25:228,3.82,0.83,0.13
18:21:25:263,3.79,0.83,0.17
18:21:25:289,3.81,0.83,0.15
18:21:25:342,3.79,0.82,0.16
18:21:25:358,3.81,0.82,0.15
18:21:25:424,3.83,0.80,0.12
18:21:25:456,3.80,0.82,0.14
18:21:25:463,3.79,0.82,0.14
18:21:25:469,3.79,0.83,0.16
18:21:25:509,3.82,0.82,0.17
18:21:25:522,3.83,0.82,0.15
18:21:25:528,3.78,0.76,0.15
18:21:25:550,3.77,0.83,0.12
18:21:25:556,3.79,0.81,0.12
18:21:25:626,3.81,0.81,0.13
18:21:25:647,3.84,0.81,0.14
18:21:25:682,3.83,0.84,0.13
18:21:25:688,3.82,0.85,0.12
18:21:25:723,3.79,0.83,0.12
18:21:25:736,3.83,0.82,0.12
18:21:25:786,3.82,0.79,0.15
18:21:25:831,3.82,0.79,0.16
18:21:25:910,3.83,0.80,0.12
18:21:25:947,3.81,0.77,0.14
18:21:25:983,3.82,0.76,0.12
18:21:26:10,3.78,0.79,0.15
18:21:26:20,3.80,0.79,0.15
18:21:26:51,3.81,0.78,0.13
18:21:26:63,3.79,0.80,0.13
18:21:26:76,3.79,0.84,0.13
18:21:26:82,3.79,0.84,0.10
18:21:26:153,3.81,0.81,0.10
18:21:26:163,3.80,0.82,0.10
18:21:26:172,3.81,0.82,0.12
18:21:26:178,3.81,0.83,0.11
18:21:26:197,3.81,0.78,0.13
18:21:26:205,3.81,0.78,0.12
18:21:26:211,3.82,0.76,0.11
18:21:26:229,3.82,0.75,0.13
18:21:26:242,3.82,0.74,0.16
18:21:26:261,3.81,0.73,0.13
18:21:26:282,3.81,0.73,0.13
18:21:26:371,3.80,0.77,0.13
18:21:26:431,3.81,0.78,0.11
18:21:26:455,3.80,0.80,0.11
18:21:26:504,3.81,0.81,0.14
18:21:26:553,3.80,0.84,0.12
18:21:26:559,3.80,0.82,0.11
18:21:26:567,3.81,0.84,0.09
18:21:26:581,3.80,0.87,0.12
18:21:26:637,3.80,0.83,0.10
18:21:26:695,3.78,0.84,0.11
18:21:26:708,3.78,0.86,0.12
18:21:26:739,3.79,0.83,0.09
18:21:26:753,3.81,0.84,0.11
18:21:26:762,3.79,0.83,0.10
18:21:26:787,3.77,0.84,0.15
18:21:26:813,3.80,0.82,0.13
18:21:26:846,3.79,0.81,0.09
18:21:26:871,3.79,0.80,0.10
18:21:26:879,3.78,0.78,0.14
18:21:26:894,3.80,0.79,0.13
18:21:26:909,3.82,0.83,0.16
18:21:26:942,3.80,0.87,0.18
18:21:26:948,3.82,0.86,0.12
18:21:26:963,3.82,0.89,0.14
18:21:26:978,3.82,0.87,0.12
18:21:27:0,3.82,0.80,0.12
18:21:27:60,3.81,0.75,0.12
18:21:27:77,3.81,0.71,0.09
18:21:27:86,3.80,0.70,0.08
18:21:27:94,3.82,0.69,0.07
18:21:27:101,3.81,0.64,0.06
18:21:27:131,3.83,0.62,0.09
18:21:27:145,3.80,0.56,0.08
18:21:27:243,3.81,0.58,0.05
18:21:27:291,3.81,0.66,0.11
18:21:27:318,3.88,0.71,0.09
18:21:27:322,3.85,0.75,0.13
18:21:27:331,3.86,0.73,0.13
18:21:27:412,3.87,0.67,0.13
18:21:27:421,3.81,0.67,0.10
18:21:27:429,3.82,0.66,0.10
18:21:27:444,3.82,0.64,0.09
18:21:27:467,3.77,0.62,0.06
18:21:27:489,3.78,0.63,0.01
18:21:27:499,3.80,0.65,0.06
18:21:27:549,3.83,0.65,0.07
18:21:27:549,3.72,0.62,0.04
18:21:27:578,3.68,0.59,0.00
18:21:27:608,3.76,0.57,-0.04
18:21:27:678,3.77,0.60,-0.00
18:21:27:687,3.74,0.64,0.05
18:21:27:749,3.68,0.61,0.03
18:21:27:819,3.73,0.58,0.10
18:21:27:841,3.81,0.53,0.08
18:21:27:848,3.79,0.47,0.11
18:21:27:882,3.83,0.43,0.07
18:21:27:898,3.98,0.48,0.04
18:21:27:962,4.12,0.63,0.03
18:21:27:962,4.11,0.89,0.01
18:21:27:979,4.10,1.00,0.02
18:21:27:997,3.98,1.00,-0.02
18:21:28:15,3.93,0.91,0.02
18:21:28:15,3.92,0.97,0.06
18:21:28:15,3.81,0.98,0.08
18:21:28:34,3.69,0.95,0.09
18:21:28:51,3.68,0.97,0.11
18:21:28:51,3.69,0.99,0.14
18:21:28:51,3.74,0.89,0.04
18:21:28:102,3.78,0.89,0.02
18:21:28:102,3.89,0.91,0.02
18:21:28:119,3.96,0.85,-0.05
18:21:28:139,3.92,0.77,-0.05
18:21:28:191,3.92,0.75,-0.08
18:21:28:210,3.98,0.75,-0.04
18:21:28:283,4.09,0.77,-0.08
18:21:28:283,4.21,0.69,-0.15
18:21:28:301,4.33,0.68,-0.08
18:21:28:319,4.58,0.49,-0.07
18:21:28:337,4.74,0.37,-0.19
18:21:28:353,4.68,0.44,-0.13
18:21:28:371,4.64,0.57,0.00
18:21:28:371,5.02,0.13,-0.12
18:21:28:388,4.33,0.21,-0.06
18:21:28:406,3.43,0.41,0.37
18:21:28:424,3.13,0.02,0.72
18:21:28:424,3.36,-1.37,1.18
18:21:28:602,3.58,-2.10,1.33
18:21:28:672,3.71,-2.24,1.14
18:21:28:691,3.94,-1.69,1.25
18:21:28:691,3.98,-1.13,1.21
18:21:28:706,3.94,-0.68,1.26
18:21:28:716,3.76,-0.28,1.14
18:21:28:723,3.55,0.03,0.99
18:21:28:760,3.51,0.28,0.86
18:21:28:766,3.43,0.43,0.70
18:21:28:772,3.35,0.55,0.62
18:21:28:781,3.29,0.76,0.56
18:21:28:788,3.33,0.92,0.33
18:21:28:839,3.48,1.03,0.14
18:21:28:857,3.54,1.20,0.05
18:21:28:873,3.60,1.43,-0.15
18:21:28:873,3.86,1.73,-0.46
18:21:28:892,3.86,2.34,-0.69
18:21:28:909,3.73,2.74,-0.70
18:21:28:909,3.51,2.69,-0.34
18:21:28:909,4.19,2.52,-0.19
18:21:28:924,5.38,2.42,-0.29
18:21:28:957,5.92,2.31,-0.27
18:21:29:24,5.70,2.45,-0.38
