16:31:23:304,3.85,0.27,-1.11
16:31:23:362,3.86,0.27,-1.09
16:31:23:362,3.88,0.28,-1.12
16:31:23:362,3.87,0.28,-1.12
16:31:23:362,3.88,0.27,-1.11
16:31:23:362,3.88,0.28,-1.13
16:31:23:439,3.85,0.28,-1.11
16:31:23:652,3.86,0.28,-1.14
16:31:23:652,3.86,0.26,-1.10
16:31:23:652,3.87,0.27,-1.13
16:31:23:652,3.86,0.28,-1.15
16:31:23:652,3.86,0.26,-1.13
16:31:23:879,3.86,0.26,-1.16
16:31:23:879,3.87,0.26,-1.12
16:31:23:879,3.87,0.26,-1.11
16:31:23:879,3.86,0.24,-1.16
16:31:24:7,3.86,0.24,-1.15
16:31:24:7,3.87,0.27,-1.17
16:31:24:7,3.85,0.25,-1.18
16:31:24:7,3.86,0.25,-1.19
16:31:24:7,3.87,0.23,-1.16
16:31:24:36,3.85,0.24,-1.19
16:31:24:70,3.89,0.25,-1.17
16:31:24:223,3.87,0.26,-1.17
16:31:24:223,3.85,0.26,-1.15
16:31:24:223,3.84,0.27,-1.17
16:31:24:223,3.86,0.26,-1.13
16:31:24:238,3.86,0.25,-1.15
16:31:24:330,3.87,0.26,-1.15
16:31:24:719,3.85,0.27,-1.18
16:31:24:719,3.87,0.24,-1.17
16:31:24:719,3.88,0.25,-1.16
16:31:25:50,3.89,0.15,-1.18
16:31:25:50,3.91,0.23,-1.17
16:31:25:50,3.87,0.29,-1.12
16:31:25:50,3.83,0.29,-1.10
16:31:25:205,3.84,0.29,-1.13
16:31:25:271,3.85,0.24,-1.13
16:31:25:489,3.86,0.26,-1.12
16:31:25:601,3.88,0.29,-1.19
16:31:25:601,3.86,0.28,-1.19
16:31:25:652,3.87,0.26,-1.18
16:31:25:652,3.86,0.27,-1.21
16:31:25:692,3.87,0.23,-1.17
16:31:25:807,3.87,0.24,-1.20
16:31:25:807,3.88,0.21,-1.16
16:31:25:807,3.84,0.19,-1.15
16:31:25:807,3.85,0.17,-1.17
16:31:25:947,3.85,0.22,-1.13
16:31:25:947,3.88,0.24,-1.17
16:31:26:7,3.86,0.22,-1.15
16:31:26:7,3.86,0.23,-1.14
16:31:26:7,3.86,0.19,-1.13
16:31:26:7,3.89,0.21,-1.14
16:31:26:7,3.87,0.23,-1.14
16:31:26:7,3.86,0.24,-1.15
16:31:26:7,3.88,0.25,-1.12
16:31:26:343,3.89,0.21,-1.09
16:31:26:343,3.86,0.23,-1.10
16:31:26:343,3.87,0.23,-1.10
16:31:26:343,3.86,0.27,-1.06
16:31:26:343,3.86,0.25,-1.07
16:31:26:343,3.87,0.24,-1.08
16:31:26:343,3.87,0.24,-1.05
16:31:26:715,3.88,0.26,-1.05
16:31:26:715,3.88,0.27,-1.06
16:31:26:715,3.86,0.25,-1.04
16:31:26:715,3.86,0.22,-1.01
16:31:26:715,3.86,0.23,-1.02
16:31:26:715,3.88,0.27,-1.05
16:31:26:715,3.87,0.27,-1.04
16:31:26:751,3.88,0.28,-1.04
16:31:26:751,3.88,0.25,-1.04
16:31:26:751,3.87,0.24,-1.04
16:31:26:751,3.88,0.28,-1.03
16:31:26:807,3.87,0.26,-1.04
16:31:26:913,3.86,0.28,-1.00
16:31:26:913,3.87,0.29,-1.04
16:31:26:913,3.88,0.29,-1.03
16:31:26:913,3.89,0.30,-1.02
16:31:26:913,3.87,0.26,-1.04
16:31:26:913,3.89,0.27,-1.04
16:31:26:913,3.88,0.29,-1.02
16:31:26:966,3.87,0.29,-1.03
16:31:26:966,3.88,0.29,-1.03
16:31:26:966,3.86,0.28,-1.04
16:31:26:966,3.87,0.27,-1.04
16:31:26:966,3.86,0.28,-1.05
16:31:26:966,3.87,0.27,-1.08
16:31:27:20,3.89,0.28,-1.03
16:31:27:20,3.87,0.27,-1.04
16:31:27:20,3.85,0.29,-1.06
16:31:27:20,3.89,0.29,-1.08
16:31:27:20,3.88,0.29,-1.06
16:31:27:20,3.89,0.30,-1.06
16:31:27:20,3.89,0.30,-1.06
16:31:27:39,3.88,0.28,-1.05
16:31:27:39,3.88,0.27,-1.07
16:31:27:39,3.87,0.29,-1.07
16:31:27:39,3.88,0.29,-1.08
16:31:27:39,3.87,0.27,-1.06
16:31:27:39,3.88,0.29,-1.07
16:31:27:39,3.88,0.26,-1.09
16:31:27:73,3.88,0.28,-1.09
16:31:27:73,3.87,0.28,-1.09
16:31:27:73,3.88,0.28,-1.09
16:31:27:73,3.87,0.29,-1.12
16:31:27:73,3.85,0.27,-1.08
16:31:27:73,3.88,0.27,-1.06
16:31:27:73,3.88,0.29,-1.10
16:31:27:73,3.87,0.27,-1.09
16:31:27:73,3.86,0.28,-1.10
