17:46:12:289,3.80,0.24,-1.48
17:46:12:289,3.78,0.24,-1.47
17:46:12:305,3.77,0.22,-1.47
17:46:12:320,3.78,0.21,-1.49
17:46:12:352,3.79,0.22,-1.46
17:46:12:436,3.78,0.20,-1.48
17:46:12:457,3.78,0.21,-1.48
17:46:12:473,3.79,0.21,-1.50
17:46:12:536,3.77,0.22,-1.48
17:46:12:567,3.76,0.20,-1.51
17:46:12:567,3.77,0.20,-1.52
17:46:12:567,3.78,0.20,-1.52
17:46:12:589,3.79,0.21,-1.48
17:46:12:610,3.78,0.21,-1.51
17:46:12:610,3.78,0.20,-1.50
17:46:12:610,3.79,0.20,-1.52
17:46:12:626,3.80,0.20,-1.50
17:46:12:642,3.79,0.21,-1.48
17:46:12:673,3.79,0.20,-1.50
17:46:12:710,3.79,0.19,-1.50
17:46:12:756,3.78,0.21,-1.48
17:46:12:829,3.79,0.20,-1.48
17:46:12:849,3.78,0.19,-1.48
17:46:12:881,3.79,0.21,-1.50
17:46:12:905,3.79,0.18,-1.50
17:46:12:929,3.77,0.19,-1.50
17:46:12:989,3.78,0.20,-1.48
17:46:12:989,3.78,0.20,-1.50
17:46:12:999,3.78,0.17,-1.51
17:46:13:11,3.78,0.17,-1.48
17:46:13:16,3.77,0.19,-1.51
17:46:13:32,3.78,0.17,-1.51
17:46:13:49,3.78,0.19,-1.52
17:46:13:199,3.80,0.20,-1.51
17:46:13:251,3.78,0.19,-1.50
17:46:13:259,3.77,0.18,-1.46
17:46:13:264,3.78,0.18,-1.49
17:46:13:264,3.78,0.20,-1.53
17:46:13:381,3.79,0.20,-1.49
17:46:13:381,3.78,0.19,-1.53
17:46:13:449,3.78,0.18,-1.50
17:46:13:549,3.79,0.18,-1.49
17:46:13:549,3.80,0.17,-1.47
17:46:13:611,3.79,0.17,-1.51
17:46:13:611,3.78,0.18,-1.52
17:46:13:649,3.78,0.19,-1.51
17:46:13:649,3.77,0.16,-1.50
17:46:13:781,3.76,0.19,-1.46
17:46:13:854,3.79,0.19,-1.51
17:46:13:951,3.77,0.19,-1.51
17:46:14:3,3.79,0.18,-1.52
17:46:14:44,3.79,0.17,-1.51
17:46:14:349,3.77,0.17,-1.50
17:46:14:349,3.78,0.18,-1.53
17:46:14:349,3.77,0.17,-1.52
17:46:14:349,3.75,0.17,-1.51
17:46:14:462,3.79,0.18,-1.52
17:46:14:462,3.78,0.18,-1.52
17:46:14:489,3.79,0.19,-1.51
17:46:14:659,3.76,0.18,-1.53
17:46:14:659,3.78,0.18,-1.52
17:46:14:659,3.78,0.19,-1.54
17:46:14:659,3.79,0.18,-1.53
17:46:14:659,3.77,0.17,-1.53
17:46:14:680,3.76,0.17,-1.50
