19:9:56:420,3.53,0.22,-1.72
19:9:56:420,3.57,0.12,-1.71
19:9:56:420,3.59,0.09,-1.76
19:9:56:420,3.72,0.01,-1.72
19:9:56:420,3.73,0.00,-1.55
19:9:56:420,3.80,-0.06,-1.51
19:9:56:420,3.84,0.07,-1.39
19:9:56:440,3.83,0.07,-1.50
19:9:56:440,3.84,0.21,-1.62
19:9:56:440,3.65,0.21,-1.44
19:9:56:440,3.97,0.16,-1.25
19:9:56:440,3.63,0.26,-1.63
19:9:56:440,3.85,0.51,-1.25
19:9:56:440,3.64,0.63,-0.96
19:9:56:440,3.58,0.68,-1.05
19:9:56:440,3.34,0.63,-0.98
19:9:56:440,3.53,0.68,-1.09
19:9:56:440,3.33,0.72,-1.21
19:9:56:440,3.24,0.83,-1.21
19:9:56:440,3.42,0.91,-1.06
19:9:56:565,3.62,0.85,-0.99
19:9:56:565,3.77,0.76,-0.85
19:9:56:565,3.80,0.57,-0.93
19:9:56:565,3.85,0.60,-0.75
19:9:56:565,3.77,0.55,-0.80
19:9:56:565,3.88,0.43,-0.88
19:9:56:565,3.93,0.50,-0.72
19:9:56:928,3.74,0.24,-1.10
19:9:56:928,3.89,0.24,-1.06
19:9:56:928,3.57,0.28,-0.53
19:9:56:928,3.84,-0.50,-1.36
19:9:56:928,4.94,-0.89,-1.43
19:9:56:928,4.39,-0.05,-1.44
19:9:56:928,3.34,0.42,-1.47
19:9:57:173,3.22,-0.28,-1.37
19:9:57:173,3.45,-0.82,-1.49
19:9:57:173,3.58,-0.61,-1.41
19:9:57:173,3.35,-0.78,-1.83
19:9:57:173,3.32,-0.63,-1.78
19:9:57:173,3.33,-0.35,-1.82
19:9:57:268,4.43,-0.04,-0.87
19:9:57:268,4.31,0.07,-1.19
19:9:57:268,3.05,0.11,-1.05
19:9:57:268,3.68,-0.07,-1.44
19:9:57:268,3.67,-0.36,-1.35
19:9:57:268,3.61,-0.65,-1.69
19:9:57:268,3.34,-0.60,-1.69
19:9:57:293,3.28,-0.49,-1.84
19:9:57:293,3.47,-0.40,-1.78
19:9:57:293,3.30,-0.36,-1.92
19:9:57:293,3.31,-0.54,-1.83
19:9:57:293,3.40,-0.48,-1.66
19:9:57:293,3.77,-0.43,-1.68
19:9:57:293,3.67,-0.07,-1.92
19:9:57:348,3.67,0.28,-1.83
19:9:57:348,3.83,-0.16,-1.48
19:9:57:348,3.86,-0.05,-1.49
19:9:57:348,4.05,0.06,-1.09
19:9:57:348,3.86,0.36,-1.13
19:9:57:348,3.92,0.26,-1.33
19:9:57:348,4.04,0.62,-1.43
19:9:57:509,3.70,0.71,-1.45
19:9:57:509,3.25,0.58,-1.61
19:9:57:509,3.41,0.52,-1.41
19:9:57:509,3.47,0.35,-1.48
19:9:57:509,3.54,0.40,-1.49
19:9:57:509,3.51,0.48,-1.34
19:9:57:509,3.48,0.51,-1.64
19:9:57:658,3.37,0.47,-1.69
19:9:57:658,3.39,0.26,-1.82
19:9:57:658,3.64,0.21,-1.87
19:9:57:658,3.62,0.29,-1.80
19:9:57:658,3.77,0.26,-1.48
19:9:57:658,3.72,0.10,-1.70
19:9:57:658,3.68,0.23,-1.61
19:9:58:238,3.66,0.25,-1.71
19:9:58:238,3.61,0.33,-1.47
19:9:58:238,3.52,0.35,-1.52
19:9:58:238,3.63,0.31,-1.42
19:9:58:238,3.63,0.21,-1.55
19:9:58:238,3.72,0.24,-1.60
19:9:58:238,3.59,0.18,-1.59
19:9:58:438,3.42,0.03,-1.67
19:9:58:438,3.42,-0.06,-1.68
19:9:58:438,3.44,-0.06,-1.62
19:9:58:438,3.46,0.04,-1.56
19:9:58:438,3.45,0.15,-1.46
19:9:58:438,3.48,0.20,-1.52
19:9:58:438,3.62,0.23,-1.53
19:9:58:538,3.70,0.26,-1.59
19:9:58:538,3.68,0.31,-1.55
19:9:58:538,3.60,0.14,-1.55
19:9:58:538,3.55,0.08,-1.52
19:9:58:538,3.71,0.31,-1.52
