15:7:21:432,3.85,0.36,-0.31
15:7:21:500,3.85,0.43,-0.27
15:7:21:569,3.79,0.47,-0.31
15:7:21:619,3.76,0.53,-0.37
15:7:21:688,3.77,0.58,-0.38
15:7:21:711,3.79,0.62,-0.40
15:7:21:726,3.80,0.68,-0.43
15:7:21:757,3.83,0.67,-0.42
15:7:21:765,3.84,0.70,-0.40
15:7:21:775,3.87,0.66,-0.42
15:7:21:775,3.85,0.65,-0.40
15:7:21:775,3.87,0.65,-0.36
15:7:21:784,3.85,0.63,-0.29
15:7:21:789,3.89,0.60,-0.28
15:7:21:802,3.88,0.58,-0.27
15:7:21:893,3.88,0.59,-0.27
15:7:21:893,3.88,0.57,-0.24
15:7:21:901,3.88,0.58,-0.27
15:7:21:901,3.86,0.54,-0.25
15:7:21:901,3.90,0.49,-0.30
15:7:21:901,3.84,0.52,-0.35
15:7:21:936,3.84,0.58,-0.35
15:7:21:950,3.82,0.67,-0.31
15:7:21:956,3.79,0.68,-0.33
15:7:21:986,3.83,0.62,-0.32
15:7:22:36,3.92,0.52,-0.32
15:7:22:36,3.85,0.50,-0.42
15:7:22:50,3.86,0.55,-0.34
15:7:22:115,3.84,0.67,-0.28
15:7:22:124,3.80,0.70,-0.28
15:7:22:147,3.83,0.67,-0.28
15:7:22:157,3.83,0.62,-0.32
15:7:22:165,3.87,0.58,-0.34
15:7:22:215,3.87,0.62,-0.35
15:7:22:260,3.88,0.62,-0.34
15:7:22:298,3.83,0.64,-0.32
15:7:22:331,3.85,0.63,-0.34
15:7:22:389,3.88,0.60,-0.33
15:7:22:399,3.87,0.59,-0.35
15:7:22:427,3.88,0.53,-0.30
15:7:22:450,3.83,0.54,-0.28
15:7:22:450,3.81,0.58,-0.33
15:7:22:494,3.83,0.58,-0.31
15:7:22:494,3.86,0.59,-0.31
15:7:22:504,3.85,0.60,-0.32
15:7:22:513,3.84,0.63,-0.32
15:7:22:564,3.83,0.59,-0.30
15:7:22:588,3.81,0.61,-0.31
15:7:22:629,3.83,0.65,-0.26
15:7:22:666,3.85,0.70,-0.28
15:7:22:666,3.85,0.70,-0.25
15:7:22:759,3.88,0.70,-0.26
15:7:22:803,3.85,0.67,-0.24
15:7:22:960,3.85,0.66,-0.25
15:7:22:967,3.84,0.68,-0.27
15:7:22:967,3.90,0.69,-0.23
15:7:22:985,3.89,0.65,-0.28
15:7:22:991,3.82,0.64,-0.31
15:7:23:27,3.82,0.62,-0.30
15:7:23:43,3.81,0.62,-0.27
15:7:23:159,3.82,0.60,-0.31
15:7:23:174,3.83,0.59,-0.29
15:7:23:194,3.82,0.64,-0.27
15:7:23:229,3.85,0.64,-0.26
15:7:23:304,3.86,0.66,-0.24
15:7:23:333,3.86,0.64,-0.29
15:7:23:333,3.84,0.70,-0.26
15:7:23:341,3.85,0.69,-0.26
15:7:23:358,3.88,0.67,-0.25
15:7:23:358,3.87,0.65,-0.25
15:7:23:358,3.87,0.69,-0.25
15:7:23:358,3.83,0.69,-0.29
15:7:23:425,3.81,0.68,-0.30
15:7:23:425,3.83,0.67,-0.31
15:7:23:425,3.82,0.64,-0.29
15:7:23:483,3.85,0.63,-0.31
15:7:23:483,3.87,0.64,-0.27
15:7:23:531,3.88,0.60,-0.28
15:7:23:531,3.87,0.60,-0.29
15:7:23:531,3.86,0.58,-0.30
15:7:23:541,3.85,0.58,-0.28
15:7:23:590,3.82,0.55,-0.30
15:7:23:630,3.85,0.55,-0.33
15:7:23:656,3.84,0.55,-0.32
15:7:23:664,3.84,0.56,-0.37
15:7:23:673,3.84,0.58,-0.34
15:7:23:673,3.86,0.59,-0.35
15:7:23:673,3.86,0.60,-0.33
15:7:23:683,3.86,0.56,-0.36
15:7:23:690,3.85,0.55,-0.31
15:7:23:697,3.84,0.56,-0.29
15:7:23:705,3.81,0.56,-0.30
15:7:23:731,3.87,0.59,-0.26
15:7:23:731,3.88,0.61,-0.30
15:7:23:731,3.88,0.61,-0.30
15:7:23:758,3.87,0.59,-0.31
15:7:23:770,3.86,0.62,-0.32
15:7:23:770,3.85,0.63,-0.28
15:7:23:795,3.83,0.61,-0.34
15:7:23:795,3.83,0.63,-0.32
15:7:23:820,3.84,0.63,-0.32
15:7:23:820,3.82,0.62,-0.30
15:7:23:845,3.84,0.61,-0.31
15:7:23:845,3.85,0.60,-0.29
15:7:23:898,3.86,0.62,-0.31
15:7:23:925,3.85,0.62,-0.29
15:7:23:941,3.85,0.61,-0.27
15:7:23:951,3.87,0.61,-0.28
15:7:23:951,3.84,0.62,-0.30
15:7:24:16,3.84,0.63,-0.31
15:7:24:104,3.83,0.64,-0.33
15:7:24:120,3.84,0.63,-0.32
15:7:24:129,3.85,0.62,-0.31
15:7:24:191,3.84,0.63,-0.34
15:7:24:234,3.84,0.62,-0.33
15:7:24:250,3.87,0.62,-0.32
15:7:24:250,3.85,0.58,-0.30
15:7:24:270,3.85,0.59,-0.33
15:7:24:287,3.84,0.59,-0.31
15:7:24:305,3.87,0.57,-0.31
15:7:24:321,3.88,0.56,-0.34
15:7:24:389,3.88,0.57,-0.32
15:7:24:389,3.86,0.58,-0.29
15:7:24:389,3.85,0.55,-0.27
15:7:24:389,3.90,0.49,-0.31
15:7:24:422,3.85,0.50,-0.35
15:7:24:422,3.86,0.59,-0.31
15:7:24:439,3.84,0.55,-0.27
15:7:24:439,3.89,0.39,-0.31
15:7:24:456,3.80,0.46,-0.41
