15:11:25:241,3.96,0.49,-0.36
15:11:25:241,3.76,0.45,-0.17
15:11:25:241,4.00,0.26,-0.88
15:11:25:241,4.08,0.35,-0.85
15:11:25:241,4.05,0.42,-1.11
15:11:25:241,4.14,0.27,-1.25
15:11:25:241,3.80,0.32,-0.69
15:11:25:303,3.64,0.37,-0.57
15:11:25:303,3.69,0.54,-0.50
15:11:25:303,3.56,0.67,-0.49
15:11:25:303,3.90,0.51,-0.40
15:11:25:303,3.93,0.42,-0.30
15:11:25:303,3.94,0.52,-0.19
15:11:25:303,3.95,0.77,-0.25
15:11:25:949,3.99,0.92,-0.21
15:11:25:949,4.29,1.11,-0.39
15:11:25:949,3.84,0.86,-0.57
15:11:25:949,3.04,0.36,-1.11
15:11:25:949,3.41,0.04,-1.08
15:11:25:949,4.50,-0.24,-1.42
15:11:25:949,4.48,-0.44,-2.18
15:11:26:145,3.53,-0.19,-0.96
15:11:26:145,3.23,0.01,-0.86
15:11:26:145,3.98,0.18,-0.97
15:11:26:145,3.79,0.18,-0.56
15:11:26:145,3.44,0.05,-0.60
15:11:26:145,3.88,-0.09,-0.76
15:11:26:145,4.21,-0.05,-1.21
15:11:30:379,4.07,0.20,-1.03
15:11:30:379,3.93,0.30,-0.72
15:11:30:379,3.78,0.24,-0.32
15:11:30:379,4.18,0.30,-0.20
15:11:30:379,4.64,0.58,0.09
15:11:30:379,4.44,0.48,-0.07
15:11:30:379,4.32,0.46,-0.03
15:11:30:543,4.25,0.37,-0.23
15:11:30:543,3.73,0.37,0.11
15:11:30:543,3.34,0.35,0.11
15:11:30:543,2.79,0.18,-0.08
15:11:30:543,2.49,0.15,-0.63
15:11:30:543,3.91,0.51,-0.10
15:11:30:543,8.00,1.01,-0.75
15:11:30:704,6.31,0.33,-2.68
15:11:30:704,0.97,-0.63,0.16
15:11:30:704,1.43,-0.12,-1.26
15:11:30:704,5.07,0.44,-0.62
15:11:30:704,5.90,0.94,-1.17
15:11:30:704,3.97,1.27,-0.74
15:11:30:704,2.24,0.80,0.05
15:11:30:883,3.27,0.04,-0.35
15:11:30:883,3.40,-0.18,-0.38
15:11:30:883,3.39,0.02,-0.32
15:11:30:883,3.79,0.17,-0.33
15:11:30:883,4.02,0.29,-0.45
15:11:30:883,3.99,0.36,-0.12
15:11:30:883,4.23,0.25,-0.89
15:11:31:239,3.93,0.37,-0.49
