16:23:10:195,4.12,-0.32,-0.19
16:23:10:208,3.96,-0.35,-0.21
16:23:10:239,3.93,-0.10,-0.12
16:23:10:257,4.00,-0.15,-0.03
16:23:10:276,3.99,-0.35,-0.12
16:23:10:324,4.09,-0.39,-0.16
16:23:10:345,4.03,-0.28,-0.20
16:23:10:357,3.93,-0.25,-0.14
16:23:10:389,3.67,-0.25,-0.35
16:23:10:419,4.04,-0.24,-0.34
16:23:10:425,3.93,-0.31,-0.27
16:23:10:516,3.69,-0.12,-0.48
16:23:10:535,4.09,-0.31,-0.26
16:23:10:541,4.01,-0.52,-0.10
16:23:10:547,3.79,-0.63,-0.22
16:23:10:554,4.07,-0.58,-0.29
16:23:10:579,4.15,-0.58,-0.12
16:23:10:604,4.03,-0.49,-0.08
16:23:10:615,4.05,-0.51,-0.38
16:23:10:648,4.09,-0.77,-0.21
16:23:10:666,4.12,-0.80,-0.00
16:23:10:685,4.17,-0.38,-0.09
16:23:10:728,4.45,-0.67,-0.27
16:23:10:746,4.35,-0.97,-0.08
16:23:10:759,4.61,-0.86,0.00
16:23:10:793,4.80,-0.92,-0.05
16:23:10:833,5.51,-0.73,0.04
16:23:10:845,5.60,-0.92,-0.11
16:23:10:861,5.31,-0.71,-0.55
16:23:10:904,4.73,0.17,0.14
16:23:10:925,4.70,-2.64,-0.48
16:23:10:944,3.64,-1.00,-1.45
16:23:10:950,2.22,1.27,-1.24
16:23:10:978,2.76,1.73,-0.56
16:23:11:9,2.22,3.44,0.82
16:23:11:59,2.55,1.83,1.00
16:23:11:84,2.67,1.07,0.74
16:23:11:90,2.88,0.79,0.39
16:23:11:109,4.98,-0.42,0.64
16:23:11:136,4.67,-1.23,0.60
16:23:11:161,4.66,-1.25,0.51
16:23:11:167,4.78,-1.15,0.13
16:23:11:223,4.68,-1.06,0.13
16:23:11:256,4.70,-0.99,0.09
16:23:11:269,4.80,-0.83,0.01
16:23:11:281,4.80,-1.13,-0.11
16:23:11:316,4.77,-1.09,-0.39
16:23:11:350,4.75,-1.06,-0.44
16:23:11:357,4.62,-0.88,-0.49
16:23:11:363,4.78,-0.93,-0.13
16:23:11:396,4.89,-1.42,-0.62
16:23:11:415,4.42,-1.30,-0.17
16:23:11:436,4.45,-1.88,-0.52
16:23:11:468,4.29,-2.74,-0.34
16:23:11:515,4.07,-3.54,-0.14
16:23:11:555,4.62,-3.45,0.23
16:23:11:576,4.98,-3.73,-1.12
16:23:11:597,5.16,0.86,-2.57
16:23:11:604,3.85,0.51,0.76
16:23:11:610,4.43,-0.21,0.98
16:23:11:649,4.29,0.15,0.31
16:23:11:706,4.59,-0.29,0.10
16:23:11:712,4.11,0.03,0.31
16:23:11:718,3.87,0.36,0.19
16:23:11:752,4.01,0.34,0.26
16:23:11:765,4.03,0.60,0.51
16:23:11:771,4.08,0.72,0.59
16:23:11:790,4.06,0.41,0.33
16:23:11:839,4.11,0.17,0.12
16:23:11:851,4.11,0.08,0.27
16:23:11:867,4.07,0.23,0.38
16:23:11:886,4.13,0.48,0.14
16:23:11:930,4.04,0.05,0.06
16:23:11:936,3.98,0.29,0.37
16:23:11:958,3.92,-0.05,0.04
16:23:11:983,4.02,0.02,0.24
16:23:12:26,3.98,0.09,0.38
16:23:12:79,3.89,-0.11,0.05
16:23:12:85,3.97,-0.45,0.07
16:23:12:118,3.90,-0.47,0.42
16:23:12:138,3.99,-0.61,0.22
16:23:12:145,3.81,-0.55,0.05
16:23:12:172,3.98,-0.27,-0.00
16:23:12:194,3.96,-0.67,0.08
16:23:12:200,3.97,-0.54,0.11
16:23:12:226,3.92,-0.51,-0.06
16:23:12:260,3.87,-0.63,-0.10
16:23:12:307,3.83,-0.63,-0.13
16:23:12:313,3.80,-0.58,-0.09
16:23:12:326,4.14,-0.43,0.27
16:23:12:351,3.85,-0.75,0.12
16:23:12:367,3.98,-0.68,0.09
16:23:12:392,4.34,-0.22,-0.02
16:23:12:430,4.11,-0.45,0.01
16:23:12:456,3.61,-0.57,0.04
16:23:12:462,4.04,-0.50,-0.13
16:23:12:490,4.00,-0.44,-0.11
16:23:12:512,3.86,-0.53,0.12
16:23:12:545,3.94,-0.51,-0.02
16:23:12:572,4.06,-0.58,-0.08
16:23:12:591,4.04,-0.58,-0.01
16:23:12:612,4.04,-0.48,0.05
16:23:12:640,3.99,-0.64,0.03
16:23:12:694,4.02,-0.62,-0.11
16:23:12:726,4.06,-0.51,-0.07
16:23:12:738,3.94,-0.54,-0.02
16:23:12:757,3.83,-0.87,-0.11
16:23:12:793,3.99,-0.71,-0.02
16:23:12:806,3.93,-0.61,0.04
16:23:12:812,3.89,-0.69,0.03
16:23:12:837,3.81,-0.78,-0.04
16:23:12:860,3.79,-0.69,-0.10
16:23:12:886,3.96,-0.70,-0.06
16:23:12:901,4.03,-0.53,-0.07
16:23:12:926,3.98,-0.69,-0.06
16:23:12:961,4.00,-0.76,0.02
16:23:12:973,3.97,-0.66,0.00
16:23:13:7,3.80,-0.76,-0.04
16:23:13:45,3.92,-0.74,-0.12
16:23:13:59,3.96,-0.74,0.02
16:23:13:84,3.92,-0.70,0.06
16:23:13:107,4.00,-0.73,-0.01
16:23:13:113,4.04,-0.67,-0.05
16:23:13:157,3.94,-0.63,0.03
16:23:13:169,3.96,-0.64,0.03
16:23:13:188,3.86,-0.71,-0.01
16:23:13:216,3.82,-0.69,-0.05
16:23:13:262,3.99,-0.63,-0.02
16:23:13:287,3.99,-0.58,0.01
16:23:13:293,3.88,-0.69,0.00
16:23:13:308,3.90,-0.64,-0.02
16:23:13:333,3.90,-0.68,0.02
16:23:13:363,3.87,-0.64,0.02
16:23:13:383,4.00,-0.63,-0.03
16:23:13:437,3.99,-0.49,0.03
16:23:13:469,4.03,-0.56,0.01
16:23:13:476,4.04,-0.44,-0.00
16:23:13:488,4.00,-0.35,-0.05
16:23:13:532,4.00,-0.43,-0.05
16:23:13:563,3.99,-0.34,-0.02
16:23:13:587,3.99,-0.31,-0.05
16:23:13:685,3.99,-0.32,-0.04
16:23:13:691,4.00,-0.30,-0.03
16:23:13:697,4.02,-0.17,-0.03
16:23:13:723,4.04,-0.15,-0.01
16:23:13:762,4.05,-0.16,0.03
16:23:13:769,4.04,-0.05,-0.04
16:23:13:781,4.03,-0.02,0.00
16:23:13:807,4.00,0.04,0.02
16:23:13:819,4.10,-0.05,0.04
16:23:13:825,4.08,0.06,0.05
16:23:13:857,4.04,0.13,0.08
16:23:13:884,3.97,0.10,0.14
16:23:13:890,4.04,0.11,0.12
16:23:13:921,4.00,0.11,0.17
16:23:13:944,4.01,0.10,0.24
16:23:13:981,3.98,0.12,0.39
16:23:13:987,4.00,0.16,0.28
16:23:13:994,3.97,0.16,0.32
16:23:14:12,3.99,0.12,0.33
