16:27:15:697,3.98,0.09,0.26
16:27:15:728,4.01,0.15,0.30
16:27:15:742,3.95,0.22,0.30
16:27:15:779,4.01,0.21,0.30
16:27:15:788,3.99,0.11,0.30
16:27:15:799,3.96,0.13,0.23
16:27:15:820,4.01,0.21,0.25
16:27:15:833,3.98,0.16,0.34
16:27:15:868,4.00,0.21,0.26
16:27:15:874,4.00,0.25,0.27
16:27:15:883,4.02,0.21,0.28
16:27:15:909,4.00,0.15,0.27
16:27:15:951,4.00,0.15,0.24
16:27:15:963,4.01,0.19,0.29
16:27:15:992,4.01,0.24,0.30
16:27:16:28,4.00,0.17,0.25
16:27:16:36,3.98,0.20,0.26
16:27:16:65,4.02,0.21,0.26
16:27:16:106,4.01,0.18,0.23
16:27:16:153,3.99,0.17,0.25
16:27:16:158,4.01,0.24,0.24
16:27:16:178,4.02,0.18,0.26
16:27:16:218,3.99,0.18,0.25
16:27:16:248,3.97,0.18,0.20
16:27:16:260,4.02,0.19,0.24
16:27:16:281,4.00,0.18,0.27
16:27:16:293,4.02,0.19,0.25
16:27:16:322,4.00,0.21,0.21
16:27:16:350,4.02,0.15,0.19
16:27:16:375,3.99,0.20,0.18
16:27:16:387,4.01,0.21,0.22
16:27:16:399,4.00,0.17,0.22
16:27:16:427,3.99,0.18,0.21
16:27:16:447,4.00,0.20,0.20
16:27:16:465,4.01,0.20,0.21
16:27:16:500,4.00,0.19,0.17
16:27:16:506,4.00,0.19,0.18
16:27:16:534,4.01,0.24,0.24
16:27:16:559,4.02,0.16,0.18
16:27:16:584,3.99,0.20,0.12
16:27:16:591,4.00,0.21,0.20
16:27:16:662,3.99,0.17,0.19
16:27:16:663,4.01,0.23,0.17
16:27:16:667,4.00,0.17,0.18
16:27:16:691,3.99,0.18,0.22
16:27:16:772,3.99,0.16,0.16
16:27:16:778,4.02,0.16,0.18
16:27:16:812,3.99,0.21,0.21
16:27:16:818,3.98,0.18,0.17
16:27:16:890,4.00,0.15,0.15
16:27:16:927,4.00,0.21,0.20
16:27:16:946,4.01,0.20,0.17
16:27:16:952,3.99,0.17,0.17
16:27:16:971,3.98,0.20,0.14
16:27:17:5,4.00,0.20,0.19
16:27:17:11,4.02,0.21,0.14
16:27:17:24,3.99,0.20,0.14
16:27:17:72,3.99,0.20,0.16
16:27:17:86,3.98,0.19,0.15
16:27:17:92,3.99,0.20,0.17
16:27:17:131,4.01,0.19,0.14
16:27:17:137,3.99,0.19,0.14
16:27:17:166,3.99,0.18,0.15
16:27:17:211,4.02,0.18,0.10
16:27:17:290,4.00,0.20,0.12
16:27:17:297,3.99,0.20,0.16
16:27:17:322,4.01,0.23,0.14
16:27:17:332,3.98,0.17,0.12
16:27:17:391,3.99,0.19,0.15
16:27:17:397,3.99,0.23,0.15
16:27:17:403,4.01,0.18,0.12
16:27:17:418,3.98,0.19,0.10
16:27:17:497,4.01,0.20,0.12
16:27:17:510,4.02,0.22,0.13
16:27:17:537,4.02,0.21,0.06
16:27:17:557,4.02,0.21,0.12
16:27:17:566,3.98,0.18,0.11
16:27:17:572,4.00,0.18,0.11
16:27:17:601,3.99,0.20,0.12
16:27:17:674,4.00,0.19,0.08
16:27:17:679,4.03,0.23,0.10
16:27:17:697,3.98,0.20,0.11
16:27:17:712,3.97,0.21,0.11
16:27:17:757,3.99,0.22,0.11
16:27:17:789,4.02,0.24,0.05
16:27:17:814,4.01,0.23,0.06
16:27:17:822,3.98,0.19,0.11
16:27:17:869,3.98,0.24,0.13
16:27:17:904,4.02,0.26,0.10
16:27:17:910,3.94,0.17,0.16
16:27:17:947,4.03,0.26,0.02
16:27:17:953,4.00,0.25,0.10
16:27:17:960,3.97,0.20,0.08
16:27:17:982,3.99,0.37,0.09
16:27:18:47,4.07,0.23,0.06
16:27:18:57,4.08,0.18,0.16
16:27:18:107,4.03,0.42,0.16
16:27:18:122,3.95,0.25,0.23
16:27:18:142,4.06,0.20,0.24
16:27:18:187,4.15,0.21,0.15
16:27:18:198,4.09,0.32,0.17
16:27:18:221,4.06,0.27,0.33
16:27:18:238,4.08,0.22,0.31
16:27:18:251,4.21,0.21,0.90
16:27:18:276,4.29,0.66,0.20
16:27:18:289,4.36,0.49,0.42
16:27:18:320,5.01,-0.63,0.64
16:27:18:349,5.89,-0.07,-0.00
16:27:18:360,6.63,0.22,0.50
16:27:18:392,5.42,0.42,0.10
16:27:18:423,4.57,0.05,-0.93
16:27:18:431,3.58,0.37,-1.12
16:27:18:454,2.00,2.22,-0.15
16:27:18:468,2.72,2.31,-0.36
16:27:18:514,2.66,2.04,-0.19
16:27:18:550,2.70,1.48,0.31
16:27:18:578,3.27,0.73,0.37
16:27:18:618,3.90,0.74,0.88
16:27:18:626,4.40,0.04,1.01
16:27:18:665,4.54,-0.85,0.81
16:27:18:678,4.48,-0.12,0.78
16:27:18:691,4.42,-0.24,0.58
16:27:18:702,4.06,-0.24,0.51
16:27:18:719,3.85,-0.16,0.76
16:27:18:743,3.76,-0.54,0.79
16:27:18:769,4.02,-1.69,1.01
16:27:18:782,4.63,-3.92,0.27
16:27:18:851,4.67,-4.62,1.29
16:27:18:879,4.84,-3.21,-1.08
16:27:18:918,4.91,2.93,-1.99
16:27:18:954,8.00,-6.22,-8.00
16:27:18:973,4.48,0.54,2.15
16:27:19:10,-8.00,1.91,0.77
16:27:19:23,5.45,-0.10,-0.21
16:27:19:66,4.45,0.38,0.08
16:27:19:73,3.59,0.06,-0.30
16:27:19:81,3.97,1.46,-0.00
16:27:19:89,4.03,0.51,-0.22
16:27:19:163,3.98,0.03,-0.21
16:27:19:169,4.10,-0.39,-0.31
16:27:19:190,3.97,-0.16,-0.42
16:27:19:203,4.12,-0.29,0.03
16:27:19:210,4.02,-0.10,0.19
16:27:19:216,4.00,-0.05,-0.26
16:27:19:231,4.08,-0.02,-0.40
16:27:19:259,4.08,-0.65,0.08
16:27:19:265,4.15,-0.36,0.04
16:27:19:289,4.09,-0.16,-0.19
16:27:19:302,4.16,-0.37,-0.23
16:27:19:324,4.23,-0.25,0.10
16:27:19:338,4.85,-0.31,0.09
16:27:19:375,5.14,-0.40,0.31
16:27:19:395,5.04,-0.17,0.34
16:27:19:401,5.32,-0.23,0.17
16:27:19:407,6.13,-0.23,-0.37
16:27:19:527,7.39,0.46,-0.86
16:27:19:560,7.74,0.60,-0.91
16:27:19:578,8.00,1.22,-1.34
16:27:19:606,7.73,0.36,-1.53
16:27:19:638,6.36,-0.49,-1.06
16:27:19:670,3.01,0.06,-2.83
16:27:19:686,0.14,5.54,-1.78
16:27:19:730,0.04,4.92,0.87
16:27:19:800,0.72,3.41,-0.67
16:27:19:883,1.76,1.78,-0.48
16:27:19:902,2.62,1.21,-0.02
16:27:19:928,3.90,-0.41,-0.53
16:27:19:952,4.15,-0.72,-0.35
16:27:19:967,5.53,-0.49,-0.18
16:27:20:1,6.09,-0.52,-0.08
16:27:20:7,7.26,-1.02,-0.62
16:27:20:22,7.86,-2.07,-0.77
16:27:20:43,8.00,-4.79,0.96
16:27:20:73,8.00,-6.95,2.35
16:27:20:80,6.22,-8.00,1.50
16:27:20:86,4.61,-8.00,2.55
16:27:20:145,6.08,-7.06,3.89
16:27:20:145,5.45,8.00,1.34
16:27:20:145,6.65,1.78,2.37
16:27:20:160,4.93,1.15,-4.91
16:27:20:175,6.03,-0.57,-2.64
16:27:20:200,5.64,-2.47,-0.08
16:27:20:201,5.18,0.54,-0.13
16:27:20:223,4.25,1.27,1.42
16:27:20:229,4.16,2.19,-0.03
16:27:20:261,3.91,-0.18,-0.80
16:27:20:284,3.74,-0.95,-1.02
16:27:20:322,4.15,0.54,0.12
16:27:20:328,3.90,0.11,0.15
16:27:20:377,3.43,-0.74,-0.30
16:27:20:392,3.93,-0.46,0.12
16:27:20:417,3.99,-0.21,-0.10
16:27:20:423,4.59,-0.23,-0.10
16:27:20:461,4.75,0.13,0.12
16:27:20:503,4.25,-0.93,0.16
16:27:20:509,4.99,-0.21,-0.10
16:27:20:528,5.18,-0.33,-0.14
16:27:20:580,5.50,-0.12,-0.39
16:27:20:589,2.84,-0.57,-1.32
16:27:20:607,7.06,-0.92,-2.03
16:27:20:665,8.00,0.33,-2.87
16:27:20:689,8.00,1.72,-3.59
16:27:20:705,6.20,2.43,-5.45
16:27:20:711,1.83,1.85,-0.99
16:27:20:736,0.93,4.69,0.09
16:27:20:742,0.69,2.69,-0.41
16:27:20:773,1.18,1.24,-1.73
16:27:20:792,2.12,0.74,-0.12
16:27:20:850,3.02,0.89,0.31
16:27:20:857,6.74,-6.20,-8.00
16:27:20:863,5.04,-1.45,-0.27
16:27:20:891,5.20,-0.50,-0.30
16:27:20:898,5.38,-0.79,-0.24
16:27:20:904,5.90,0.07,0.66
16:27:20:919,7.14,-0.28,0.66
16:27:20:950,8.00,-2.18,1.30
16:27:20:957,8.00,-4.75,2.08
16:27:20:971,7.76,-7.24,1.15
16:27:21:47,5.17,-8.00,0.44
16:27:21:69,4.69,-8.00,2.46
16:27:21:87,6.98,-0.28,-6.07
16:27:21:177,3.95,-0.11,2.40
16:27:21:208,6.93,0.40,5.48
16:27:21:230,5.32,-0.54,0.53
16:27:21:249,4.99,-1.59,-0.99
16:27:21:294,3.13,-1.71,0.08
