16:29:25:266,3.57,0.71,1.19
16:29:25:304,3.56,0.69,1.18
16:29:25:335,3.56,0.71,1.21
16:29:25:348,3.57,0.70,1.21
16:29:25:378,3.56,0.70,1.22
16:29:25:384,3.57,0.71,1.21
16:29:25:404,3.60,0.74,1.22
16:29:25:416,3.58,0.78,1.20
16:29:25:458,3.57,0.76,1.19
16:29:25:468,3.56,0.74,1.17
16:29:25:491,3.56,0.72,1.17
16:29:25:553,3.57,0.74,1.21
16:29:25:583,3.58,0.74,1.18
16:29:25:602,3.58,0.75,1.19
16:29:25:615,3.57,0.72,1.19
16:29:25:635,3.58,0.69,1.17
16:29:25:653,3.56,0.68,1.14
16:29:25:672,3.58,0.70,1.15
16:29:25:734,3.57,0.69,1.16
16:29:25:784,3.59,0.69,1.17
16:29:25:808,3.58,0.71,1.18
16:29:25:813,3.60,0.72,1.20
16:29:25:852,3.59,0.72,1.20
16:29:25:917,3.57,0.71,1.21
16:29:25:924,3.59,0.71,1.20
16:29:25:929,3.61,0.69,1.23
16:29:25:955,3.62,0.71,1.21
16:29:25:981,3.60,0.71,1.18
16:29:25:988,3.58,0.71,1.21
16:29:26:16,3.57,0.72,1.16
16:29:26:53,3.56,0.71,1.17
16:29:26:70,3.57,0.69,1.13
16:29:26:83,3.60,0.68,1.14
16:29:26:131,3.60,0.70,1.13
16:29:26:172,3.60,0.71,1.13
16:29:26:187,3.60,0.71,1.13
16:29:26:200,3.56,0.72,1.14
16:29:26:238,3.56,0.72,1.18
16:29:26:257,3.61,0.71,1.16
16:29:26:287,3.58,0.71,1.14
16:29:26:313,3.58,0.71,1.22
16:29:26:333,3.56,0.74,1.21
16:29:26:340,3.56,0.77,1.27
16:29:26:352,3.56,0.73,1.27
16:29:26:411,3.56,0.73,1.28
16:29:26:430,3.60,0.78,1.30
16:29:26:444,3.62,0.83,1.33
16:29:26:458,3.57,0.85,1.29
16:29:26:485,3.60,0.84,1.30
16:29:26:497,3.65,0.90,1.27
16:29:26:556,3.64,0.96,1.29
16:29:26:626,3.51,0.95,1.24
16:29:26:652,3.38,0.91,1.22
16:29:26:684,3.32,0.93,1.21
16:29:26:698,3.27,0.97,1.22
16:29:26:717,3.33,0.99,1.18
16:29:26:736,3.42,0.88,1.15
16:29:26:753,3.54,0.86,1.10
16:29:26:761,3.64,0.91,1.07
16:29:26:774,3.68,0.91,1.01
16:29:26:793,3.64,0.94,0.95
16:29:26:817,3.54,1.00,0.95
16:29:26:860,3.46,1.02,0.93
16:29:26:872,3.44,0.97,0.96
16:29:26:892,3.46,0.85,0.94
16:29:26:898,3.51,0.75,0.96
16:29:26:906,3.54,0.61,0.99
16:29:26:912,3.64,0.30,0.92
16:29:26:927,3.67,-0.17,0.74
16:29:26:934,4.01,-0.23,0.76
16:29:26:940,4.56,-0.22,0.82
16:29:26:967,4.69,-0.21,0.81
16:29:26:999,4.49,-0.32,0.88
16:29:27:12,4.09,-0.29,1.06
16:29:27:38,3.77,-0.20,1.10
16:29:27:134,3.56,0.02,0.97
16:29:27:324,3.39,-0.14,0.83
16:29:27:331,3.34,-0.12,0.82
16:29:27:492,3.44,0.13,0.86
16:29:27:601,3.62,0.47,0.86
16:29:27:603,3.71,0.75,0.97
16:29:27:619,3.70,0.97,1.08
16:29:27:639,3.59,1.05,1.16
16:29:27:653,3.50,1.07,1.28
16:29:27:660,3.48,1.07,1.42
16:29:27:666,3.48,0.94,1.41
16:29:27:682,3.60,0.82,1.47
16:29:27:682,3.63,0.78,1.58
16:29:27:682,3.65,0.81,1.67
16:29:27:709,3.83,0.94,1.80
16:29:27:736,4.04,1.01,1.88
16:29:27:736,4.06,0.94,1.86
16:29:27:736,4.21,1.00,1.92
16:29:27:736,4.53,1.16,1.93
16:29:27:742,5.03,1.27,2.02
16:29:27:742,5.35,1.18,1.94
16:29:27:750,5.21,0.95,1.66
16:29:27:750,4.81,0.47,1.26
16:29:27:750,4.54,0.12,0.81
16:29:27:756,4.39,0.07,0.58
16:29:27:762,4.43,0.13,0.54
16:29:27:789,4.35,0.46,0.62
16:29:27:802,4.13,0.77,0.58
16:29:27:827,3.75,0.97,0.54
16:29:27:834,3.47,0.95,0.24
16:29:27:854,3.37,0.89,0.13
16:29:27:861,3.42,0.88,0.10
16:29:27:867,3.41,0.89,0.09
16:29:27:882,3.32,0.84,0.08
16:29:27:907,3.24,0.78,0.10
16:29:27:933,3.10,0.69,0.07
16:29:27:963,3.03,0.65,0.05
16:29:27:982,3.04,0.69,0.10
16:29:27:997,3.07,0.65,0.14
16:29:28:3,3.27,0.54,0.18
16:29:28:9,3.65,0.48,0.28
16:29:28:39,4.00,0.41,0.42
16:29:28:45,4.66,0.34,0.41
16:29:28:155,5.24,0.30,0.32
16:29:28:203,4.97,0.21,0.21
16:29:28:226,4.98,0.14,0.38
16:29:28:237,4.67,0.09,0.57
16:29:28:244,4.18,0.09,0.56
16:29:28:258,4.11,0.22,0.49
16:29:28:271,4.56,0.19,0.61
16:29:28:280,4.85,0.16,0.79
16:29:28:286,4.57,0.34,0.98
16:29:28:303,4.23,0.55,1.09
16:29:28:327,3.93,0.67,1.18
16:29:28:362,3.70,0.84,1.21
16:29:28:393,3.66,1.14,1.33
16:29:28:415,3.76,1.36,1.50
16:29:28:428,3.75,1.62,1.75
16:29:28:453,3.63,1.61,1.84
16:29:28:474,3.47,1.59,1.95
16:29:28:494,3.29,1.52,1.97
16:29:28:519,3.21,1.51,2.05
16:29:28:525,3.36,1.45,1.93
16:29:28:539,3.67,1.46,1.87
16:29:28:597,4.27,1.60,1.96
16:29:28:604,4.82,1.61,2.09
16:29:28:629,5.21,1.59,2.03
16:29:28:655,5.74,1.54,2.02
16:29:28:717,6.23,1.44,2.02
16:29:28:750,6.15,1.22,1.81
16:29:28:766,6.11,0.98,1.26
16:29:28:801,6.50,0.87,0.80
16:29:28:814,6.98,0.68,0.66
16:29:28:822,6.76,0.34,0.56
16:29:28:835,6.06,0.24,0.49
16:29:28:860,5.10,0.12,0.38
16:29:28:872,4.57,0.09,0.17
16:29:28:878,4.14,0.30,-0.02
16:29:28:895,3.86,0.56,-0.24
16:29:28:922,3.58,0.73,-0.33
16:29:28:931,3.36,0.85,-0.33
16:29:28:967,3.14,0.79,-0.29
16:29:29:19,3.03,0.58,-0.03
16:29:29:25,3.03,0.51,0.05
