20:53:13:294,3.88,0.46,-0.96
20:53:13:315,3.87,0.49,-0.96
20:53:13:331,3.87,0.46,-0.96
20:53:13:362,3.86,0.49,-0.98
20:53:13:394,3.85,0.50,-0.96
20:53:13:409,3.89,0.47,-1.00
20:53:13:446,3.88,0.48,-0.96
20:53:13:461,3.81,0.46,-1.00
20:53:13:481,3.87,0.47,-0.98
20:53:13:502,3.86,0.48,-0.97
20:53:13:550,3.86,0.48,-0.97
20:53:13:550,3.87,0.48,-0.97
20:53:13:565,3.87,0.49,-0.98
20:53:13:601,3.87,0.52,-0.94
20:53:13:636,3.87,0.47,-0.96
20:53:13:637,3.88,0.47,-0.98
20:53:13:684,3.89,0.47,-0.98
20:53:13:702,3.89,0.48,-0.99
20:53:13:720,3.88,0.47,-0.97
20:53:13:751,3.86,0.48,-1.00
20:53:13:773,3.87,0.46,-1.00
20:53:13:805,3.88,0.48,-0.97
20:53:13:820,3.87,0.49,-0.96
20:53:13:859,3.87,0.50,-0.98
20:53:13:864,3.89,0.49,-0.98
20:53:13:880,3.87,0.50,-0.97
20:53:13:901,3.88,0.48,-0.97
20:53:13:948,3.86,0.48,-0.97
20:53:13:970,3.86,0.48,-0.97
20:53:13:985,3.87,0.47,-0.97
20:53:14:5,3.87,0.50,-0.97
20:53:14:47,3.86,0.46,-0.95
20:53:14:63,3.88,0.46,-0.97
20:53:14:89,3.87,0.50,-0.98
20:53:14:121,3.85,0.48,-0.95
20:53:14:146,3.88,0.50,-0.97
20:53:14:158,3.90,0.48,-0.98
20:53:14:178,3.88,0.47,-0.98
20:53:14:212,3.87,0.49,-0.95
20:53:14:231,3.87,0.49,-0.97
20:53:14:249,3.87,0.46,-0.99
20:53:14:281,3.87,0.49,-0.98
20:53:14:310,3.86,0.50,-0.98
20:53:14:322,3.89,0.50,-1.01
20:53:14:348,3.90,0.48,-0.96
20:53:14:383,3.87,0.50,-0.96
20:53:14:401,3.88,0.50,-0.94
20:53:14:421,3.88,0.46,-0.99
20:53:14:455,3.86,0.48,-1.00
20:53:14:474,3.88,0.47,-0.96
20:53:14:496,3.87,0.48,-0.96
20:53:14:521,3.88,0.49,-0.99
20:53:14:547,3.88,0.49,-0.98
20:53:14:566,3.88,0.49,-0.96
20:53:14:603,3.87,0.49,-0.95
20:53:14:632,3.89,0.49,-0.96
20:53:14:651,3.87,0.49,-0.95
20:53:14:657,3.87,0.48,-0.96
20:53:14:683,3.88,0.47,-0.97
20:53:14:707,3.88,0.50,-0.98
20:53:14:732,3.87,0.47,-0.95
20:53:14:763,3.86,0.49,-0.95
20:53:14:783,3.87,0.49,-0.96
20:53:14:805,3.87,0.48,-0.97
20:53:14:832,3.87,0.49,-0.99
20:53:14:850,3.86,0.48,-0.97
20:53:14:889,3.86,0.47,-0.96
20:53:14:920,3.89,0.49,-0.98
20:53:14:926,3.85,0.49,-0.96
20:53:14:944,3.87,0.49,-0.95
20:53:14:980,3.89,0.49,-0.96
20:53:15:16,3.86,0.48,-0.98
20:53:15:22,3.87,0.48,-0.96
20:53:15:47,3.87,0.48,-0.97
20:53:15:79,3.88,0.49,-0.95
20:53:15:92,3.87,0.48,-0.96
20:53:15:120,3.88,0.48,-0.97
20:53:15:145,3.86,0.49,-0.98
20:53:15:182,3.86,0.49,-0.97
20:53:15:198,3.86,0.46,-0.98
20:53:15:219,3.88,0.48,-0.99
20:53:15:243,3.85,0.48,-0.98
