21:3:56:415,3.87,0.25,1.30
21:3:56:446,3.86,0.22,1.32
21:3:56:446,3.87,0.21,1.35
21:3:56:462,3.87,0.26,1.36
21:3:56:507,3.85,0.27,1.36
21:3:56:522,3.86,0.25,1.33
21:3:56:553,3.86,0.23,1.38
21:3:56:574,3.87,0.22,1.34
21:3:56:596,3.85,0.24,1.35
21:3:56:643,3.85,0.21,1.33
21:3:56:643,3.84,0.23,1.34
21:3:56:659,3.84,0.27,1.37
21:3:56:696,3.83,0.25,1.33
21:3:56:728,3.83,0.23,1.35
21:3:56:743,3.86,0.25,1.36
21:3:56:766,3.84,0.26,1.34
21:3:56:793,3.82,0.26,1.31
21:3:56:880,3.81,0.24,1.32
21:3:56:893,3.83,0.25,1.27
21:3:56:940,3.82,0.24,1.31
21:3:56:952,3.84,0.26,1.28
21:3:56:958,3.84,0.27,1.30
21:3:56:971,3.83,0.26,1.28
21:3:56:991,3.83,0.25,1.29
21:3:56:998,3.82,0.27,1.32
21:3:57:10,3.79,0.29,1.30
21:3:57:52,3.81,0.27,1.30
21:3:57:58,3.79,0.26,1.32
21:3:57:79,3.82,0.27,1.36
21:3:57:95,3.81,0.28,1.34
21:3:57:165,3.82,0.28,1.36
21:3:57:171,3.82,0.26,1.34
21:3:57:183,3.82,0.23,1.35
21:3:57:202,3.83,0.21,1.34
21:3:57:221,3.82,0.26,1.35
21:3:57:245,3.83,0.27,1.37
21:3:57:294,3.84,0.24,1.36
21:3:57:316,3.82,0.24,1.34
21:3:57:336,3.85,0.27,1.37
21:3:57:359,3.83,0.25,1.39
21:3:57:375,3.81,0.28,1.40
21:3:57:393,3.81,0.28,1.35
21:3:57:422,3.79,0.25,1.31
21:3:57:443,3.81,0.31,1.35
21:3:57:472,3.83,0.28,1.35
21:3:57:539,3.84,0.28,1.34
21:3:57:579,3.86,0.26,1.34
21:3:57:586,3.86,0.23,1.31
21:3:57:612,3.86,0.24,1.34
21:3:57:650,3.82,0.24,1.32
21:3:57:658,3.81,0.23,1.31
21:3:57:675,3.84,0.26,1.29
21:3:57:694,3.85,0.24,1.35
21:3:57:726,3.84,0.27,1.33
21:3:57:738,3.86,0.28,1.33
21:3:57:745,3.82,0.27,1.31
21:3:57:761,3.83,0.27,1.30
21:3:57:779,3.84,0.24,1.30
21:3:57:797,3.85,0.25,1.28
21:3:57:835,3.84,0.29,1.30
21:3:57:851,3.83,0.28,1.28
21:3:57:891,3.83,0.26,1.30
21:3:57:897,3.87,0.26,1.29
21:3:57:919,3.85,0.24,1.30
21:3:57:945,3.83,0.26,1.27
21:3:57:980,3.83,0.25,1.27
21:3:58:2,3.83,0.25,1.28
21:3:58:42,3.83,0.25,1.30
21:3:58:61,3.84,0.26,1.30
21:3:58:76,3.86,0.22,1.31
21:3:58:82,3.86,0.23,1.33
21:3:58:120,3.86,0.22,1.31
21:3:58:188,3.86,0.24,1.33
21:3:58:221,3.86,0.23,1.31
21:3:58:229,3.87,0.25,1.32
21:3:58:252,3.86,0.25,1.33
21:3:58:270,3.86,0.24,1.32
21:3:58:279,3.85,0.23,1.31
21:3:58:326,3.85,0.22,1.29
21:3:58:344,3.84,0.28,1.28
21:3:58:358,3.85,0.27,1.24
21:3:58:370,3.86,0.23,1.24
21:3:58:386,3.85,0.24,1.25
21:3:58:398,3.82,0.26,1.27
21:3:58:425,3.84,0.29,1.25
21:3:58:444,3.86,0.26,1.30
21:3:58:480,3.83,0.24,1.30
21:3:58:501,3.85,0.25,1.33
21:3:58:514,3.83,0.24,1.32
21:3:58:545,3.81,0.25,1.30
21:3:58:588,3.85,0.24,1.34
21:3:58:620,3.84,0.23,1.34
21:3:58:653,3.84,0.25,1.33
21:3:58:671,3.86,0.27,1.34
21:3:58:703,3.85,0.23,1.32
21:3:58:722,3.84,0.19,1.31
21:3:58:728,3.83,0.20,1.30
21:3:58:734,3.84,0.23,1.29
21:3:58:756,3.83,0.22,1.28
21:3:58:775,3.83,0.21,1.29
21:3:58:813,3.83,0.24,1.32
21:3:58:860,3.83,0.26,1.31
21:3:58:882,3.83,0.29,1.28
21:3:58:894,3.85,0.27,1.26
21:3:58:902,3.82,0.30,1.24
21:3:58:922,3.84,0.26,1.23
21:3:58:947,3.80,0.30,1.23
21:3:58:962,3.82,0.29,1.22
21:3:58:991,3.81,0.28,1.22
21:3:59:27,3.85,0.30,1.26
21:3:59:53,3.84,0.30,1.25
21:3:59:77,3.87,0.32,1.24
21:3:59:113,3.93,0.31,1.20
21:3:59:142,3.88,0.24,1.21
21:3:59:163,3.86,0.23,1.19
21:3:59:172,3.80,0.26,1.20
21:3:59:194,3.78,0.26,1.22
21:3:59:209,3.79,0.33,1.24
21:3:59:272,3.82,0.37,1.31
21:3:59:297,3.84,0.39,1.31
21:3:59:302,3.88,0.37,1.36
21:3:59:358,3.90,0.38,1.43
21:3:59:392,3.84,0.28,1.51
21:3:59:397,3.85,0.09,1.64
21:3:59:425,3.83,-0.02,1.82
21:3:59:429,3.85,-0.32,2.12
21:3:59:462,3.82,-0.75,2.43
21:3:59:462,4.12,-1.00,2.98
21:3:59:497,4.39,-0.67,3.24
21:3:59:497,4.41,-0.72,3.69
21:3:59:512,4.64,-0.74,3.89
21:3:59:544,5.02,-1.34,4.18
21:3:59:561,5.25,-1.80,4.21
21:3:59:577,5.37,-2.31,3.98
21:3:59:608,5.05,-2.42,3.65
21:3:59:624,5.03,-2.41,3.49
21:3:59:656,4.48,-2.17,3.00
21:3:59:674,3.93,-1.88,2.53
21:3:59:691,3.18,-1.43,2.07
21:3:59:723,2.53,-0.98,1.46
21:3:59:755,1.94,-0.78,1.02
21:3:59:771,1.46,-0.46,0.80
21:3:59:821,1.13,-0.41,0.68
21:3:59:821,0.93,-0.29,0.63
21:3:59:841,0.88,-0.28,0.58
21:3:59:876,0.87,-0.13,0.63
21:3:59:893,1.18,-0.02,0.72
21:3:59:928,1.51,0.03,0.89
21:3:59:949,1.95,0.14,1.15
21:3:59:986,2.54,0.01,1.28
21:4:0:5,3.36,0.00,1.37
21:4:0:23,4.16,0.04,1.41
21:4:0:38,4.82,0.26,1.35
21:4:0:56,5.49,0.52,1.29
21:4:0:92,5.98,0.56,1.44
21:4:0:112,6.04,0.48,1.56
21:4:0:128,6.21,0.35,1.70
21:4:0:160,7.03,0.37,1.54
21:4:0:180,7.32,0.43,1.16
21:4:0:199,7.52,0.47,0.88
21:4:0:234,7.43,0.09,1.25
21:4:0:251,7.05,-0.22,1.63
21:4:0:271,6.33,-0.54,1.61
21:4:0:306,5.74,-1.04,1.53
21:4:0:343,5.15,-1.35,1.61
21:4:0:361,4.62,-1.67,1.61
21:4:0:379,4.14,-1.59,2.00
21:4:0:396,3.59,-1.11,1.91
21:4:0:432,3.35,-0.56,1.96
21:4:0:449,3.37,-0.67,2.23
21:4:0:466,3.58,-0.87,2.88
21:4:0:501,4.04,-1.33,3.08
21:4:0:519,4.69,-1.58,3.24
21:4:0:536,5.45,-1.63,3.26
21:4:0:553,6.75,-1.39,3.35
21:4:0:679,7.52,-1.04,3.29
21:4:0:679,8.00,-0.72,2.97
21:4:0:697,7.99,-0.37,2.21
