21:8:10:540,3.79,0.74,0.12
21:8:10:569,3.79,0.75,0.09
21:8:10:576,3.82,0.74,0.06
21:8:10:581,3.83,0.73,0.09
21:8:10:600,3.85,0.72,0.08
21:8:10:625,3.82,0.76,0.08
21:8:10:646,3.82,0.76,0.04
21:8:10:666,3.82,0.76,0.05
21:8:10:724,3.82,0.74,0.05
21:8:10:749,3.80,0.72,0.06
21:8:10:758,3.80,0.71,0.04
21:8:10:764,3.80,0.73,0.05
21:8:10:795,3.80,0.77,0.04
21:8:10:828,3.81,0.76,0.02
21:8:10:834,3.80,0.76,0.03
21:8:10:861,3.79,0.75,0.04
21:8:10:893,3.82,0.76,0.04
21:8:10:911,3.82,0.77,0.04
21:8:10:933,3.81,0.77,0.04
21:8:10:952,3.81,0.78,0.06
21:8:10:979,3.83,0.76,0.09
21:8:11:11,3.81,0.75,0.06
21:8:11:23,3.81,0.75,0.08
21:8:11:65,3.83,0.77,0.06
21:8:11:83,3.81,0.77,0.07
21:8:11:95,3.80,0.78,0.06
21:8:11:126,3.84,0.79,0.01
21:8:11:240,3.84,0.78,0.01
21:8:11:259,3.81,0.78,0.03
21:8:11:265,3.81,0.78,0.02
21:8:11:272,3.81,0.78,0.03
21:8:11:287,3.82,0.77,0.03
21:8:11:293,3.83,0.75,0.04
21:8:11:305,3.82,0.73,0.04
21:8:11:318,3.82,0.74,0.04
21:8:11:339,3.80,0.74,0.00
21:8:11:364,3.79,0.75,0.03
21:8:11:401,3.82,0.75,-0.00
21:8:11:426,3.80,0.73,-0.01
21:8:11:447,3.80,0.73,0.01
21:8:11:459,3.80,0.74,0.04
21:8:11:478,3.80,0.75,0.02
21:8:11:510,3.80,0.77,0.04
21:8:11:529,3.82,0.75,0.03
21:8:11:549,3.83,0.75,0.04
21:8:11:574,3.82,0.75,0.03
21:8:11:644,3.82,0.78,0.04
21:8:11:650,3.82,0.79,0.05
21:8:11:656,3.80,0.78,0.05
21:8:11:675,3.81,0.78,0.07
21:8:11:697,3.80,0.79,0.04
21:8:11:722,3.81,0.78,0.05
21:8:11:747,3.81,0.79,0.04
21:8:11:805,3.81,0.81,0.02
21:8:11:838,3.80,0.78,0.00
21:8:11:844,3.82,0.79,0.01
21:8:11:857,3.79,0.76,0.02
21:8:11:872,3.79,0.76,0.04
21:8:11:891,3.81,0.77,0.03
21:8:11:915,3.80,0.76,0.01
21:8:11:939,3.82,0.74,0.01
21:8:11:970,3.83,0.75,0.03
