20:57:53:602,3.84,0.74,-0.13
20:57:53:617,3.87,0.80,-0.15
20:57:53:633,3.84,0.83,-0.18
20:57:53:649,3.84,0.83,-0.16
20:57:53:664,3.81,0.81,-0.19
20:57:53:700,3.79,0.79,-0.17
20:57:53:732,3.75,0.78,-0.16
20:57:53:748,3.74,0.82,-0.17
20:57:53:770,3.79,0.82,-0.20
20:57:53:785,3.82,0.82,-0.19
20:57:53:816,3.82,0.83,-0.20
20:57:53:856,3.83,0.81,-0.16
20:57:53:871,3.83,0.77,-0.14
20:57:53:892,3.84,0.77,-0.11
20:57:53:913,3.85,0.72,-0.09
20:57:53:942,3.87,0.69,-0.09
20:57:53:968,3.86,0.66,-0.09
20:57:53:990,3.87,0.64,-0.11
20:57:54:18,3.83,0.63,-0.10
20:57:54:39,3.84,0.62,-0.11
20:57:54:61,3.83,0.62,-0.12
20:57:54:80,3.84,0.63,-0.10
20:57:54:115,3.86,0.61,-0.11
20:57:54:134,3.84,0.59,-0.13
20:57:54:161,3.82,0.62,-0.14
20:57:54:182,3.81,0.60,-0.08
20:57:54:219,3.81,0.63,-0.10
20:57:54:225,3.81,0.63,-0.08
20:57:54:249,3.86,0.66,-0.10
20:57:54:279,3.85,0.70,-0.10
20:57:54:304,3.85,0.71,-0.11
20:57:54:328,3.83,0.74,-0.07
20:57:54:352,3.83,0.77,-0.11
20:57:54:375,3.82,0.78,-0.10
20:57:54:399,3.81,0.80,-0.11
20:57:54:428,3.84,0.79,-0.09
20:57:54:442,3.85,0.79,-0.09
20:57:54:474,3.84,0.77,-0.10
20:57:54:488,3.85,0.78,-0.12
20:57:54:516,3.82,0.75,-0.09
20:57:54:551,3.82,0.73,-0.11
20:57:54:566,3.84,0.73,-0.13
20:57:54:587,3.87,0.71,-0.15
20:57:54:618,3.86,0.69,-0.14
20:57:54:647,3.83,0.68,-0.17
20:57:54:660,3.83,0.66,-0.15
20:57:54:688,3.84,0.66,-0.19
20:57:54:721,3.82,0.65,-0.16
20:57:54:742,3.82,0.62,-0.16
20:57:54:750,3.81,0.58,-0.17
20:57:54:774,3.80,0.55,-0.15
20:57:54:809,3.80,0.55,-0.14
20:57:54:823,3.80,0.58,-0.12
20:57:54:851,3.79,0.59,-0.14
20:57:54:874,3.83,0.62,-0.15
20:57:54:906,3.85,0.63,-0.20
20:57:54:934,3.86,0.63,-0.14
20:57:54:945,3.86,0.63,-0.13
20:57:54:990,3.85,0.65,-0.16
20:57:54:996,3.85,0.67,-0.11
20:57:55:17,3.84,0.67,-0.12
20:57:55:61,3.83,0.68,-0.09
20:57:55:85,3.83,0.69,-0.11
20:57:55:96,3.82,0.71,-0.10
20:57:55:123,3.83,0.72,-0.08
20:57:55:143,3.83,0.73,-0.12
20:57:55:168,3.83,0.75,-0.14
20:57:55:191,3.84,0.76,-0.15
20:57:55:204,3.85,0.73,-0.14
20:57:55:234,3.84,0.76,-0.15
20:57:55:254,3.81,0.75,-0.17
20:57:55:281,3.83,0.76,-0.18
20:57:55:312,3.80,0.71,-0.15
20:57:55:332,3.81,0.74,-0.16
20:57:55:351,3.80,0.70,-0.18
20:57:55:388,3.80,0.68,-0.14
20:57:55:463,3.82,0.68,-0.16
20:57:55:471,3.81,0.68,-0.15
20:57:55:477,3.84,0.68,-0.17
20:57:55:491,3.85,0.67,-0.14
20:57:55:513,3.85,0.65,-0.14
20:57:55:519,3.86,0.65,-0.13
20:57:55:548,3.85,0.64,-0.12
20:57:55:581,3.83,0.63,-0.11
20:57:55:594,3.85,0.64,-0.13
20:57:55:612,3.83,0.65,-0.11
20:57:55:656,3.85,0.68,-0.12
20:57:55:684,3.83,0.66,-0.14
20:57:55:696,3.85,0.68,-0.13
20:57:55:705,3.84,0.68,-0.13
20:57:55:739,3.82,0.69,-0.12
20:57:55:770,3.84,0.70,-0.14
20:57:55:785,3.81,0.73,-0.14
20:57:55:815,3.83,0.73,-0.12
20:57:55:847,3.83,0.70,-0.17
20:57:55:854,3.82,0.74,-0.16
20:57:55:875,3.81,0.75,-0.12
20:57:55:921,3.83,0.70,-0.12
20:57:55:927,3.83,0.72,-0.14
20:57:55:948,3.81,0.71,-0.14
20:57:55:989,3.81,0.70,-0.12
20:57:56:12,3.81,0.69,-0.15
20:57:56:21,3.82,0.70,-0.10
20:57:56:54,3.82,0.71,-0.13
20:57:56:73,3.82,0.70,-0.13
20:57:56:97,3.83,0.67,-0.12
20:57:56:120,3.82,0.69,-0.15
20:57:56:160,3.84,0.68,-0.12
20:57:56:175,3.84,0.66,-0.12
20:57:56:201,3.83,0.67,-0.12
20:57:56:214,3.83,0.69,-0.09
20:57:56:233,3.83,0.67,-0.09
20:57:56:266,3.84,0.69,-0.10
20:57:56:291,3.87,0.69,-0.10
20:57:56:327,3.87,0.69,-0.10
20:57:56:342,3.85,0.69,-0.11
20:57:56:365,3.85,0.70,-0.14
20:57:56:373,3.82,0.69,-0.15
20:57:56:409,3.84,0.67,-0.10
20:57:56:436,3.86,0.66,-0.14
20:57:56:452,3.84,0.66,-0.13
20:57:56:480,3.81,0.67,-0.12
20:57:56:512,3.83,0.67,-0.14
20:57:56:528,3.84,0.63,-0.09
