21:20:0:756,3.79,0.27,-0.96
21:20:0:756,3.82,0.27,-1.00
21:20:0:756,3.79,0.27,-0.99
21:20:0:756,3.78,0.28,-0.99
21:20:0:756,3.82,0.27,-0.98
21:20:0:817,3.81,0.28,-0.98
21:20:0:817,3.78,0.27,-0.99
21:20:0:817,3.83,0.29,-1.01
21:20:0:885,3.82,0.30,-0.99
21:20:1:26,3.78,0.27,-0.98
21:20:1:26,3.80,0.28,-1.01
21:20:1:26,3.83,0.27,-1.00
21:20:1:26,3.80,0.28,-0.99
21:20:1:26,3.80,0.30,-0.97
21:20:1:42,3.80,0.28,-1.01
21:20:1:42,3.81,0.26,-1.02
21:20:1:80,3.78,0.28,-1.00
21:20:1:80,3.79,0.26,-0.98
21:20:1:80,3.80,0.27,-1.00
21:20:1:80,3.80,0.29,-1.01
21:20:1:80,3.79,0.26,-1.00
21:20:1:80,3.79,0.28,-1.03
21:20:1:80,3.80,0.27,-1.00
21:20:1:142,3.80,0.28,-1.00
21:20:1:142,3.81,0.27,-0.99
21:20:1:180,3.79,0.27,-1.01
21:20:1:381,3.81,0.26,-0.98
21:20:1:381,3.80,0.28,-0.96
21:20:1:381,3.80,0.29,-0.99
21:20:1:381,3.79,0.27,-0.96
21:20:1:440,3.79,0.27,-0.97
21:20:1:457,3.80,0.28,-0.97
21:20:1:457,3.82,0.27,-0.96
21:20:1:473,3.80,0.26,-0.99
21:20:1:478,3.81,0.29,-0.99
21:20:1:648,3.79,0.25,-0.99
21:20:1:744,3.82,0.25,-0.97
21:20:1:866,3.81,0.27,-1.00
21:20:1:866,3.81,0.28,-0.99
21:20:1:866,3.81,0.27,-0.99
21:20:2:0,3.79,0.27,-0.97
21:20:2:0,3.80,0.28,-0.98
21:20:2:0,3.79,0.30,-1.02
21:20:2:0,3.80,0.30,-0.98
21:20:2:76,3.81,0.28,-0.99
21:20:2:76,3.80,0.27,-0.98
21:20:2:76,3.78,0.29,-0.99
21:20:2:159,3.79,0.28,-1.02
