21:27:51:679,3.83,0.22,-0.88
21:27:51:695,3.83,0.25,-0.85
21:27:51:788,3.80,0.27,-0.87
21:27:51:818,3.85,0.30,-0.85
21:27:51:842,3.83,0.31,-0.86
21:27:51:842,3.83,0.23,-0.86
21:27:51:868,3.85,0.25,-0.88
21:27:51:889,3.85,0.29,-0.83
21:27:51:889,3.87,0.29,-0.86
21:27:51:902,3.85,0.28,-0.83
21:27:51:922,3.84,0.25,-0.87
21:27:51:938,3.83,0.23,-0.85
21:27:51:961,3.85,0.25,-0.84
21:27:51:973,3.84,0.29,-0.85
21:27:51:978,3.83,0.29,-0.84
21:27:52:23,3.85,0.24,-0.84
21:27:52:38,3.84,0.25,-0.86
21:27:52:53,3.83,0.31,-0.84
21:27:52:78,3.84,0.31,-0.88
21:27:52:118,3.83,0.31,-0.87
21:27:52:118,3.84,0.29,-0.87
21:27:52:118,3.83,0.28,-0.89
21:27:52:203,3.82,0.27,-0.85
21:27:52:238,3.85,0.30,-0.87
21:27:52:238,3.84,0.28,-0.85
21:27:52:276,3.84,0.23,-0.89
21:27:52:318,3.83,0.29,-0.87
21:27:52:328,3.86,0.30,-0.85
21:27:52:343,3.82,0.30,-0.88
21:27:52:409,3.81,0.29,-0.86
21:27:52:503,3.83,0.27,-0.88
21:27:52:568,3.83,0.29,-0.88
21:27:52:598,3.80,0.28,-0.90
21:27:52:761,3.82,0.29,-0.89
21:27:52:778,3.84,0.28,-0.92
21:27:52:861,3.84,0.28,-0.89
21:27:52:913,3.80,0.29,-0.87
21:27:52:948,3.82,0.29,-0.88
21:27:52:962,3.83,0.30,-0.88
21:27:52:988,3.81,0.29,-0.89
21:27:53:18,3.82,0.26,-0.88
21:27:53:61,3.84,0.27,-0.90
21:27:53:73,3.86,0.28,-0.89
21:27:53:133,3.83,0.27,-0.91
21:27:53:171,3.85,0.27,-0.90
21:27:53:171,3.83,0.27,-0.90
21:27:53:238,3.86,0.29,-0.87
21:27:53:434,3.84,0.26,-0.88
21:27:53:434,3.83,0.25,-0.86
21:27:53:434,3.83,0.27,-0.88
21:27:53:434,3.83,0.26,-0.87
21:27:53:434,3.82,0.28,-0.87
21:27:53:533,3.83,0.28,-0.86
21:27:53:533,3.83,0.28,-0.86
21:27:53:562,3.84,0.26,-0.85
21:27:53:728,3.84,0.26,-0.88
21:27:53:728,3.83,0.28,-0.84
21:27:53:728,3.85,0.30,-0.85
21:27:53:838,3.84,0.27,-0.86
21:27:53:838,3.85,0.25,-0.87
21:27:53:838,3.84,0.25,-0.87
21:27:53:848,3.84,0.26,-0.88
21:27:53:898,3.83,0.26,-0.85
21:27:53:898,3.84,0.26,-0.85
21:27:53:913,3.81,0.27,-0.87
21:27:53:938,3.81,0.27,-0.88
21:27:54:11,3.81,0.25,-0.87
21:27:54:68,3.84,0.25,-0.87
21:27:54:68,3.86,0.26,-0.87
21:27:54:98,3.84,0.29,-0.89
21:27:54:98,3.84,0.27,-0.87
21:27:54:98,3.82,0.26,-0.87
21:27:54:108,3.83,0.27,-0.90
21:27:54:108,3.83,0.29,-0.86
21:27:54:123,3.84,0.29,-0.90
21:27:54:123,3.83,0.29,-0.90
21:27:54:123,3.84,0.27,-0.87
21:27:54:123,3.80,0.27,-0.90
21:27:54:123,3.83,0.28,-0.91
21:27:54:123,3.83,0.30,-0.89
21:27:54:123,3.83,0.28,-0.88
21:27:54:148,3.82,0.27,-0.89
21:27:54:148,3.84,0.28,-0.90
21:27:54:148,3.84,0.26,-0.92
21:27:54:148,3.83,0.27,-0.89
21:27:54:148,3.83,0.29,-0.90
21:27:54:168,3.83,0.28,-0.91
21:27:54:168,3.82,0.26,-0.91
21:27:54:379,3.81,0.27,-0.93
21:27:54:379,3.83,0.28,-0.91
21:27:54:379,3.83,0.28,-0.91
21:27:54:379,3.83,0.26,-0.90
21:27:54:379,3.81,0.23,-0.89
21:27:54:379,3.82,0.28,-0.90
21:27:54:379,3.83,0.30,-0.88
21:27:54:489,3.81,0.27,-0.92
21:27:54:489,3.82,0.27,-0.91
21:27:54:489,3.83,0.27,-0.90
21:27:54:489,3.81,0.25,-0.89
21:27:54:581,3.82,0.27,-0.91
21:27:54:596,3.83,0.26,-0.91
21:27:54:625,3.82,0.26,-0.91
21:27:54:634,3.82,0.27,-0.92
21:27:54:671,3.83,0.26,-0.92
21:27:54:708,3.83,0.26,-0.91
21:27:54:827,3.82,0.24,-0.92
21:27:54:827,3.83,0.27,-0.90
21:27:54:881,3.84,0.26,-0.89
21:27:54:936,3.83,0.27,-0.92
21:27:54:954,3.82,0.26,-0.93
21:27:54:972,3.82,0.27,-0.93
21:27:55:8,3.83,0.26,-0.96
21:27:55:25,3.81,0.26,-0.91
21:27:55:43,3.82,0.25,-0.93
21:27:55:113,3.84,0.27,-0.93
21:27:55:113,3.81,0.27,-0.92
21:27:55:113,3.81,0.27,-0.93
21:27:55:113,3.80,0.26,-0.91
21:27:55:113,3.83,0.28,-0.93
21:27:55:113,3.83,0.25,-0.93
21:27:55:113,3.84,0.25,-0.91
21:27:55:132,3.83,0.29,-0.91
21:27:55:132,3.83,0.25,-0.92
21:27:55:132,3.81,0.24,-0.89
21:27:55:132,3.83,0.25,-0.91
21:27:55:132,3.83,0.27,-0.91
21:27:55:132,3.81,0.25,-0.92
21:27:55:168,3.83,0.23,-0.89
21:27:55:168,3.82,0.24,-0.91
21:27:55:168,3.82,0.27,-0.90
21:27:55:203,3.83,0.26,-0.90
21:27:55:203,3.83,0.24,-0.91
21:27:55:238,3.83,0.25,-0.89
21:27:55:272,3.83,0.25,-0.91
21:27:55:292,3.82,0.25,-0.88
21:27:55:292,3.84,0.25,-0.88
21:27:55:347,3.84,0.23,-0.89
21:27:55:347,3.83,0.23,-0.92
21:27:55:347,3.83,0.24,-0.91
21:27:55:347,3.84,0.25,-0.90
21:27:55:365,3.83,0.24,-0.89
21:27:55:365,3.82,0.23,-0.89
21:27:55:365,3.84,0.25,-0.91
21:27:55:365,3.82,0.26,-0.87
21:27:55:365,3.83,0.26,-0.89
21:27:55:382,3.84,0.26,-0.92
21:27:55:400,3.82,0.25,-0.90
21:27:55:452,3.83,0.24,-0.90
21:27:55:486,3.82,0.25,-0.90
21:27:55:506,3.83,0.27,-0.89
21:27:55:523,3.83,0.28,-0.90
21:27:55:523,3.82,0.26,-0.91
21:27:55:523,3.82,0.24,-0.88
21:27:55:560,3.86,0.25,-0.89
21:27:55:560,3.84,0.25,-0.91
21:27:55:577,3.83,0.25,-0.87
21:27:55:577,3.82,0.25,-0.92
21:27:55:596,3.84,0.26,-0.91
21:27:55:633,3.83,0.25,-0.90
21:27:55:633,3.85,0.26,-0.89
21:27:55:650,3.83,0.27,-0.92
21:27:55:685,3.83,0.25,-0.91
21:27:55:685,3.82,0.26,-0.91
21:27:55:702,3.82,0.25,-0.89
21:27:55:737,3.80,0.23,-0.91
21:27:55:756,3.83,0.25,-0.90
21:27:55:756,3.83,0.25,-0.89
21:27:55:756,3.83,0.26,-0.91
21:27:55:774,3.83,0.26,-0.92
21:27:55:811,3.83,0.26,-0.90
21:27:55:830,3.82,0.25,-0.92
21:27:55:866,3.83,0.24,-0.92
21:27:55:982,3.82,0.26,-0.92
21:27:56:13,3.81,0.25,-0.89
21:27:56:103,3.82,0.27,-0.91
21:27:56:244,3.81,0.26,-0.91
21:27:56:315,3.81,0.26,-0.94
21:27:56:350,3.81,0.28,-0.94
21:27:56:369,3.80,0.28,-0.93
21:27:56:386,3.81,0.29,-0.94
21:27:56:404,3.85,0.30,-0.95
21:27:56:510,3.86,0.30,-0.93
21:27:56:601,3.86,0.26,-0.95
21:27:56:637,3.82,0.24,-0.97
21:27:56:654,3.84,0.26,-0.96
21:27:56:654,3.82,0.26,-0.97
21:27:56:654,3.88,0.28,-0.97
21:27:56:654,3.89,0.21,-0.97
21:27:56:654,3.86,0.20,-0.97
21:27:56:674,3.86,0.13,-0.95
21:27:56:710,3.89,0.02,-0.93
21:27:56:710,3.83,-0.03,-0.88
21:27:56:710,3.88,-0.18,-0.88
21:27:56:762,3.81,-0.22,-0.88
21:27:56:762,3.82,-0.18,-0.90
21:27:56:834,3.78,-0.15,-0.94
21:27:56:834,3.73,-0.17,-0.93
21:27:56:834,3.80,-0.18,-0.94
21:27:56:834,3.79,-0.15,-0.94
21:27:56:852,3.85,-0.11,-0.89
21:27:56:852,3.92,-0.11,-0.82
21:27:56:899,4.00,0.00,-0.69
21:27:56:899,3.73,0.23,-0.60
21:27:56:914,3.14,0.47,-0.69
21:27:56:921,3.48,0.45,-0.97
21:27:56:927,4.04,0.48,-1.16
21:27:56:940,4.36,0.23,-1.37
21:27:56:947,4.70,0.29,-1.48
21:27:56:947,4.17,0.19,-1.43
21:27:56:947,3.47,0.12,-1.13
21:27:56:953,3.16,0.26,-1.03
21:27:56:953,3.33,0.61,-0.94
21:27:56:959,3.45,0.71,-0.85
21:27:56:968,3.25,0.65,-0.88
21:27:56:968,3.50,0.61,-1.09
21:27:56:977,3.50,0.57,-1.20
21:27:56:990,3.73,0.65,-1.15
21:27:57:45,3.81,0.59,-1.04
21:27:57:45,3.80,0.75,-0.95
21:27:57:81,4.02,0.89,-1.03
21:27:57:81,4.08,1.13,-1.26
21:27:57:98,4.49,1.16,-1.12
21:27:57:98,4.85,0.57,-1.01
21:27:57:98,6.96,0.21,-0.20
21:27:57:98,3.57,-1.00,-1.57
21:27:57:117,3.84,0.23,-0.42
21:27:57:117,5.14,0.24,0.43
21:27:57:133,4.10,-0.19,0.33
21:27:57:151,3.46,0.12,0.55
21:27:57:152,3.58,0.69,0.46
21:27:57:152,3.60,0.78,0.14
21:27:57:190,4.00,0.48,-0.14
21:27:57:208,3.17,-0.18,-0.38
21:27:57:226,3.17,0.10,-0.24
21:27:57:261,3.21,0.19,-0.30
21:27:57:298,3.23,-0.04,-0.40
21:27:57:298,3.12,-0.49,-0.49
21:27:57:315,2.89,-0.58,-0.62
21:27:57:315,2.94,-0.41,-0.52
21:27:57:334,3.04,-0.27,-0.69
21:27:57:351,3.27,-0.45,-0.16
21:27:57:351,3.67,-1.05,-0.84
21:27:57:369,5.04,-0.73,-1.44
21:27:57:385,5.87,0.14,-1.51
21:27:57:385,4.77,0.36,-2.16
21:27:57:403,4.08,-0.24,-1.61
21:27:57:421,8.00,-0.24,-0.44
21:27:57:421,6.56,0.97,0.46
21:27:57:439,2.74,1.75,0.71
21:27:57:457,2.67,0.51,0.13
21:27:57:492,3.53,0.33,0.22
21:27:57:510,5.62,-0.25,-0.18
21:27:57:565,4.20,-0.17,-0.32
21:27:57:565,2.48,0.64,-0.14
21:27:57:583,3.04,0.63,-0.42
21:27:57:600,2.30,0.28,-0.53
21:27:57:656,2.36,0.39,-0.64
21:27:57:656,2.77,0.94,-0.44
21:27:57:691,3.03,1.08,-0.53
21:27:57:708,2.91,0.92,-0.95
21:27:57:727,3.30,0.34,-0.99
21:27:57:763,3.22,0.11,-1.12
21:27:57:780,3.75,0.22,-1.66
21:27:57:813,4.70,0.38,-1.76
21:27:57:813,5.36,0.73,-1.72
21:27:57:869,4.53,0.65,-2.22
21:27:57:920,3.53,0.81,-1.96
21:27:57:955,7.40,0.71,0.81
21:27:57:955,8.00,-1.33,0.34
21:27:57:973,1.76,-0.83,-0.29
21:27:58:9,3.40,0.53,0.39
21:27:58:9,5.18,0.51,0.17
21:27:58:26,5.83,1.17,-0.44
21:27:58:45,2.32,0.03,-0.24
