21:30:5:269,3.90,-1.07,0.46
21:30:5:285,3.89,-1.08,0.44
21:30:5:321,3.89,-1.08,0.47
21:30:5:321,3.87,-1.09,0.47
21:30:5:358,3.89,-1.08,0.47
21:30:5:358,3.88,-1.07,0.46
21:30:5:411,3.88,-1.09,0.47
21:30:5:415,3.88,-1.08,0.46
21:30:5:415,3.90,-1.06,0.46
21:30:5:436,3.89,-1.09,0.48
21:30:5:436,3.88,-1.07,0.49
21:30:5:436,3.89,-1.07,0.47
21:30:5:436,3.87,-1.09,0.47
21:30:5:452,3.90,-1.07,0.48
21:30:5:520,3.88,-1.06,0.51
21:30:5:536,3.89,-1.06,0.46
21:30:5:536,3.87,-1.08,0.48
21:30:5:757,3.88,-1.09,0.49
21:30:5:757,3.88,-1.11,0.47
21:30:5:757,3.89,-1.19,0.50
21:30:5:757,3.88,-1.12,0.44
21:30:5:757,3.90,-1.13,0.46
21:30:5:757,3.87,-1.15,0.48
21:30:5:821,3.89,-1.15,0.45
21:30:5:821,3.88,-1.14,0.49
21:30:5:860,3.87,-1.15,0.46
21:30:5:860,3.89,-1.16,0.45
21:30:5:938,3.87,-1.13,0.45
21:30:6:22,3.88,-1.17,0.46
21:30:6:22,3.87,-1.16,0.46
21:30:6:196,3.86,-1.14,0.47
21:30:6:327,3.88,-1.14,0.47
21:30:6:327,3.88,-1.13,0.48
21:30:6:347,3.86,-1.12,0.45
21:30:6:387,3.89,-1.12,0.48
21:30:6:387,3.89,-1.14,0.48
21:30:6:447,3.86,-1.14,0.47
21:30:6:527,3.88,-1.15,0.47
21:30:6:557,3.88,-1.13,0.47
21:30:6:577,3.86,-1.15,0.47
21:30:6:577,3.86,-1.14,0.50
21:30:6:587,3.88,-1.16,0.48
21:30:6:647,3.86,-1.16,0.48
21:30:6:647,3.87,-1.15,0.47
21:30:6:647,3.87,-1.14,0.46
21:30:6:647,3.86,-1.15,0.52
21:30:6:647,3.89,-1.13,0.50
21:30:6:647,3.88,-1.14,0.50
21:30:6:647,3.89,-1.15,0.49
21:30:6:697,3.87,-1.14,0.47
21:30:6:697,3.87,-1.14,0.50
21:30:6:697,3.88,-1.13,0.47
21:30:6:697,3.86,-1.16,0.50
21:30:6:732,3.87,-1.16,0.47
21:30:6:732,3.88,-1.13,0.49
21:30:6:757,3.87,-1.14,0.49
21:30:6:757,3.85,-1.15,0.47
21:30:6:757,3.88,-1.13,0.48
21:30:7:202,3.86,-1.13,0.48
21:30:7:202,3.88,-1.14,0.47
21:30:7:202,3.87,-1.15,0.48
21:30:7:202,3.87,-1.13,0.47
21:30:7:339,3.88,-1.14,0.48
21:30:7:339,3.89,-1.13,0.48
21:30:7:417,3.88,-1.13,0.49
21:30:7:417,3.87,-1.13,0.47
21:30:7:417,3.89,-1.13,0.48
21:30:7:417,3.89,-1.09,0.44
21:30:7:417,3.86,-1.15,0.50
21:30:7:697,3.88,-1.15,0.47
21:30:7:697,3.88,-1.13,0.47
21:30:7:697,3.89,-1.13,0.46
21:30:7:697,3.88,-1.11,0.44
21:30:7:697,3.88,-1.12,0.47
21:30:7:767,3.88,-1.13,0.47
21:30:7:862,3.88,-1.13,0.48
21:30:7:862,3.87,-1.13,0.49
21:30:7:960,3.87,-1.12,0.45
21:30:7:960,3.87,-1.11,0.49
21:30:7:960,3.88,-1.13,0.46
21:30:8:182,3.88,-1.15,0.48
21:30:8:182,3.88,-1.13,0.46
21:30:8:367,3.87,-1.13,0.44
21:30:8:422,3.88,-1.14,0.46
21:30:8:497,3.90,-1.15,0.45
21:30:8:512,3.88,-1.13,0.45
21:30:8:522,3.89,-1.13,0.46
21:30:8:522,3.87,-1.12,0.46
