21:24:30:587,3.86,0.82,-0.47
21:24:30:603,3.86,0.83,-0.44
21:24:30:626,3.88,0.83,-0.45
21:24:30:657,3.87,0.80,-0.46
21:24:30:673,3.86,0.82,-0.46
21:24:30:694,3.86,0.83,-0.44
21:24:30:751,3.85,0.80,-0.45
21:24:30:766,3.87,0.82,-0.45
21:24:30:782,3.86,0.82,-0.42
21:24:30:798,3.86,0.82,-0.47
21:24:30:813,3.88,0.80,-0.46
21:24:30:829,3.86,0.79,-0.47
21:24:30:876,3.86,0.82,-0.45
21:24:30:881,3.88,0.81,-0.43
21:24:30:916,3.86,0.81,-0.45
21:24:30:949,3.87,0.79,-0.46
21:24:30:981,3.86,0.82,-0.47
21:24:30:996,3.87,0.82,-0.44
21:24:31:1,3.87,0.79,-0.43
21:24:31:41,3.85,0.81,-0.47
21:24:31:62,3.85,0.83,-0.45
21:24:31:78,3.86,0.77,-0.49
21:24:31:98,3.82,0.88,-0.42
21:24:31:157,3.84,0.87,-0.42
21:24:31:173,3.84,0.83,-0.39
21:24:31:174,3.85,0.76,-0.44
21:24:31:210,3.87,0.81,-0.45
21:24:31:234,3.86,0.77,-0.45
21:24:31:249,3.87,0.79,-0.48
21:24:31:294,3.86,0.77,-0.45
21:24:31:356,3.87,0.78,-0.43
21:24:31:364,3.85,0.81,-0.46
21:24:31:391,3.85,0.79,-0.42
21:24:31:436,3.87,0.80,-0.45
21:24:31:443,3.87,0.78,-0.46
21:24:31:449,3.87,0.77,-0.47
21:24:31:462,3.86,0.78,-0.47
21:24:31:474,3.86,0.80,-0.44
21:24:31:501,3.87,0.80,-0.44
21:24:31:554,3.87,0.76,-0.48
21:24:31:575,3.85,0.78,-0.46
21:24:31:586,3.85,0.80,-0.46
21:24:31:593,3.88,0.80,-0.45
21:24:31:620,3.87,0.78,-0.45
21:24:31:640,3.84,0.79,-0.46
21:24:31:665,3.85,0.80,-0.51
21:24:31:687,3.87,0.78,-0.46
21:24:31:718,3.85,0.79,-0.46
21:24:31:751,3.86,0.78,-0.46
21:24:31:758,3.87,0.79,-0.46
21:24:31:794,3.85,0.79,-0.47
21:24:31:813,3.88,0.80,-0.45
21:24:31:831,3.87,0.80,-0.46
21:24:31:872,3.86,0.78,-0.48
21:24:31:885,3.85,0.80,-0.44
21:24:31:906,3.88,0.78,-0.46
21:24:31:927,3.87,0.77,-0.46
21:24:31:946,3.85,0.77,-0.44
21:24:32:7,3.85,0.78,-0.46
21:24:32:19,3.86,0.78,-0.45
21:24:32:25,3.88,0.79,-0.46
21:24:32:56,3.85,0.78,-0.49
21:24:32:73,3.86,0.78,-0.46
21:24:32:93,3.88,0.78,-0.44
21:24:32:115,3.88,0.78,-0.46
21:24:32:159,3.86,0.80,-0.45
21:24:32:172,3.87,0.77,-0.45
21:24:32:190,3.87,0.78,-0.46
21:24:32:228,3.88,0.78,-0.45
21:24:32:240,3.87,0.70,-0.52
21:24:32:264,3.86,0.79,-0.48
21:24:32:293,3.87,0.81,-0.45
21:24:32:313,3.85,0.76,-0.45
21:24:32:353,3.88,0.77,-0.46
21:24:32:358,3.87,0.79,-0.47
21:24:32:384,3.84,0.80,-0.46
21:24:32:412,3.86,0.78,-0.43
21:24:32:432,3.86,0.76,-0.43
21:24:32:458,3.86,0.78,-0.43
21:24:32:482,3.84,0.81,-0.42
21:24:32:514,3.86,0.78,-0.44
21:24:32:531,3.86,0.77,-0.45
21:24:32:551,3.86,0.78,-0.47
21:24:32:576,3.86,0.78,-0.44
21:24:32:633,3.85,0.78,-0.43
21:24:32:642,3.86,0.79,-0.45
21:24:32:655,3.86,0.79,-0.44
21:24:32:694,3.86,0.79,-0.43
21:24:32:700,3.87,0.78,-0.42
21:24:32:726,3.86,0.80,-0.45
21:24:32:770,3.84,0.79,-0.45
21:24:32:823,3.88,0.77,-0.46
21:24:32:842,3.87,0.77,-0.45
21:24:32:851,3.87,0.79,-0.43
21:24:32:864,3.87,0.78,-0.44
21:24:32:870,3.87,0.80,-0.45
21:24:32:882,3.86,0.79,-0.44
21:24:32:916,3.90,0.80,-0.47
21:24:32:941,3.87,0.78,-0.45
21:24:32:962,3.85,0.80,-0.43
21:24:32:995,3.85,0.81,-0.43
21:24:33:36,3.85,0.78,-0.42
21:24:33:44,3.88,0.80,-0.45
21:24:33:50,3.86,0.79,-0.43
21:24:33:78,3.87,0.81,-0.43
21:24:33:104,3.83,0.79,-0.43
21:24:33:132,3.86,0.79,-0.43
21:24:33:169,3.87,0.78,-0.46
21:24:33:209,3.88,0.80,-0.41
21:24:33:225,3.85,0.80,-0.44
21:24:33:240,3.87,0.80,-0.45
21:24:33:281,3.86,0.80,-0.45
21:24:33:292,3.87,0.80,-0.42
21:24:33:302,3.87,0.80,-0.42
21:24:33:327,3.87,0.79,-0.45
21:24:33:347,3.88,0.81,-0.44
21:24:33:402,3.88,0.79,-0.43
21:24:33:419,3.86,0.80,-0.42
21:24:33:440,3.87,0.81,-0.44
21:24:33:456,3.85,0.80,-0.45
21:24:33:462,3.86,0.81,-0.44
21:24:33:492,3.85,0.80,-0.46
21:24:33:522,3.87,0.79,-0.45
21:24:33:532,3.87,0.77,-0.45
21:24:33:552,3.87,0.81,-0.42
21:24:33:583,3.88,0.82,-0.42
21:24:33:602,3.85,0.80,-0.44
21:24:33:632,3.86,0.79,-0.46
21:24:33:662,3.85,0.81,-0.43
21:24:33:722,3.87,0.83,-0.43
21:24:33:787,3.86,0.75,-0.50
21:24:33:800,3.86,0.83,-0.46
21:24:33:802,3.85,0.82,-0.45
21:24:33:839,3.85,0.78,-0.44
21:24:33:839,3.87,0.80,-0.46
21:24:33:855,3.87,0.80,-0.44
21:24:33:872,3.86,0.80,-0.46
21:24:33:911,3.89,0.80,-0.47
21:24:33:927,3.87,0.81,-0.46
21:24:33:927,3.85,0.80,-0.46
21:24:33:944,3.85,0.83,-0.44
21:24:33:960,3.89,0.79,-0.47
21:24:33:991,3.88,0.80,-0.48
21:24:34:27,3.87,0.79,-0.42
21:24:34:47,3.85,0.83,-0.38
21:24:34:80,3.87,0.78,-0.48
21:24:34:80,3.87,0.81,-0.48
21:24:34:96,3.87,0.77,-0.47
21:24:34:130,3.86,0.78,-0.43
21:24:34:145,3.87,0.75,-0.46
21:24:34:177,3.89,0.72,-0.51
21:24:34:210,3.82,0.75,-0.50
21:24:34:210,3.86,0.78,-0.40
21:24:34:263,3.86,0.77,-0.47
21:24:34:280,3.85,0.76,-0.45
21:24:34:299,3.87,0.75,-0.44
21:24:34:335,3.89,0.75,-0.42
21:24:34:371,3.87,0.76,-0.42
21:24:34:408,3.86,0.78,-0.40
21:24:34:423,3.87,0.88,-0.42
21:24:34:441,3.83,0.77,-0.41
21:24:34:459,3.91,0.72,-0.46
21:24:34:496,3.88,0.78,-0.36
21:24:34:496,3.87,0.68,-0.46
21:24:34:533,3.91,0.46,-0.49
21:24:34:553,3.94,0.58,-0.39
21:24:34:571,3.84,0.58,-0.34
21:24:34:589,3.90,0.43,-0.40
21:24:34:661,3.91,0.58,-0.39
21:24:34:679,3.81,0.84,-0.37
21:24:34:697,3.80,0.69,-0.15
21:24:34:749,3.91,0.51,-0.24
21:24:34:761,3.72,0.52,-0.21
21:24:34:776,3.95,0.50,-0.10
21:24:34:826,4.01,0.73,-0.35
21:24:34:864,3.97,0.85,0.04
21:24:34:882,3.90,0.60,-0.24
21:24:34:900,3.92,0.70,-0.03
21:24:34:900,3.94,0.38,-0.30
21:24:34:953,3.85,0.50,-0.11
21:24:34:961,3.67,0.50,-0.08
21:24:34:972,3.85,0.40,-0.12
21:24:34:989,4.04,0.38,-0.12
21:24:35:7,4.07,0.37,-0.10
21:24:35:7,3.89,0.30,-0.21
21:24:35:7,3.90,-0.12,-0.33
21:24:35:61,3.91,0.33,0.14
21:24:35:79,3.98,0.39,0.07
21:24:35:79,4.10,-0.20,-0.39
21:24:35:117,4.07,0.04,-0.11
21:24:35:136,4.00,-0.15,-0.12
21:24:35:173,4.00,-0.21,-0.20
21:24:35:191,4.25,-0.37,-0.40
21:24:35:209,4.39,-0.48,-0.65
21:24:35:227,4.42,-0.51,-0.58
21:24:35:263,4.30,-0.34,-0.15
21:24:35:300,4.62,0.10,0.15
21:24:35:318,4.99,0.36,-0.14
21:24:35:355,5.37,0.35,-0.72
21:24:35:355,5.72,0.83,-0.87
21:24:35:374,5.73,1.26,-0.68
21:24:35:411,5.41,1.81,-0.21
21:24:35:411,4.79,0.27,0.04
21:24:35:470,6.75,-0.86,0.76
21:24:35:486,6.07,-1.10,0.80
21:24:35:486,3.81,0.88,1.40
21:24:35:523,1.45,3.37,-0.46
21:24:35:540,1.68,2.24,-1.15
21:24:35:558,2.14,1.96,-1.23
21:24:35:615,1.39,2.41,0.05
21:24:35:669,2.94,1.62,-0.30
21:24:35:686,3.41,1.36,-0.26
21:24:35:702,4.65,0.91,-0.59
21:24:35:702,5.72,0.85,-0.94
21:24:35:730,7.20,1.00,-0.80
21:24:35:749,8.00,-0.79,-0.52
21:24:35:767,8.00,-3.45,-1.43
21:24:35:786,7.86,-2.26,-1.06
21:24:35:820,6.98,-3.05,2.54
21:24:35:842,7.15,-7.56,-1.75
21:24:35:860,2.78,-8.00,-1.75
21:24:35:895,8.00,-5.27,-1.43
21:24:35:897,2.40,8.00,1.84
21:24:35:931,7.05,-1.68,-4.71
21:24:35:953,6.60,-0.01,-1.62
21:24:35:989,5.96,-1.26,-1.21
21:24:35:989,2.77,0.71,1.08
21:24:36:25,4.02,0.64,0.36
21:24:36:62,3.46,1.02,0.13
21:24:36:81,4.23,0.55,-0.86
21:24:36:114,3.97,0.88,-0.31
21:24:36:117,3.90,0.60,-0.12
21:24:36:152,3.64,1.04,0.30
21:24:36:170,3.93,0.46,-0.25
21:24:36:205,3.92,0.25,-0.25
21:24:36:255,3.77,0.48,-0.02
21:24:36:257,3.88,0.50,0.25
21:24:36:275,4.02,0.68,-0.14
21:24:36:292,4.05,0.42,-0.23
21:24:36:325,4.29,0.04,-0.16
21:24:36:343,4.42,0.35,-0.07
21:24:36:361,4.49,0.25,-0.29
21:24:36:380,4.57,0.27,-0.38
21:24:36:414,4.69,-0.10,-0.28
21:24:36:434,4.60,-0.09,-0.55
21:24:36:458,4.71,0.17,-0.31
21:24:36:476,4.84,0.42,0.17
21:24:36:511,5.46,0.75,0.01
21:24:36:529,6.59,2.00,-0.28
21:24:36:547,7.42,3.88,0.12
21:24:36:583,6.22,3.71,0.90
21:24:36:599,5.69,-1.05,0.35
21:24:36:614,6.26,0.90,0.26
21:24:36:651,3.08,-0.47,0.77
21:24:36:669,0.31,0.45,0.73
21:24:36:687,0.89,3.04,-1.35
21:24:36:705,1.90,1.72,-1.39
21:24:36:776,1.07,1.56,-0.41
21:24:36:796,2.48,1.24,-1.01
21:24:36:814,2.66,2.43,-0.55
21:24:36:832,3.79,0.98,-0.77
21:24:36:832,5.09,1.52,-1.07
21:24:36:850,6.52,0.77,-1.20
21:24:36:869,8.00,1.11,-0.60
21:24:36:922,8.00,-1.62,-0.14
21:24:36:943,8.00,-3.12,0.32
21:24:36:960,6.50,-1.72,-1.71
21:24:36:977,7.46,-6.07,2.81
21:24:37:14,3.64,-8.00,-1.77
21:24:37:32,6.48,-6.34,-1.17
21:24:37:52,6.07,2.75,0.20
21:24:37:88,2.51,8.00,-4.90
21:24:37:123,8.00,-3.88,-2.14
21:24:37:123,5.97,-1.05,-1.08
21:24:37:141,4.02,-1.32,1.96
21:24:37:178,2.19,2.56,1.05
21:24:37:197,4.90,-0.18,-1.34
21:24:37:214,4.09,0.88,-0.68
21:24:37:251,3.96,0.25,-0.71
21:24:37:287,3.66,1.31,0.92
21:24:37:304,3.75,0.22,-0.12
21:24:37:322,3.96,0.16,-0.48
21:24:37:356,3.80,0.44,0.01
21:24:37:374,3.78,0.29,0.08
21:24:37:390,3.95,0.80,0.12
21:24:37:425,4.43,0.51,-0.20
21:24:37:479,4.21,0.30,-0.25
21:24:37:498,4.43,0.04,-0.52
21:24:37:515,4.34,0.47,-0.25
21:24:37:553,4.62,0.25,-0.07
21:24:37:553,4.41,0.46,0.08
21:24:37:553,4.52,0.34,-0.32
21:24:37:606,4.64,0.35,-0.34
21:24:37:606,4.95,0.90,0.31
21:24:37:623,5.70,1.85,0.18
21:24:37:660,7.59,3.25,0.12
21:24:37:660,6.72,3.65,0.75
21:24:37:715,5.68,-0.81,-0.44
21:24:37:732,6.94,-0.64,0.71
21:24:37:750,3.27,-2.01,0.04
21:24:37:772,1.50,3.22,3.14
21:24:37:807,0.52,3.09,-2.07
21:24:37:824,1.68,1.25,-1.73
21:24:37:843,1.47,1.57,-0.68
21:24:37:893,2.66,1.19,-0.59
21:24:37:910,3.07,1.63,-0.47
21:24:37:929,4.34,0.51,-0.65
21:24:37:955,5.07,0.31,-1.29
21:24:37:957,5.78,0.14,-0.79
21:24:37:994,7.53,-1.01,-0.20
21:24:38:12,7.73,-2.01,0.44
21:24:38:33,7.19,-0.68,-0.22
21:24:38:51,8.00,-2.86,-0.27
21:24:38:86,6.08,-1.34,3.34
21:24:38:123,6.99,-7.71,-0.55
21:24:38:145,3.79,-8.00,-1.32
21:24:38:162,6.54,-4.34,-0.75
21:24:38:180,2.42,8.00,-2.88
21:24:38:198,6.63,2.67,-2.53
21:24:38:234,7.78,-0.58,-1.59
21:24:38:252,4.44,-0.03,0.67
21:24:38:271,2.78,0.18,3.31
21:24:38:289,3.10,2.35,0.56
21:24:38:324,5.35,-1.51,-2.59
21:24:38:342,4.04,0.06,-1.43
21:24:38:377,3.46,0.21,-0.14
21:24:38:392,3.04,1.38,0.88
21:24:38:411,4.05,0.18,-0.25
21:24:38:480,3.76,0.38,-0.70
21:24:38:497,4.16,0.71,0.08
21:24:38:497,4.09,0.68,0.23
21:24:38:516,3.98,0.61,-0.02
21:24:38:549,4.22,0.44,-0.19
21:24:38:568,4.17,0.41,-0.17
21:24:38:586,4.39,0.14,-0.32
21:24:38:640,4.70,0.03,-0.69
21:24:38:658,4.15,-0.07,-0.66
21:24:38:658,4.86,0.35,-0.20
21:24:38:675,4.78,0.25,-0.17
21:24:38:729,4.86,0.30,0.15
21:24:38:746,4.82,0.77,0.19
21:24:38:746,5.48,0.98,0.19
21:24:38:783,6.48,2.96,-0.12
21:24:38:817,6.92,3.60,0.36
21:24:38:819,5.02,-0.17,-0.32
21:24:38:855,6.55,0.09,1.33
21:24:38:889,4.25,-0.54,-0.93
21:24:38:906,1.48,-1.03,0.53
21:24:38:925,0.58,2.92,0.86
21:24:38:944,1.84,1.64,-2.59
21:24:38:962,1.70,1.74,-0.56
21:24:38:998,2.17,1.61,-0.47
21:24:39:14,3.23,1.09,-0.56
21:24:39:66,3.44,1.88,-0.07
21:24:39:84,4.74,0.77,-0.60
21:24:39:85,5.68,0.84,-1.04
21:24:39:102,6.53,0.55,-0.85
21:24:39:138,7.10,1.19,-1.40
21:24:39:157,8.00,-0.89,1.38
21:24:39:190,8.00,-4.39,-3.18
21:24:39:210,6.94,-3.72,1.55
21:24:39:245,6.96,-5.94,0.19
21:24:39:262,3.76,-8.00,-0.52
21:24:39:282,6.21,-5.68,-0.45
21:24:39:318,4.10,1.31,-0.66
21:24:39:338,6.12,8.00,-3.85
21:24:39:355,7.00,-3.88,-2.39
21:24:39:390,5.68,-0.16,-0.92
21:24:39:407,3.33,-0.52,2.31
21:24:39:424,3.28,2.78,0.02
21:24:39:459,4.67,-0.48,-1.26
21:24:39:493,3.68,1.18,-0.22
21:24:39:497,3.69,-0.72,-0.72
21:24:39:515,3.93,0.89,0.26
21:24:39:532,3.60,0.18,0.16
21:24:39:582,3.92,0.06,-0.39
21:24:39:603,3.95,0.47,-0.08
21:24:39:620,3.85,0.29,0.12
21:24:39:655,3.86,0.25,-0.10
21:24:39:676,4.13,0.34,-0.16
21:24:39:676,4.06,0.19,-0.27
21:24:39:712,4.03,0.28,-0.29
21:24:39:763,4.23,0.20,-0.45
21:24:39:765,4.46,0.34,-0.60
21:24:39:783,4.49,0.18,-0.56
21:24:39:818,4.87,0.30,-0.50
21:24:39:837,4.79,0.38,-0.38
21:24:39:873,5.04,0.63,-0.17
21:24:39:873,5.78,1.49,-0.44
21:24:39:911,7.37,2.96,-1.01
21:24:39:927,7.44,3.15,-0.38
21:24:39:945,4.25,1.62,0.34
21:24:40:0,6.97,-1.94,1.00
21:24:40:36,4.39,-1.79,0.65
21:24:40:54,2.37,-2.53,-0.24
21:24:40:54,-0.22,3.76,1.33
21:24:40:90,0.04,3.23,-0.24
21:24:40:107,0.99,0.38,-1.29
21:24:40:143,2.27,1.12,-0.60
21:24:40:144,2.36,1.64,0.44
21:24:40:179,3.60,0.94,0.30
21:24:40:179,4.51,0.29,0.19
21:24:40:216,5.33,0.71,-0.12
21:24:40:271,6.23,1.00,0.24
21:24:40:271,8.00,0.77,0.53
21:24:40:289,8.00,0.42,0.56
21:24:40:341,8.00,-1.45,0.03
