16:56:13:968,3.81,0.66,0.18
16:56:14:23,3.80,0.64,0.20
16:56:14:42,3.80,0.67,0.23
16:56:14:42,3.79,0.66,0.23
16:56:14:42,3.82,0.65,0.23
16:56:14:42,3.83,0.63,0.25
16:56:14:58,3.85,0.63,0.28
16:56:14:58,3.83,0.65,0.24
16:56:14:74,3.84,0.67,0.24
16:56:14:74,3.83,0.70,0.23
16:56:14:137,3.82,0.72,0.28
16:56:14:242,3.81,0.71,0.21
16:56:14:256,3.81,0.74,0.19
16:56:14:256,3.81,0.73,0.22
16:56:14:408,3.79,0.72,0.19
16:56:14:426,3.80,0.69,0.22
16:56:14:468,3.80,0.71,0.21
16:56:14:547,3.79,0.71,0.20
16:56:14:652,3.78,0.70,0.19
16:56:14:657,3.79,0.71,0.17
16:56:14:666,3.79,0.71,0.22
16:56:14:696,3.78,0.71,0.22
16:56:14:754,3.80,0.72,0.21
16:56:14:762,3.80,0.70,0.21
16:56:14:762,3.82,0.70,0.24
16:56:14:770,3.80,0.71,0.23
16:56:14:770,3.80,0.70,0.23
16:56:14:818,3.79,0.69,0.25
16:56:14:818,3.78,0.70,0.22
16:56:14:851,3.77,0.69,0.22
16:56:14:851,3.82,0.69,0.23
16:56:14:854,3.80,0.70,0.18
16:56:14:854,3.79,0.72,0.21
16:56:14:854,3.81,0.70,0.22
16:56:14:854,3.79,0.67,0.19
16:56:14:975,3.79,0.67,0.18
16:56:15:44,3.80,0.67,0.21
16:56:15:44,3.82,0.69,0.20
16:56:15:44,3.83,0.71,0.20
16:56:15:69,3.84,0.73,0.20
16:56:15:94,3.83,0.72,0.21
16:56:15:169,3.81,0.73,0.22
16:56:15:169,3.79,0.70,0.24
16:56:15:169,3.81,0.70,0.26
16:56:15:227,3.79,0.71,0.26
16:56:15:227,3.80,0.73,0.22
16:56:15:238,3.84,0.74,0.23
16:56:15:263,3.80,0.74,0.21
16:56:15:342,3.82,0.71,0.22
16:56:15:388,3.80,0.72,0.21
16:56:15:405,3.80,0.71,0.21
16:56:15:514,3.80,0.71,0.21
16:56:15:574,3.80,0.71,0.17
16:56:15:590,3.81,0.71,0.21
16:56:15:707,3.80,0.71,0.19
16:56:15:717,3.80,0.73,0.19
16:56:15:717,3.80,0.71,0.16
16:56:15:717,3.80,0.69,0.20
16:56:15:717,3.79,0.67,0.25
16:56:15:717,3.81,0.70,0.21
16:56:15:726,3.80,0.70,0.22
16:56:15:726,3.83,0.69,0.25
16:56:15:739,3.80,0.66,0.18
16:56:15:754,3.81,0.69,0.19
16:56:15:760,3.79,0.70,0.21
16:56:15:841,3.78,0.66,0.23
16:56:15:841,3.81,0.66,0.20
16:56:15:893,3.82,0.69,0.24
16:56:15:893,3.83,0.70,0.19
16:56:15:893,3.82,0.70,0.18
16:56:15:908,3.81,0.72,0.20
16:56:15:921,3.80,0.72,0.18
16:56:15:941,3.82,0.75,0.21
16:56:15:941,3.79,0.68,0.18
16:56:15:951,3.81,0.71,0.20
16:56:15:959,3.81,0.70,0.18
16:56:15:959,3.81,0.70,0.17
16:56:16:33,3.83,0.70,0.18
16:56:16:78,3.84,0.66,0.16
16:56:16:78,3.82,0.63,0.19
16:56:16:78,3.80,0.66,0.19
16:56:16:78,3.80,0.66,0.20
16:56:16:78,3.80,0.67,0.21
16:56:16:97,3.79,0.71,0.19
16:56:16:239,3.80,0.73,0.20
16:56:16:332,3.80,0.72,0.20
16:56:16:332,3.78,0.72,0.20
16:56:16:332,3.79,0.75,0.24
16:56:16:355,3.80,0.72,0.21
16:56:16:355,3.80,0.73,0.19
16:56:16:430,3.80,0.73,0.23
16:56:16:455,3.82,0.72,0.21
16:56:16:470,3.82,0.71,0.21
16:56:16:580,3.80,0.70,0.19
16:56:16:580,3.79,0.72,0.21
16:56:16:580,3.79,0.69,0.21
16:56:16:585,3.79,0.66,0.21
16:56:16:585,3.81,0.65,0.20
16:56:16:610,3.81,0.66,0.18
16:56:16:620,3.81,0.68,0.20
16:56:16:635,3.87,0.68,0.23
16:56:16:695,3.81,0.69,0.19
16:56:16:695,3.81,0.71,0.21
16:56:16:695,3.83,0.72,0.19
16:56:16:728,3.82,0.69,0.19
16:56:16:728,3.81,0.69,0.18
16:56:16:745,3.81,0.68,0.21
16:56:16:745,3.79,0.64,0.20
16:56:16:745,3.81,0.69,0.19
16:56:16:745,3.80,0.68,0.22
