17:7:15:25,3.74,-1.48,0.22
17:7:15:45,3.74,-1.51,0.21
17:7:15:45,3.73,-1.49,0.22
17:7:15:124,3.74,-1.49,0.21
17:7:15:124,3.74,-1.49,0.20
17:7:15:243,3.75,-1.48,0.19
17:7:15:243,3.77,-1.51,0.20
17:7:15:243,3.76,-1.51,0.21
17:7:15:339,3.76,-1.50,0.23
17:7:15:382,3.75,-1.46,0.23
17:7:15:390,3.74,-1.47,0.21
17:7:15:390,3.72,-1.48,0.22
17:7:15:445,3.72,-1.49,0.23
17:7:15:496,3.73,-1.47,0.23
17:7:15:547,3.75,-1.48,0.23
17:7:15:562,3.73,-1.48,0.21
17:7:15:581,3.76,-1.51,0.16
17:7:15:620,3.75,-1.52,0.17
17:7:15:736,3.75,-1.51,0.18
17:7:15:736,3.75,-1.51,0.19
17:7:15:744,3.71,-1.52,0.21
17:7:15:782,3.72,-1.52,0.19
17:7:15:801,3.74,-1.49,0.20
17:7:15:801,3.74,-1.49,0.25
17:7:15:801,3.73,-1.45,0.25
17:7:15:875,3.76,-1.48,0.22
17:7:15:901,3.76,-1.50,0.22
17:7:15:901,3.73,-1.51,0.23
17:7:15:901,3.74,-1.52,0.24
17:7:15:901,3.75,-1.50,0.22
17:7:15:945,3.73,-1.51,0.24
17:7:16:15,3.75,-1.51,0.23
17:7:16:15,3.72,-1.50,0.23
17:7:16:15,3.73,-1.50,0.21
17:7:16:89,3.73,-1.52,0.22
17:7:16:89,3.71,-1.49,0.22
17:7:16:181,3.73,-1.49,0.22
17:7:16:181,3.72,-1.49,0.21
17:7:16:302,3.72,-1.51,0.18
17:7:16:302,3.72,-1.49,0.21
17:7:16:302,3.74,-1.49,0.18
17:7:16:361,3.73,-1.46,0.22
17:7:16:381,3.73,-1.45,0.20
17:7:16:555,3.72,-1.46,0.16
17:7:16:660,3.74,-1.47,0.20
17:7:16:709,3.75,-1.45,0.20
17:7:16:709,3.76,-1.48,0.23
17:7:16:829,3.77,-1.46,0.21
17:7:16:829,3.75,-1.46,0.22
17:7:16:829,3.75,-1.46,0.22
17:7:16:876,3.75,-1.44,0.23
17:7:16:876,3.75,-1.46,0.21
17:7:17:19,3.77,-1.46,0.21
17:7:17:69,3.75,-1.47,0.19
17:7:17:69,3.76,-1.48,0.18
17:7:17:69,3.75,-1.47,0.16
17:7:17:69,3.74,-1.48,0.17
17:7:17:283,3.74,-1.50,0.18
17:7:17:283,3.74,-1.51,0.16
17:7:17:358,3.75,-1.52,0.15
17:7:17:358,3.71,-1.51,0.19
17:7:17:358,3.71,-1.48,0.15
17:7:17:534,3.70,-1.48,0.15
17:7:17:534,3.71,-1.51,0.18
17:7:17:534,3.72,-1.53,0.18
17:7:17:574,3.71,-1.52,0.21
17:7:17:574,3.75,-1.54,0.22
17:7:17:574,3.75,-1.56,0.22
17:7:17:574,3.74,-1.56,0.25
17:7:17:590,3.73,-1.57,0.29
17:7:17:590,3.74,-1.57,0.25
17:7:17:590,3.76,-1.58,0.23
17:7:17:590,3.74,-1.57,0.29
17:7:17:590,3.74,-1.59,0.22
17:7:17:609,3.75,-1.58,0.22
17:7:17:609,3.70,-1.54,0.19
17:7:17:614,3.71,-1.56,0.20
17:7:17:644,3.72,-1.56,0.18
