17:10:51:953,3.98,0.14,-0.31
17:10:51:969,3.97,0.17,-0.34
17:10:51:969,3.97,0.13,-0.35
17:10:51:969,4.00,0.12,-0.34
17:10:52:0,3.97,0.13,-0.34
17:10:52:110,3.97,0.10,-0.36
17:10:52:125,3.95,0.08,-0.40
17:10:52:156,3.97,0.07,-0.34
17:10:52:156,3.96,0.13,-0.32
17:10:52:172,3.93,0.14,-0.32
17:10:52:188,3.99,0.09,-0.32
17:10:52:203,3.98,0.08,-0.34
17:10:52:219,3.97,0.08,-0.32
17:10:52:266,3.95,0.09,-0.31
17:10:52:346,3.95,0.11,-0.28
17:10:52:346,3.96,0.12,-0.30
17:10:52:378,3.97,0.10,-0.27
17:10:52:378,3.96,0.08,-0.37
17:10:52:477,3.99,0.12,-0.29
17:10:52:477,3.97,0.11,-0.30
17:10:52:477,3.98,0.07,-0.29
17:10:52:538,3.98,0.12,-0.28
17:10:52:583,3.97,0.08,-0.29
17:10:52:676,3.97,0.09,-0.31
17:10:52:681,3.97,0.08,-0.29
17:10:52:702,3.98,0.08,-0.26
17:10:52:702,3.98,0.06,-0.28
17:10:52:702,3.99,0.08,-0.29
17:10:52:709,3.99,0.10,-0.31
17:10:52:739,3.96,0.10,-0.28
17:10:52:821,3.97,0.05,-0.28
17:10:52:842,3.99,0.10,-0.28
17:10:52:850,3.98,0.07,-0.30
17:10:52:877,3.97,0.03,-0.27
17:10:52:918,3.99,0.06,-0.26
17:10:52:918,3.99,0.07,-0.31
17:10:52:918,3.97,0.08,-0.30
17:10:52:929,4.00,0.05,-0.22
17:10:52:929,3.98,0.01,-0.27
17:10:53:52,4.00,0.03,-0.25
17:10:53:52,3.99,0.06,-0.26
17:10:53:52,4.01,0.04,-0.23
17:10:53:52,3.97,0.01,-0.25
17:10:53:117,3.96,0.05,-0.25
17:10:53:117,3.99,0.05,-0.23
17:10:53:167,3.99,0.04,-0.24
17:10:53:227,4.00,0.05,-0.27
17:10:53:227,3.99,0.02,-0.23
17:10:53:227,3.98,0.02,-0.24
17:10:53:227,3.98,0.05,-0.25
17:10:53:275,3.99,0.05,-0.25
17:10:53:325,4.00,0.04,-0.21
17:10:53:396,3.98,0.02,-0.23
17:10:53:404,3.99,0.03,-0.22
17:10:53:427,3.99,0.02,-0.25
17:10:53:427,3.98,0.01,-0.25
17:10:53:427,4.01,0.02,-0.25
17:10:53:477,3.99,0.03,-0.21
17:10:53:546,3.96,0.02,-0.24
17:10:53:554,3.99,0.01,-0.26
17:10:53:579,4.00,0.05,-0.30
17:10:53:591,3.96,0.02,-0.29
17:10:53:623,3.97,0.01,-0.26
17:10:53:623,3.99,0.02,-0.24
17:10:53:623,3.98,0.02,-0.27
17:10:53:623,4.00,0.02,-0.26
17:10:53:722,3.99,0.03,-0.26
17:10:53:722,3.97,0.00,-0.24
17:10:53:722,3.98,0.01,-0.26
17:10:53:793,3.99,0.02,-0.25
17:10:53:793,3.98,0.02,-0.24
17:10:53:793,3.99,0.02,-0.27
17:10:53:943,4.00,0.01,-0.25
17:10:53:943,3.98,0.02,-0.24
17:10:53:979,4.00,0.02,-0.27
17:10:53:991,3.94,0.03,-0.22
17:10:54:84,3.98,0.04,-0.16
17:10:54:84,3.98,0.01,-0.26
17:10:54:84,3.98,0.01,-0.25
17:10:54:136,3.97,-0.00,-0.25
17:10:54:136,3.97,0.01,-0.23
17:10:54:222,3.98,0.01,-0.24
17:10:54:288,3.96,-0.01,-0.24
17:10:54:341,3.98,0.00,-0.22
17:10:54:341,3.97,0.01,-0.24
17:10:54:348,3.98,-0.01,-0.23
17:10:54:348,3.99,0.01,-0.23
17:10:54:460,3.99,0.02,-0.24
17:10:54:489,3.97,-0.03,-0.25
17:10:54:529,4.00,-0.00,-0.23
17:10:54:549,3.98,0.01,-0.22
17:10:54:549,3.98,0.00,-0.24
17:10:54:549,3.97,-0.03,-0.24
17:10:54:549,3.99,-0.00,-0.23
17:10:54:689,3.98,0.01,-0.22
17:10:54:689,3.99,0.01,-0.24
17:10:54:689,3.99,-0.01,-0.23
17:10:54:689,4.00,-0.01,-0.26
17:10:54:799,3.96,0.03,-0.22
17:10:54:799,3.98,-0.01,-0.23
17:10:54:799,3.97,-0.00,-0.26
17:10:54:799,3.97,0.01,-0.21
17:10:54:799,3.98,0.00,-0.22
17:10:54:799,3.98,0.01,-0.22
17:10:54:989,3.99,-0.01,-0.25
17:10:55:11,3.99,0.00,-0.24
17:10:55:29,3.98,-0.02,-0.21
17:10:55:29,3.98,-0.01,-0.20
17:10:55:29,3.97,-0.01,-0.23
17:10:55:29,3.97,-0.00,-0.24
17:10:55:66,3.99,-0.02,-0.22
17:10:55:66,3.99,-0.01,-0.23
17:10:55:66,3.99,-0.01,-0.24
17:10:55:66,4.00,0.00,-0.20
17:10:55:66,3.98,0.00,-0.26
17:10:55:66,3.99,-0.03,-0.24
17:10:55:86,3.98,-0.03,-0.24
17:10:55:86,3.99,-0.03,-0.23
17:10:55:187,3.98,-0.01,-0.21
17:10:55:268,4.06,-0.05,-0.16
17:10:55:335,3.94,-0.07,-0.24
17:10:55:352,3.98,-0.05,-0.28
17:10:55:352,3.96,-0.03,-0.23
17:10:55:352,4.00,-0.02,-0.23
17:10:55:352,3.99,0.02,-0.25
17:10:55:368,3.98,0.02,-0.27
17:10:55:368,3.97,-0.01,-0.23
17:10:55:383,3.98,-0.02,-0.24
17:10:55:383,3.98,-0.02,-0.23
17:10:55:439,4.00,0.03,-0.24
17:10:55:528,3.97,-0.00,-0.23
17:10:55:596,3.98,-0.01,-0.19
17:10:55:596,3.99,0.01,-0.20
17:10:55:596,3.99,0.01,-0.20
17:10:55:596,3.96,0.02,-0.20
17:10:56:87,3.96,0.04,-0.23
17:10:56:87,3.98,0.02,-0.20
17:10:56:87,3.98,0.02,-0.22
17:10:56:87,3.97,0.01,-0.26
17:10:56:87,3.97,-0.01,-0.24
17:10:56:336,3.96,-0.01,-0.24
17:10:56:336,4.01,0.04,-0.24
17:10:56:336,4.00,0.09,-0.22
17:10:56:336,4.01,0.05,-0.23
17:10:56:336,4.01,0.05,-0.25
17:10:56:336,4.03,0.04,-0.16
17:10:56:336,4.04,0.09,-0.22
17:10:56:407,4.02,0.19,-0.16
17:10:56:426,4.08,-0.01,-0.08
17:10:56:426,4.05,-0.05,-0.08
17:10:56:444,4.06,-0.01,-0.02
17:10:56:461,4.13,0.08,-0.20
17:10:56:461,4.22,0.09,-0.09
17:10:56:513,4.21,-0.06,0.00
17:10:56:513,4.30,-0.14,-0.11
17:10:56:513,4.61,-0.21,-0.33
17:10:56:513,5.32,0.44,0.15
17:10:56:513,5.54,0.62,-0.05
17:10:56:513,5.51,0.12,-0.10
17:10:56:531,5.14,-0.14,-0.34
17:10:56:531,4.11,-0.47,-0.83
17:10:56:531,3.49,-0.93,-0.74
17:10:56:531,2.82,-1.16,-1.07
