17:1:39:557,3.86,0.69,0.22
17:1:39:558,3.84,0.65,0.20
17:1:39:573,3.82,0.64,0.16
17:1:39:589,3.83,0.64,0.18
17:1:39:589,3.84,0.65,0.20
17:1:39:642,3.85,0.63,0.15
17:1:39:710,3.83,0.66,0.13
17:1:39:731,3.85,0.65,0.15
17:1:39:736,3.83,0.67,0.15
17:1:39:752,3.82,0.64,0.14
17:1:39:783,3.81,0.60,0.11
17:1:39:783,3.84,0.60,0.14
17:1:39:840,3.84,0.60,0.11
17:1:39:840,3.82,0.62,0.13
17:1:39:840,3.83,0.61,0.14
17:1:39:861,3.81,0.62,0.15
17:1:39:876,3.83,0.60,0.17
17:1:39:895,3.83,0.63,0.16
17:1:39:927,3.82,0.64,0.17
17:1:39:927,3.83,0.67,0.16
17:1:39:962,3.83,0.64,0.15
17:1:40:10,3.83,0.65,0.14
17:1:40:25,3.82,0.64,0.15
17:1:40:45,3.82,0.65,0.15
17:1:40:61,3.80,0.66,0.15
17:1:40:98,3.81,0.64,0.14
17:1:40:130,3.84,0.65,0.15
17:1:40:130,3.82,0.64,0.15
17:1:40:130,3.82,0.61,0.13
17:1:40:243,3.81,0.62,0.13
17:1:40:243,3.82,0.62,0.13
17:1:40:253,3.84,0.63,0.17
17:1:40:302,3.82,0.60,0.11
17:1:40:347,3.83,0.62,0.13
17:1:40:372,3.81,0.61,0.11
17:1:40:427,3.82,0.58,0.12
17:1:40:474,3.80,0.55,0.11
17:1:40:500,3.83,0.57,0.13
17:1:40:537,3.83,0.58,0.13
17:1:40:595,3.84,0.57,0.10
17:1:40:625,3.83,0.60,0.14
17:1:40:633,3.85,0.61,0.12
17:1:40:642,3.85,0.62,0.15
17:1:40:665,3.85,0.60,0.14
17:1:40:679,3.84,0.59,0.12
17:1:40:705,3.85,0.58,0.15
17:1:40:810,3.84,0.59,0.13
17:1:40:894,3.84,0.56,0.14
17:1:41:31,3.83,0.59,0.14
17:1:41:31,3.83,0.58,0.14
17:1:41:103,3.82,0.57,0.14
17:1:41:120,3.81,0.58,0.14
17:1:41:120,3.82,0.61,0.11
17:1:41:151,3.83,0.58,0.18
17:1:41:200,3.81,0.61,0.12
17:1:41:305,3.81,0.60,0.10
17:1:41:305,3.82,0.60,0.12
17:1:41:305,3.82,0.59,0.12
17:1:41:356,3.82,0.60,0.12
17:1:41:386,3.82,0.61,0.12
17:1:41:394,3.84,0.62,0.12
17:1:41:404,3.84,0.62,0.12
17:1:41:484,3.83,0.60,0.13
17:1:41:502,3.82,0.60,0.11
17:1:41:502,3.83,0.59,0.13
17:1:41:519,3.82,0.58,0.11
17:1:41:519,3.82,0.57,0.11
17:1:41:519,3.85,0.58,0.11
17:1:41:529,3.83,0.61,0.14
17:1:41:529,3.84,0.57,0.19
17:1:41:529,3.81,0.53,0.12
