18:0:13:873,3.57,1.26,0.86
18:0:13:887,3.57,1.20,0.92
18:0:13:958,3.53,1.22,1.01
18:0:14:55,3.55,1.23,1.04
18:0:14:72,3.54,1.15,1.12
18:0:14:96,3.56,1.08,1.12
18:0:14:195,3.53,1.17,1.12
18:0:14:220,3.52,1.22,1.10
18:0:14:227,3.51,1.28,1.02
18:0:14:233,3.50,1.29,1.01
18:0:14:247,3.50,1.24,0.91
18:0:14:269,3.54,1.27,0.90
18:0:14:312,3.54,1.30,0.88
18:0:14:321,3.51,1.31,0.86
18:0:14:377,3.43,1.38,0.81
18:0:14:377,3.51,1.24,0.84
18:0:14:402,3.53,1.24,0.88
18:0:14:402,3.55,1.22,0.89
18:0:14:415,3.52,1.22,0.91
18:0:14:422,3.50,1.28,0.89
18:0:14:440,3.51,1.19,0.92
18:0:14:458,3.52,1.30,0.93
18:0:14:458,3.56,1.28,0.96
18:0:14:458,3.55,1.25,1.01
18:0:14:458,3.57,1.30,1.05
18:0:14:525,3.50,1.27,1.03
18:0:14:577,3.53,1.23,0.96
18:0:14:585,3.57,1.24,0.97
18:0:14:594,3.57,1.23,0.96
18:0:14:615,3.52,1.21,0.93
18:0:14:758,3.51,1.25,0.89
18:0:14:767,3.52,1.29,0.90
18:0:14:784,3.51,1.31,0.90
18:0:14:801,3.50,1.31,0.86
18:0:14:809,3.51,1.32,0.89
18:0:14:830,3.49,1.32,0.89
18:0:14:861,3.50,1.26,0.84
18:0:14:917,3.50,1.28,0.83
18:0:14:956,3.43,1.27,0.85
18:0:14:956,3.44,1.24,0.87
18:0:14:980,3.51,1.22,0.97
18:0:15:4,3.59,1.24,1.08
18:0:15:19,3.59,1.26,1.08
18:0:15:26,3.54,1.26,1.11
18:0:15:41,3.48,1.26,1.02
18:0:15:41,3.48,1.31,1.02
18:0:15:116,3.48,1.29,1.00
18:0:15:116,3.50,1.33,0.96
18:0:15:145,3.51,1.33,0.97
18:0:15:154,3.51,1.29,0.98
18:0:15:173,3.48,1.29,0.95
18:0:15:179,3.54,1.32,1.00
18:0:15:311,3.51,1.31,0.98
18:0:15:321,3.53,1.28,0.93
18:0:15:356,3.52,1.29,0.94
18:0:15:373,3.50,1.30,0.93
18:0:15:379,3.47,1.28,0.91
18:0:15:392,3.50,1.27,0.95
18:0:15:450,3.50,1.23,0.92
18:0:15:478,3.52,1.23,0.91
18:0:15:522,3.49,1.26,0.95
18:0:15:546,3.50,1.26,0.96
18:0:15:559,3.51,1.22,0.95
18:0:15:559,3.49,1.24,0.99
18:0:15:565,3.49,1.24,1.00
18:0:15:573,3.51,1.22,0.99
18:0:15:656,3.57,1.23,0.98
18:0:15:676,3.57,1.25,0.96
18:0:15:676,3.53,1.28,0.96
18:0:15:676,3.50,1.29,0.91
18:0:15:676,3.48,1.29,0.92
18:0:15:708,3.46,1.27,0.88
18:0:15:741,3.50,1.30,0.93
18:0:15:749,3.49,1.29,0.92
18:0:15:808,3.51,1.31,0.91
18:0:15:830,3.52,1.33,0.89
18:0:15:830,3.50,1.30,0.89
18:0:15:830,3.50,1.28,0.88
18:0:15:871,3.50,1.24,0.90
18:0:15:896,3.51,1.26,0.89
18:0:15:906,3.48,1.25,0.89
18:0:15:914,3.51,1.25,0.95
18:0:16:63,3.53,1.28,0.96
18:0:16:88,3.58,1.28,0.95
18:0:16:88,3.60,1.29,0.98
18:0:16:88,3.55,1.29,1.00
18:0:16:108,3.53,1.26,1.00
18:0:16:143,3.50,1.27,1.02
18:0:16:183,3.47,1.29,0.99
