18:37:57:896,3.32,1.59,1.10
18:37:57:913,3.33,1.61,1.12
18:37:57:944,3.35,1.60,1.14
18:37:57:965,3.37,1.60,1.12
18:37:57:966,3.35,1.58,1.10
18:37:58:21,3.35,1.55,1.12
18:37:58:58,3.36,1.55,1.13
18:37:58:59,3.34,1.55,1.14
18:37:58:59,3.35,1.57,1.15
18:37:58:90,3.34,1.58,1.13
18:37:58:128,3.32,1.59,1.17
18:37:58:144,3.33,1.59,1.15
18:37:58:144,3.31,1.62,1.14
18:37:58:221,3.33,1.61,1.13
18:37:58:229,3.32,1.62,1.11
18:37:58:260,3.34,1.61,1.13
18:37:58:318,3.33,1.62,1.12
18:37:58:396,3.33,1.60,1.17
18:37:58:403,3.35,1.56,1.17
18:37:58:411,3.33,1.55,1.15
18:37:58:440,3.33,1.56,1.16
18:37:58:455,3.32,1.55,1.12
18:37:58:465,3.36,1.57,1.15
18:37:58:478,3.36,1.59,1.17
18:37:58:539,3.34,1.58,1.13
18:37:58:564,3.35,1.56,1.11
18:37:58:577,3.36,1.57,1.12
18:37:58:600,3.33,1.56,1.12
18:37:58:647,3.35,1.56,1.17
18:37:58:672,3.32,1.58,1.12
18:37:58:680,3.31,1.59,1.12
18:37:58:688,3.31,1.60,1.12
18:37:58:747,3.35,1.64,1.12
18:37:58:778,3.36,1.61,1.17
18:37:58:785,3.34,1.55,1.12
18:37:58:801,3.33,1.54,1.12
18:37:58:818,3.34,1.57,1.15
18:37:58:827,3.33,1.57,1.16
18:37:58:849,3.31,1.58,1.15
18:37:58:876,3.34,1.59,1.15
18:37:58:948,3.36,1.59,1.15
18:37:58:955,3.35,1.58,1.13
18:37:58:970,3.36,1.59,1.12
18:37:59:45,3.34,1.58,1.12
18:37:59:53,3.34,1.57,1.10
18:37:59:60,3.33,1.58,1.11
18:37:59:110,3.35,1.60,1.16
18:37:59:192,3.35,1.60,1.13
18:37:59:199,3.36,1.58,1.15
18:37:59:207,3.33,1.59,1.15
18:37:59:220,3.34,1.62,1.17
18:37:59:241,3.32,1.61,1.16
18:37:59:306,3.33,1.59,1.12
18:37:59:317,3.35,1.58,1.12
18:37:59:330,3.37,1.58,1.10
18:37:59:352,3.38,1.58,1.11
18:37:59:360,3.36,1.58,1.14
18:37:59:378,3.34,1.57,1.11
18:37:59:395,3.33,1.59,1.12
18:37:59:470,3.35,1.59,1.11
18:37:59:482,3.35,1.58,1.13
18:37:59:497,3.35,1.62,1.12
18:37:59:510,3.35,1.58,1.10
18:37:59:519,3.36,1.59,1.10
18:37:59:536,3.34,1.65,1.10
18:37:59:558,3.36,1.50,1.09
18:37:59:580,3.36,1.59,1.08
18:37:59:588,3.33,1.57,1.13
18:37:59:596,3.34,1.58,1.11
18:37:59:653,3.36,1.59,1.14
18:37:59:671,3.35,1.60,1.13
18:37:59:707,3.33,1.62,1.12
18:37:59:740,3.34,1.60,1.10
18:37:59:764,3.34,1.58,1.09
18:37:59:843,3.35,1.59,1.06
18:37:59:849,3.34,1.58,1.09
18:37:59:868,3.36,1.58,1.08
18:37:59:887,3.34,1.59,1.07
18:37:59:899,3.36,1.58,1.12
18:37:59:908,3.35,1.56,1.12
18:37:59:918,3.36,1.55,1.07
18:37:59:953,3.36,1.55,1.12
18:37:59:978,3.35,1.56,1.12
18:38:0:4,3.36,1.57,1.14
18:38:0:23,3.38,1.56,1.11
