DATA_TYPE COF
VERSION Tekscan 압력 측정 시스템 7.00-23
HARDWARE 00114-A989
MAP_VERSION 8.0
HW_TYPE 7
VersaPogoFsx 0
VersaV6CuffFsx 1
파일 이름 C:\Tekscan\FScan\Database\MOVIES\이재영\01R.fsx
SENSOR_TYPE FSCAN
ROWS 60
COLS 21
ROW_SPACING 0.508 centimeters
COL_SPACING 0.508 centimeters
SENSEL_AREA 0.258064 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.01
MICRO_SECOND 1
TIME 2021-12-09 4:56:14.138오후
SATURATION_PRESSURE 713.825 KPa 
CALIBRATION_POINT_1 179 (Pounds) 11022 (Raw Sum) 474 (Number of Loaded Cells)
CALIBRATION_MODE_1 단계
CALIBRATION_INFO C:\Tekscan\FScan\Database\MOVIES\이재영\01R.fsx
SENSITIVITY 기본
MAP_INDEX 0
SUBMAP 0
START_FRAME 1
END_FRAME 11340
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

1, 0, 2021-12-09 4:56:14.138오후, 18.74, 6.15, 6759
2, 0.01, 2021-12-09 4:56:14.148오후, 18.73, 6.15, 6752
3, 0.02, 2021-12-09 4:56:14.158오후, 18.74, 6.15, 6752
4, 0.03, 2021-12-09 4:56:14.168오후, 18.73, 6.15, 6754
5, 0.04, 2021-12-09 4:56:14.178오후, 18.75, 6.15, 6747
6, 0.05, 2021-12-09 4:56:14.188오후, 18.75, 6.15, 6736
7, 0.06, 2021-12-09 4:56:14.198오후, 18.74, 6.15, 6742
8, 0.07, 2021-12-09 4:56:14.208오후, 18.74, 6.15, 6745
9, 0.08, 2021-12-09 4:56:14.218오후, 18.75, 6.15, 6741
10, 0.09, 2021-12-09 4:56:14.228오후, 18.75, 6.15, 6735
11, 0.1, 2021-12-09 4:56:14.238오후, 18.75, 6.15, 6736
12, 0.11, 2021-12-09 4:56:14.248오후, 18.76, 6.15, 6735
13, 0.12, 2021-12-09 4:56:14.258오후, 18.75, 6.15, 6738
14, 0.13, 2021-12-09 4:56:14.268오후, 18.75, 6.15, 6741
15, 0.14, 2021-12-09 4:56:14.278오후, 18.75, 6.16, 6732
16, 0.15, 2021-12-09 4:56:14.288오후, 18.76, 6.15, 6737
17, 0.16, 2021-12-09 4:56:14.298오후, 18.76, 6.16, 6741
18, 0.17, 2021-12-09 4:56:14.308오후, 18.77, 6.16, 6742
19, 0.18, 2021-12-09 4:56:14.318오후, 18.78, 6.15, 6741
20, 0.19, 2021-12-09 4:56:14.328오후, 18.78, 6.16, 6727
21, 0.2, 2021-12-09 4:56:14.338오후, 18.78, 6.16, 6725
22, 0.21, 2021-12-09 4:56:14.348오후, 18.79, 6.16, 6725
23, 0.22, 2021-12-09 4:56:14.358오후, 18.79, 6.15, 6730
24, 0.23, 2021-12-09 4:56:14.368오후, 18.78, 6.16, 6721
25, 0.24, 2021-12-09 4:56:14.378오후, 18.78, 6.16, 6719
26, 0.25, 2021-12-09 4:56:14.388오후, 18.80, 6.16, 6711
27, 0.26, 2021-12-09 4:56:14.398오후, 18.79, 6.16, 6710
28, 0.27, 2021-12-09 4:56:14.408오후, 18.78, 6.16, 6710
29, 0.28, 2021-12-09 4:56:14.418오후, 18.79, 6.16, 6702
30, 0.29, 2021-12-09 4:56:14.428오후, 18.81, 6.16, 6703
31, 0.3, 2021-12-09 4:56:14.438오후, 18.80, 6.16, 6700
32, 0.31, 2021-12-09 4:56:14.448오후, 18.80, 6.16, 6688
33, 0.32, 2021-12-09 4:56:14.458오후, 18.79, 6.15, 6706
34, 0.33, 2021-12-09 4:56:14.468오후, 18.79, 6.15, 6699
35, 0.34, 2021-12-09 4:56:14.478오후, 18.80, 6.15, 6698
36, 0.35, 2021-12-09 4:56:14.488오후, 18.79, 6.15, 6698
37, 0.36, 2021-12-09 4:56:14.498오후, 18.81, 6.15, 6696
38, 0.37, 2021-12-09 4:56:14.508오후, 18.79, 6.15, 6704
39, 0.38, 2021-12-09 4:56:14.518오후, 18.80, 6.15, 6700
40, 0.39, 2021-12-09 4:56:14.528오후, 18.79, 6.15, 6697
41, 0.4, 2021-12-09 4:56:14.538오후, 18.80, 6.15, 6687
42, 0.41, 2021-12-09 4:56:14.548오후, 18.81, 6.15, 6695
43, 0.42, 2021-12-09 4:56:14.558오후, 18.81, 6.16, 6688
44, 0.43, 2021-12-09 4:56:14.568오후, 18.80, 6.15, 6684
