DATA_TYPE COF
VERSION Tekscan 압력 측정 시스템 7.00-23
HARDWARE 00114-A988
MAP_VERSION 8.0
HW_TYPE 7
VersaPogoFsx 0
VersaV6CuffFsx 1
파일 이름 C:\Tekscan\FScan\Database\MOVIES\이재영\04L.fsx
SENSOR_TYPE FSCAN
ROWS 60
COLS 21
ROW_SPACING 0.508 centimeters
COL_SPACING 0.508 centimeters
SENSEL_AREA 0.258064 cm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.01
MICRO_SECOND 1
TIME 2021-12-09 5:10:52.432오후
SATURATION_PRESSURE 816.499 KPa 
CALIBRATION_POINT_1 179 (Pounds) 9636 (Raw Sum) 372 (Number of Loaded Cells)
CALIBRATION_MODE_1 단계
CALIBRATION_INFO C:\Tekscan\FScan\Database\MOVIES\이재영\04L.fsx
SENSITIVITY 기본
MAP_INDEX 1
SUBMAP 1
START_FRAME 1
END_FRAME 11770
COMMENTS Frame, Time, (Absolute Time), Row (cm), Col (cm), Raw Sum
ASCII_DATA @@

1, 0, 2021-12-09 5:10:52.432오후, 22.40, 5.26, 2737
2, 0.01, 2021-12-09 5:10:52.442오후, 22.41, 5.27, 2726
3, 0.02, 2021-12-09 5:10:52.452오후, 22.38, 5.28, 2723
4, 0.03, 2021-12-09 5:10:52.462오후, 22.37, 5.27, 2721
5, 0.04, 2021-12-09 5:10:52.472오후, 22.35, 5.26, 2717
6, 0.05, 2021-12-09 5:10:52.482오후, 22.27, 5.26, 2727
7, 0.06, 2021-12-09 5:10:52.492오후, 22.23, 5.25, 2725
8, 0.07, 2021-12-09 5:10:52.502오후, 22.23, 5.26, 2722
9, 0.08, 2021-12-09 5:10:52.512오후, 22.28, 5.27, 2711
10, 0.09, 2021-12-09 5:10:52.522오후, 22.26, 5.27, 2720
11, 0.1, 2021-12-09 5:10:52.532오후, 22.24, 5.28, 2722
12, 0.11, 2021-12-09 5:10:52.542오후, 22.23, 5.28, 2718
13, 0.12, 2021-12-09 5:10:52.552오후, 22.25, 5.28, 2715
14, 0.13, 2021-12-09 5:10:52.562오후, 22.17, 5.26, 2715
15, 0.14, 2021-12-09 5:10:52.572오후, 22.15, 5.26, 2720
16, 0.15, 2021-12-09 5:10:52.582오후, 22.13, 5.26, 2721
17, 0.16, 2021-12-09 5:10:52.592오후, 22.13, 5.28, 2718
18, 0.17, 2021-12-09 5:10:52.602오후, 22.08, 5.24, 2711
19, 0.18, 2021-12-09 5:10:52.612오후, 22.07, 5.25, 2701
20, 0.19, 2021-12-09 5:10:52.622오후, 22.03, 5.25, 2698
21, 0.2, 2021-12-09 5:10:52.632오후, 22.01, 5.25, 2696
22, 0.21, 2021-12-09 5:10:52.642오후, 22.02, 5.25, 2684
23, 0.22, 2021-12-09 5:10:52.652오후, 22.04, 5.26, 2672
24, 0.23, 2021-12-09 5:10:52.662오후, 22.04, 5.27, 2661
25, 0.24, 2021-12-09 5:10:52.672오후, 21.97, 5.25, 2672
26, 0.25, 2021-12-09 5:10:52.682오후, 22.05, 5.27, 2656
27, 0.26, 2021-12-09 5:10:52.692오후, 21.95, 5.25, 2674
28, 0.27, 2021-12-09 5:10:52.702오후, 21.95, 5.26, 2675
29, 0.28, 2021-12-09 5:10:52.712오후, 21.89, 5.24, 2679
30, 0.29, 2021-12-09 5:10:52.722오후, 21.93, 5.26, 2666
31, 0.3, 2021-12-09 5:10:52.732오후, 21.92, 5.25, 2684
32, 0.31, 2021-12-09 5:10:52.742오후, 21.92, 5.25, 2669
33, 0.32, 2021-12-09 5:10:52.752오후, 21.93, 5.27, 2673
34, 0.33, 2021-12-09 5:10:52.762오후, 21.90, 5.28, 2666
35, 0.34, 2021-12-09 5:10:52.772오후, 21.91, 5.26, 2672
36, 0.35, 2021-12-09 5:10:52.782오후, 21.85, 5.24, 2684
37, 0.36, 2021-12-09 5:10:52.792오후, 21.89, 5.26, 2675
38, 0.37, 2021-12-09 5:10:52.802오후, 21.72, 5.24, 2702
39, 0.38, 2021-12-09 5:10:52.812오후, 21.71, 5.23, 2717
40, 0.39, 2021-12-09 5:10:52.822오후, 21.71, 5.23, 2699
41, 0.4, 2021-12-09 5:10:52.832오후, 21.77, 5.23, 2696
42, 0.41, 2021-12-09 5:10:52.842오후, 21.72, 5.23, 2710
43, 0.42, 2021-12-09 5:10:52.852오후, 21.75, 5.23, 2704
44, 0.43, 2021-12-09 5:10:52.862오후, 21.74, 5.25, 2708
