14:4:6:722,3.98,-0.50,0.57
14:4:6:753,3.98,-0.51,0.58
14:4:6:769,3.97,-0.50,0.58
14:4:6:788,3.97,-0.51,0.59
14:4:6:804,3.96,-0.51,0.56
14:4:6:836,3.94,-0.51,0.56
14:4:6:894,3.96,-0.53,0.54
14:4:6:912,3.96,-0.51,0.52
14:4:6:912,3.95,-0.51,0.54
14:4:6:929,3.96,-0.52,0.50
14:4:6:947,3.93,-0.53,0.48
14:4:6:963,3.95,-0.53,0.49
14:4:6:983,3.93,-0.53,0.50
14:4:7:20,3.96,-0.53,0.51
14:4:7:51,3.96,-0.51,0.50
14:4:7:83,3.96,-0.52,0.50
14:4:7:98,3.98,-0.53,0.54
14:4:7:134,3.97,-0.52,0.53
14:4:7:168,3.96,-0.50,0.57
14:4:7:189,3.95,-0.46,0.57
14:4:7:189,3.90,-0.44,0.57
14:4:7:287,3.91,-0.43,0.58
14:4:7:297,3.92,-0.41,0.57
14:4:7:308,3.94,-0.38,0.59
14:4:7:327,3.95,-0.36,0.59
14:4:7:337,3.96,-0.38,0.58
14:4:7:347,3.95,-0.40,0.56
14:4:7:377,3.88,-0.41,0.54
14:4:7:387,3.88,-0.42,0.51
14:4:7:450,3.86,-0.40,0.54
14:4:7:503,3.88,-0.36,0.57
14:4:7:540,3.91,-0.36,0.59
14:4:7:547,3.89,-0.38,0.62
14:4:7:617,3.87,-0.45,0.62
14:4:7:647,3.90,-0.54,0.69
14:4:7:661,3.92,-0.69,0.72
14:4:7:667,3.90,-0.71,0.76
14:4:7:679,3.92,-0.83,0.83
14:4:7:699,3.95,-0.84,0.96
14:4:7:712,3.94,-0.82,1.02
14:4:7:718,3.82,-0.87,1.11
14:4:7:817,3.80,-0.96,1.08
14:4:7:837,3.97,-0.98,0.97
14:4:7:843,4.29,-1.02,0.91
14:4:7:847,4.38,-1.09,0.87
14:4:7:868,4.25,-1.07,0.75
14:4:7:877,4.15,-1.05,0.65
14:4:7:886,4.14,-1.05,0.68
14:4:7:912,3.99,-1.07,0.59
14:4:7:952,3.78,-1.04,0.53
14:4:7:978,3.61,-1.00,0.52
14:4:8:1,3.54,-0.90,0.51
14:4:8:57,3.53,-0.77,0.51
14:4:8:67,3.55,-0.65,0.55
14:4:8:80,3.60,-0.54,0.55
14:4:8:157,3.70,-0.46,0.59
14:4:8:179,3.89,-0.35,0.62
14:4:8:179,4.14,-0.25,0.64
14:4:8:187,4.27,-0.15,0.63
14:4:8:207,4.31,-0.12,0.63
14:4:8:218,4.34,-0.16,0.60
14:4:8:242,4.65,-0.22,0.49
14:4:8:253,5.13,-0.27,0.42
14:4:8:262,5.19,-0.28,0.41
14:4:8:269,4.86,-0.33,0.39
14:4:8:287,4.49,-0.37,0.43
14:4:8:382,4.25,-0.31,0.46
14:4:8:397,3.73,-0.11,0.57
14:4:8:408,3.27,0.02,0.60
14:4:8:427,3.08,0.12,0.47
14:4:8:448,3.15,0.15,0.35
14:4:8:463,3.33,0.07,0.28
14:4:8:519,3.77,-0.12,0.24
14:4:8:527,3.87,-0.38,0.20
14:4:8:567,3.79,-0.55,0.22
14:4:8:579,3.56,-0.62,0.33
14:4:8:598,3.39,-0.68,0.51
14:4:8:627,3.27,-0.64,0.64
14:4:8:639,3.28,-0.51,0.82
14:4:8:657,3.30,-0.47,0.82
14:4:8:657,3.46,-0.41,0.85
14:4:8:717,3.41,-0.21,0.99
14:4:8:737,3.59,-0.39,1.02
14:4:8:737,3.87,-0.63,1.09
14:4:8:749,4.19,-0.72,1.25
14:4:8:769,4.52,-0.91,1.35
14:4:8:777,4.75,-1.06,1.32
14:4:8:797,5.03,-1.19,1.21
14:4:8:849,5.65,-1.30,1.21
14:4:8:877,5.87,-1.27,1.31
14:4:8:886,5.49,-1.30,1.38
14:4:8:903,4.58,-1.18,1.22
14:4:8:959,4.15,-1.16,0.91
14:4:8:967,4.59,-1.04,0.60
14:4:8:979,5.12,-0.64,0.24
14:4:9:58,5.28,-0.30,0.06
14:4:9:67,4.63,-0.08,-0.02
14:4:9:78,3.87,-0.25,-0.17
14:4:9:87,3.47,-0.42,-0.28
14:4:9:99,3.29,-0.55,-0.31
14:4:9:127,3.22,-0.63,-0.29
14:4:9:127,3.22,-0.69,-0.26
14:4:9:180,3.14,-0.73,-0.17
