13:44:47:401,-3.94,0.82,0.43
13:44:47:417,-3.94,0.83,0.43
13:44:47:432,-3.93,0.79,0.39
13:44:47:520,-3.91,0.75,0.35
13:44:47:552,-3.92,0.77,0.37
13:44:47:552,-3.90,0.76,0.36
13:44:47:567,-3.88,0.76,0.43
13:44:47:583,-3.89,0.72,0.34
13:44:47:583,-3.90,0.69,0.33
13:44:47:598,-3.91,0.69,0.33
13:44:47:677,-3.90,0.69,0.33
13:44:47:692,-3.90,0.67,0.33
13:44:47:692,-3.86,0.69,0.35
13:44:47:692,-3.87,0.71,0.33
13:44:47:739,-3.87,0.73,0.35
13:44:47:755,-3.90,0.75,0.38
13:44:47:770,-3.88,0.79,0.35
13:44:47:853,-3.95,0.79,0.40
13:44:47:900,-3.91,0.77,0.41
13:44:47:900,-3.90,0.82,0.42
13:44:47:900,-3.89,0.84,0.44
13:44:47:915,-3.94,0.83,0.44
13:44:47:951,-4.00,0.91,0.45
13:44:47:951,-4.00,0.92,0.46
13:44:47:967,-3.97,0.87,0.47
13:44:48:35,-3.94,0.80,0.42
13:44:48:35,-3.92,0.68,0.42
13:44:48:53,-4.00,0.66,0.37
13:44:48:81,-4.08,0.72,0.36
13:44:48:96,-4.07,0.72,0.35
13:44:48:112,-4.14,0.66,0.32
13:44:48:130,-4.02,0.65,0.35
13:44:48:167,-3.84,0.73,0.39
13:44:48:223,-3.72,0.84,0.44
13:44:48:231,-3.66,0.91,0.58
13:44:48:239,-3.66,0.75,0.67
13:44:48:265,-3.66,0.99,0.73
13:44:48:286,-3.61,1.17,0.60
13:44:48:325,-3.56,1.36,0.51
13:44:48:354,-3.88,1.40,0.48
13:44:48:404,-4.13,1.40,0.44
13:44:48:444,-4.13,1.47,0.30
13:44:48:449,-3.92,1.67,0.25
13:44:48:457,-3.72,1.77,0.33
13:44:48:464,-3.58,1.82,0.48
13:44:48:469,-3.54,1.82,0.53
13:44:48:495,-3.40,1.71,0.60
13:44:48:554,-3.37,1.65,0.66
13:44:48:594,-3.40,1.77,0.80
13:44:48:605,-3.46,1.79,0.78
13:44:48:624,-3.51,1.70,0.77
13:44:48:634,-3.51,1.60,0.64
13:44:48:639,-3.61,1.48,0.53
13:44:48:675,-3.65,1.51,0.47
13:44:48:704,-3.70,1.46,0.36
13:44:48:714,-3.85,1.43,0.30
13:44:48:755,-4.19,1.33,0.31
13:44:48:774,-4.67,1.21,0.38
13:44:48:794,-4.81,1.02,0.41
13:44:48:814,-4.72,0.85,0.32
13:44:48:834,-4.86,0.65,0.26
13:44:48:879,-4.87,0.35,0.28
13:44:48:883,-4.97,-0.11,0.15
13:44:48:915,-4.30,-0.37,0.10
13:44:48:954,-3.61,-0.35,0.13
13:44:48:954,-3.67,0.37,0.35
13:44:48:974,-3.81,0.62,0.43
13:44:49:34,-4.30,0.60,0.32
13:44:49:45,-4.65,0.47,0.11
13:44:49:64,-4.44,0.46,0.07
13:44:49:74,-3.81,0.52,0.26
13:44:49:124,-3.42,0.57,0.45
13:44:49:128,-3.28,0.63,0.52
13:44:49:144,-3.33,0.71,0.49
13:44:49:176,-3.22,0.92,0.42
13:44:49:195,-3.38,1.16,0.42
13:44:49:224,-3.23,1.03,0.48
13:44:49:254,-3.31,1.09,0.62
13:44:49:376,-3.19,1.00,0.60
13:44:49:424,-3.33,0.86,0.56
13:44:49:474,-3.66,0.89,0.60
13:44:49:493,-3.94,1.17,0.78
13:44:49:505,-4.57,1.44,0.74
13:44:49:534,-4.83,1.63,0.67
13:44:49:554,-4.76,1.59,0.58
13:44:49:574,-5.13,1.56,0.63
13:44:49:593,-5.26,1.64,1.08
13:44:49:593,-5.52,1.70,1.09
13:44:49:605,-4.77,1.69,0.85
13:44:49:669,-4.33,1.41,0.69
13:44:49:674,-4.46,1.10,0.42
13:44:49:704,-4.86,0.78,0.13
13:44:49:724,-5.62,0.47,-0.16
13:44:49:743,-5.50,0.28,-0.38
13:44:49:749,-4.87,0.20,-0.27
13:44:49:757,-4.09,0.18,-0.06
13:44:49:774,-3.83,0.05,0.12
13:44:49:774,-3.74,0.28,0.22
13:44:49:783,-3.82,0.42,0.15
13:44:49:836,-3.57,0.48,-0.03
13:44:49:855,-3.40,0.68,-0.02
13:44:49:855,-3.46,0.73,0.07
13:44:49:876,-3.27,0.58,0.10
13:44:49:884,-3.27,0.53,0.30
13:44:49:895,-3.46,0.45,0.52
13:44:49:904,-3.65,0.43,0.62
13:44:49:959,-3.90,0.38,0.56
13:44:49:964,-4.15,0.22,0.74
13:44:49:998,-5.04,0.07,0.66
13:44:50:33,-5.30,-0.03,0.34
13:44:50:44,-4.83,0.34,0.43
13:44:50:57,-4.33,0.68,0.82
13:44:50:103,-3.85,1.04,1.38
13:44:50:116,-4.55,0.78,1.35
13:44:50:135,-5.43,0.42,0.85
13:44:50:199,-6.10,0.28,0.17
13:44:50:204,-6.03,0.41,-0.24
13:44:50:214,-5.41,0.67,-0.02
13:44:50:223,-4.47,1.01,0.49
13:44:50:290,-3.99,1.20,0.81
13:44:50:304,-3.90,1.46,0.61
13:44:50:314,-3.72,1.82,0.47
13:44:50:314,-3.55,2.76,0.37
13:44:50:354,-3.59,2.09,0.38
13:44:50:400,-3.11,1.68,0.45
13:44:50:404,-3.63,1.77,0.62
13:44:50:414,-3.86,1.54,0.68
13:44:50:445,-4.06,1.68,0.73
13:44:50:464,-4.38,1.88,0.64
13:44:50:514,-4.40,1.84,0.54
13:44:50:565,-4.96,1.78,0.53
13:44:50:573,-5.67,1.72,0.55
13:44:50:586,-6.52,1.73,0.57
13:44:50:586,-5.86,1.09,0.29
13:44:50:625,-5.12,0.75,0.22
13:44:50:634,-5.23,0.58,0.14
13:44:50:653,-5.84,0.56,-0.21
13:44:50:687,-6.72,0.54,-0.37
13:44:50:741,-6.62,0.35,-0.35
13:44:50:741,-5.37,0.51,-0.03
13:44:50:741,-4.66,0.39,0.03
13:44:50:777,-3.99,0.33,0.04
13:44:50:812,-3.85,0.29,-0.06
13:44:50:830,-3.39,0.25,0.08
13:44:50:848,-3.08,0.37,0.09
13:44:50:883,-2.73,0.58,0.04
13:44:50:953,-2.62,0.68,-0.00
13:44:50:953,-2.75,0.65,0.05
13:44:50:972,-2.79,0.52,0.19
13:44:50:989,-2.94,0.54,0.22
13:44:51:5,-3.27,0.59,0.36
13:44:51:6,-3.46,0.71,0.43
13:44:51:39,-3.62,0.66,0.77
13:44:51:109,-4.21,0.55,0.64
13:44:51:111,-4.81,0.50,0.42
13:44:51:111,-5.18,0.90,0.64
13:44:51:131,-5.11,1.45,1.03
13:44:51:164,-4.56,1.63,1.55
13:44:51:183,-5.04,1.23,1.42
13:44:51:218,-5.96,0.75,0.51
13:44:51:271,-6.60,0.58,-0.31
13:44:51:286,-6.03,1.14,-0.21
13:44:51:288,-5.20,2.03,0.52
13:44:51:305,-3.58,0.47,0.62
13:44:51:323,-3.53,1.25,0.55
13:44:51:340,-3.45,0.90,0.36
13:44:51:408,-3.61,1.03,0.19
13:44:51:409,-3.53,1.28,-0.02
13:44:51:461,-3.52,1.50,-0.22
13:44:51:461,-3.43,1.62,-0.22
13:44:51:479,-3.46,1.73,-0.05
13:44:51:496,-3.71,1.72,0.17
13:44:51:513,-3.93,1.71,0.40
13:44:51:548,-4.40,1.76,0.62
13:44:51:634,-4.58,1.72,0.55
13:44:51:651,-4.75,1.67,0.64
13:44:51:651,-5.46,1.50,0.76
13:44:51:669,-6.45,1.61,0.69
13:44:51:685,-6.13,1.48,0.48
13:44:51:687,-4.86,1.38,0.54
13:44:51:722,-4.54,1.28,0.53
13:44:51:738,-4.90,0.81,0.28
13:44:51:774,-5.51,0.78,-0.11
13:44:51:823,-5.69,0.21,-0.64
13:44:51:835,-4.92,0.52,-0.46
13:44:51:835,-3.93,0.20,0.03
13:44:51:852,-3.50,0.21,0.26
13:44:51:891,-3.47,0.39,0.24
13:44:51:907,-3.55,0.45,0.04
13:44:51:925,-3.48,0.44,-0.11
13:44:51:941,-3.39,0.60,-0.12
13:44:51:997,-3.30,0.66,-0.08
13:44:52:12,-3.25,0.68,-0.14
13:44:52:44,-3.16,0.65,-0.08
13:44:52:45,-3.30,0.65,0.23
13:44:52:61,-3.74,0.73,0.48
13:44:52:111,-3.85,0.64,0.56
13:44:52:128,-4.30,0.49,0.58
13:44:52:192,-5.09,0.30,0.32
13:44:52:209,-5.36,0.26,0.20
13:44:52:209,-4.76,0.78,0.66
13:44:52:227,-4.09,1.22,1.15
13:44:52:243,-3.79,1.52,1.54
13:44:52:261,-4.34,1.31,1.53
13:44:52:296,-4.93,0.85,0.99
13:44:52:365,-5.30,0.55,0.44
13:44:52:382,-4.99,0.46,0.12
13:44:52:382,-4.47,0.71,0.47
13:44:52:399,-3.83,0.87,0.93
13:44:52:416,-3.68,0.90,0.71
13:44:52:451,-3.65,1.02,0.55
13:44:52:467,-3.87,1.23,0.49
13:44:52:485,-3.87,1.46,0.49
13:44:52:517,-3.73,1.64,0.47
13:44:52:550,-3.62,1.69,0.50
13:44:52:567,-3.67,1.70,0.63
13:44:52:567,-3.85,1.76,0.71
13:44:52:599,-4.14,1.88,0.63
13:44:52:617,-4.72,1.92,0.50
13:44:52:651,-4.53,1.77,0.44
13:44:52:671,-5.13,1.58,0.64
13:44:52:720,-5.55,1.64,0.80
13:44:52:736,-5.99,1.46,0.63
13:44:52:736,-5.32,1.02,0.35
13:44:52:768,-5.05,0.85,0.27
13:44:52:800,-5.12,0.81,0.28
13:44:52:865,-5.55,0.59,0.10
13:44:52:899,-6.00,0.49,-0.21
13:44:52:915,-5.35,0.20,-0.17
13:44:52:931,-4.77,0.38,-0.07
13:44:52:948,-4.19,0.17,0.06
13:44:52:963,-3.97,0.11,0.24
13:44:52:963,-3.90,0.17,0.14
13:44:52:981,-3.55,0.33,0.02
13:44:52:996,-3.23,0.46,-0.01
13:44:53:29,-3.13,0.60,0.00
13:44:53:104,-2.95,0.56,0.10
13:44:53:104,-2.80,0.52,0.18
13:44:53:104,-2.84,0.50,0.35
13:44:53:136,-2.98,0.58,0.49
13:44:53:153,-3.29,0.60,0.59
13:44:53:206,-3.46,0.55,0.73
13:44:53:223,-4.21,0.27,0.60
13:44:53:265,-5.01,0.06,0.21
13:44:53:275,-5.65,0.21,0.17
13:44:53:279,-5.33,0.93,0.81
13:44:53:295,-4.75,1.36,1.53
13:44:53:330,-4.75,1.39,1.74
13:44:53:345,-5.32,0.68,1.14
13:44:53:365,-5.96,0.25,0.31
13:44:53:484,-5.73,0.25,-0.13
13:44:53:518,-4.86,0.58,0.10
13:44:53:534,-4.10,0.69,0.51
13:44:53:543,-3.62,0.71,0.60
13:44:53:559,-3.59,0.84,0.52
13:44:53:564,-3.54,1.08,0.38
13:44:53:599,-3.82,1.36,0.22
13:44:53:630,-3.84,1.63,0.31
13:44:53:639,-3.91,1.87,0.37
13:44:53:645,-3.80,1.90,0.53
13:44:53:650,-3.65,1.84,0.65
13:44:53:665,-3.82,1.97,0.73
13:44:53:690,-4.15,2.02,0.66
