18:19:55:339,3.77,0.67,0.56
18:19:55:360,3.79,0.69,0.57
18:19:55:360,3.75,0.71,0.59
18:19:55:411,3.75,0.72,0.57
18:19:55:434,3.70,0.70,0.62
18:19:55:497,3.70,0.71,0.67
18:19:55:544,3.70,0.74,0.67
18:19:55:559,3.74,0.72,0.56
18:19:55:559,3.76,0.63,0.59
18:19:55:575,3.80,0.66,0.64
18:19:55:597,3.79,0.63,0.58
18:19:55:610,3.80,0.63,0.54
18:19:55:626,3.81,0.62,0.51
18:19:55:642,3.77,0.60,0.54
18:19:55:744,3.74,0.56,0.55
18:19:55:767,3.73,0.60,0.57
18:19:55:767,3.74,0.62,0.58
18:19:55:783,3.78,0.62,0.57
18:19:55:826,3.78,0.69,0.62
18:19:55:845,3.77,0.75,0.64
18:19:55:908,3.76,0.77,0.59
18:19:55:915,3.80,0.79,0.64
18:19:55:950,3.78,0.73,0.60
18:19:55:951,3.80,0.52,0.60
18:19:55:987,3.79,0.39,0.54
18:19:56:8,3.73,0.50,0.50
18:19:56:24,3.71,0.67,0.54
18:19:56:71,3.67,0.79,0.51
18:19:56:118,3.74,0.85,0.55
18:19:56:159,3.78,0.81,0.54
18:19:56:181,3.75,0.82,0.53
18:19:56:181,3.73,0.91,0.57
18:19:56:196,3.91,0.98,0.50
18:19:56:221,3.85,0.87,0.44
18:19:56:221,3.95,0.43,0.60
18:19:56:242,3.82,0.30,0.83
18:19:56:308,3.64,0.09,0.85
18:19:56:318,3.53,0.27,0.59
18:19:56:374,3.53,0.54,0.56
18:19:56:376,3.62,0.71,0.54
18:19:56:384,3.75,1.18,0.78
18:19:56:401,4.00,0.87,0.98
18:19:56:432,3.93,0.61,0.78
18:19:56:456,3.79,0.74,0.51
18:19:56:489,3.73,0.57,0.48
18:19:56:501,3.83,0.64,0.42
18:19:56:509,3.99,0.20,0.43
18:19:56:519,3.84,0.39,0.43
18:19:56:539,3.77,0.64,0.41
18:19:56:542,3.69,0.68,0.47
18:19:56:549,3.64,0.89,0.51
18:19:56:549,3.65,0.83,0.54
18:19:56:570,3.69,0.78,0.57
18:19:56:583,3.74,0.79,0.66
18:19:56:610,3.76,0.84,0.73
18:19:56:650,3.81,0.89,0.77
18:19:56:662,3.80,0.85,0.70
18:19:56:662,3.80,0.76,0.66
18:19:56:684,3.78,0.73,0.65
18:19:56:699,3.79,0.62,0.60
18:19:56:711,3.80,0.51,0.56
18:19:56:719,3.78,0.45,0.51
18:19:56:730,3.77,0.47,0.52
18:19:56:829,3.78,0.55,0.50
18:19:56:834,3.79,0.55,0.53
18:19:56:849,3.78,0.57,0.51
18:19:56:881,3.74,0.59,0.50
18:19:56:921,3.73,0.59,0.47
18:19:56:929,3.75,0.61,0.46
18:19:57:16,3.72,0.62,0.49
18:19:57:39,3.68,0.61,0.51
18:19:57:51,3.67,0.61,0.50
18:19:57:59,3.90,0.60,0.50
