19:34:53:80,3.63,1.23,0.06
19:34:53:99,3.65,1.23,0.01
19:34:53:101,3.64,1.22,0.05
19:34:53:116,3.60,1.18,0.06
19:34:53:116,3.53,1.12,0.08
19:34:53:136,3.50,1.12,0.04
19:34:53:242,3.59,1.15,0.03
19:34:53:242,3.64,1.17,0.06
19:34:53:258,3.72,1.23,0.12
19:34:53:264,3.83,1.29,0.10
19:34:53:284,3.81,1.29,0.10
19:34:53:284,3.80,1.23,0.08
19:34:53:300,3.76,1.21,0.14
19:34:53:331,3.78,1.18,0.17
19:34:53:367,3.74,1.19,0.18
19:34:53:367,3.65,1.26,0.19
19:34:53:435,3.65,1.27,0.17
19:34:53:442,3.68,1.30,0.20
19:34:53:442,3.66,1.33,0.07
19:34:53:457,3.69,1.36,0.02
19:34:53:513,3.73,1.39,0.02
19:34:53:535,3.73,1.40,0.08
19:34:53:551,3.79,1.45,0.02
19:34:53:582,3.71,1.43,0.07
19:34:53:602,3.68,1.39,0.10
19:34:53:634,3.62,1.36,0.10
19:34:53:639,3.57,1.34,0.11
19:34:53:670,3.59,1.36,0.07
19:34:53:701,3.67,1.37,0.03
19:34:53:717,3.69,1.34,0.05
19:34:53:723,3.67,1.30,0.00
19:34:53:786,3.69,1.24,0.12
19:34:53:817,3.68,1.26,0.09
19:34:53:823,3.65,1.37,0.06
19:34:53:823,3.74,1.37,0.06
19:34:53:861,3.83,1.36,0.03
19:34:53:885,3.62,1.31,0.21
19:34:53:909,3.56,1.25,0.16
19:34:53:943,3.60,1.31,0.21
19:34:53:972,3.64,1.32,0.23
19:34:53:994,3.61,1.43,0.59
19:34:53:999,3.67,1.16,0.30
19:34:54:18,3.69,1.11,-0.03
19:34:54:58,3.84,1.12,-0.04
19:34:54:79,3.79,1.25,0.11
19:34:54:109,3.68,1.34,-0.05
19:34:54:159,3.68,1.28,-0.07
19:34:54:184,3.67,1.26,-0.02
19:34:54:189,3.60,1.24,-0.12
19:34:54:194,3.77,1.43,-0.03
19:34:54:235,3.76,1.34,0.05
19:34:54:249,3.57,1.10,0.10
19:34:54:261,3.56,1.13,-0.07
19:34:54:319,3.83,1.13,0.26
19:34:54:349,3.59,1.44,0.59
19:34:54:359,3.66,1.43,0.36
19:34:54:369,3.75,0.94,0.20
19:34:54:394,3.87,1.02,0.05
19:34:54:409,3.86,1.15,0.14
19:34:54:429,3.77,1.10,0.11
19:34:54:449,3.78,1.01,0.04
19:34:54:530,3.75,1.05,-0.08
19:34:54:530,3.71,1.00,-0.20
19:34:54:538,3.77,0.95,0.03
19:34:54:558,3.69,1.00,-0.09
19:34:54:572,3.72,1.36,-0.05
19:34:54:618,3.67,1.19,0.34
19:34:54:623,3.46,1.15,0.25
19:34:54:683,3.50,1.02,0.08
19:34:54:703,3.54,1.04,0.08
19:34:54:710,3.56,1.13,0.08
19:34:54:710,3.61,1.18,-0.04
19:34:54:753,3.61,1.31,-0.22
19:34:54:764,3.50,1.36,-0.31
19:34:54:788,3.40,1.28,-0.38
19:34:54:873,3.75,1.53,-0.16
19:34:54:880,4.01,1.69,0.01
19:34:54:889,4.01,1.67,-0.13
19:34:54:895,3.75,1.46,-0.24
19:34:54:915,3.51,1.35,-0.29
19:34:54:938,3.47,1.34,-0.25
19:34:54:950,3.47,1.46,-0.19
19:34:54:970,3.58,1.18,-0.19
19:34:55:25,3.57,1.25,-0.06
19:34:55:54,3.51,1.45,-0.03
19:34:55:54,3.49,1.68,-0.08
19:34:55:71,3.69,1.71,-0.02
19:34:55:109,3.80,1.73,-0.03
19:34:55:118,3.88,1.63,-0.09
19:34:55:138,3.87,1.42,-0.20
19:34:55:198,3.96,1.37,-0.33
19:34:55:249,4.01,1.35,-0.38
19:34:55:249,4.18,1.43,-0.68
