17:26:51:42,3.68,0.34,-1.18
17:26:51:49,3.72,0.46,-1.16
17:26:51:129,3.73,0.58,-1.12
17:26:51:155,3.70,0.66,-1.05
17:26:51:169,3.72,0.62,-0.98
17:26:51:181,3.75,0.58,-0.94
17:26:51:203,3.82,0.48,-0.93
17:26:51:218,3.84,0.43,-0.91
17:26:51:228,3.89,0.43,-0.86
17:26:51:275,3.87,0.42,-0.84
17:26:51:324,3.84,0.41,-0.79
17:26:51:350,3.84,0.48,-0.76
17:26:51:355,3.85,0.54,-0.79
17:26:51:386,3.85,0.62,-0.80
17:26:51:390,3.84,0.67,-0.81
17:26:51:398,3.78,0.70,-0.82
17:26:51:440,3.79,0.76,-0.85
17:26:51:465,3.78,0.76,-0.89
17:26:51:482,3.76,0.79,-0.83
17:26:51:487,3.78,0.77,-0.84
17:26:51:497,3.79,0.71,-0.90
17:26:51:502,3.78,0.69,-0.88
17:26:51:537,3.78,0.73,-0.91
17:26:51:547,3.81,0.68,-0.86
17:26:51:573,3.84,0.66,-0.86
17:26:51:578,3.84,0.62,-0.86
17:26:51:583,3.81,0.58,-0.89
17:26:51:654,3.80,0.53,-0.85
17:26:51:670,3.82,0.50,-0.89
17:26:51:686,3.82,0.50,-0.86
17:26:51:691,3.81,0.49,-0.86
17:26:51:711,3.79,0.50,-0.88
17:26:51:746,3.81,0.54,-0.90
17:26:51:758,3.80,0.57,-0.90
17:26:51:786,3.82,0.59,-0.90
17:26:51:820,3.81,0.60,-0.89
17:26:51:845,3.79,0.62,-0.84
17:26:51:871,3.80,0.64,-0.83
17:26:51:881,3.81,0.64,-0.85
17:26:51:901,3.83,0.63,-0.88
17:26:51:925,3.82,0.58,-0.86
17:26:51:958,3.82,0.62,-0.86
17:26:51:998,3.82,0.63,-0.85
17:26:52:23,3.78,0.63,-0.82
17:26:52:44,3.79,0.63,-0.81
17:26:52:59,3.78,0.58,-0.80
17:26:52:69,3.79,0.60,-0.82
17:26:52:89,3.77,0.63,-0.82
17:26:52:129,3.76,0.70,-0.81
17:26:52:141,3.80,0.74,-0.79
17:26:52:174,3.85,0.71,-0.85
17:26:52:208,3.83,0.62,-0.89
17:26:52:252,3.80,0.48,-0.93
17:26:52:259,3.92,0.41,-0.95
17:26:52:277,3.97,0.26,-0.93
17:26:52:282,3.82,-0.25,-1.05
17:26:52:308,3.55,-0.34,-1.05
17:26:52:354,3.48,-0.40,-1.00
17:26:52:379,3.45,-0.25,-0.97
17:26:52:408,3.52,-0.20,-1.03
17:26:52:428,3.54,0.44,-1.08
17:26:52:471,3.78,1.03,-1.00
17:26:52:486,3.82,1.63,-0.75
17:26:52:491,3.90,1.94,-0.60
17:26:52:506,3.86,1.67,-0.78
17:26:52:600,3.71,1.31,-0.72
17:26:52:617,3.84,1.56,-0.78
17:26:52:622,4.14,1.88,-0.94
17:26:52:628,4.19,2.65,-0.80
17:26:52:668,3.97,2.88,-0.74
17:26:52:710,4.71,3.27,-0.83
17:26:52:711,5.10,3.37,-0.97
17:26:52:736,4.67,2.76,-0.95
17:26:52:775,3.71,2.83,-0.57
17:26:52:783,3.07,2.58,-0.49
17:26:52:788,2.88,2.18,-0.47
17:26:52:798,3.46,1.46,-0.99
17:26:52:813,4.13,0.79,-1.36
17:26:52:833,3.95,0.55,-1.42
17:26:52:927,3.54,0.49,-1.46
17:26:52:936,3.30,0.59,-1.40
17:26:52:941,3.29,0.68,-1.35
17:26:52:946,3.31,0.69,-1.40
17:26:52:964,3.25,0.79,-1.44
17:26:52:981,3.19,0.94,-1.51
17:26:53:3,3.22,1.05,-1.47
