18:5:1:906,3.48,1.40,-1.40
18:5:1:944,3.45,1.42,-1.40
18:5:1:961,3.44,1.41,-1.42
18:5:2:43,3.43,1.42,-1.38
18:5:2:52,3.45,1.42,-1.38
18:5:2:59,3.45,1.44,-1.41
18:5:2:67,3.45,1.44,-1.42
18:5:2:74,3.43,1.46,-1.44
18:5:2:101,3.43,1.46,-1.43
18:5:2:124,3.38,1.47,-1.41
18:5:2:193,3.45,1.49,-1.43
18:5:2:208,3.45,1.47,-1.42
18:5:2:233,3.45,1.45,-1.46
18:5:2:284,3.45,1.45,-1.43
18:5:2:294,3.46,1.47,-1.42
18:5:2:309,3.47,1.44,-1.44
18:5:2:395,3.46,1.45,-1.46
18:5:2:436,3.47,1.43,-1.43
18:5:2:463,3.45,1.44,-1.43
18:5:2:506,3.44,1.44,-1.42
18:5:2:578,3.43,1.45,-1.43
18:5:2:603,3.44,1.47,-1.43
18:5:2:614,3.44,1.46,-1.43
18:5:2:618,3.46,1.46,-1.44
18:5:2:645,3.43,1.46,-1.45
18:5:2:666,3.43,1.47,-1.46
18:5:2:668,3.45,1.49,-1.44
18:5:2:674,3.44,1.49,-1.44
18:5:2:703,3.45,1.47,-1.43
18:5:2:725,3.44,1.47,-1.44
18:5:2:767,3.45,1.50,-1.45
18:5:2:778,3.43,1.48,-1.43
18:5:2:798,3.44,1.45,-1.43
18:5:2:805,3.46,1.43,-1.45
18:5:2:813,3.45,1.44,-1.45
18:5:2:833,3.46,1.44,-1.44
18:5:2:868,3.45,1.43,-1.43
18:5:2:874,3.44,1.44,-1.44
18:5:2:933,3.44,1.46,-1.44
18:5:2:948,3.46,1.46,-1.42
18:5:2:963,3.45,1.44,-1.45
18:5:2:974,3.45,1.46,-1.46
18:5:2:983,3.45,1.43,-1.40
18:5:3:24,3.48,1.40,-1.40
18:5:3:74,3.50,1.38,-1.42
18:5:3:113,3.50,1.42,-1.41
18:5:3:148,3.51,1.43,-1.38
18:5:3:156,3.55,1.45,-1.42
18:5:3:213,3.59,1.40,-1.42
18:5:3:255,3.67,1.37,-1.34
18:5:3:303,3.65,1.53,-1.36
18:5:3:333,3.64,1.45,-1.34
18:5:3:343,3.48,1.30,-1.40
18:5:3:368,3.43,1.37,-1.37
18:5:3:383,3.36,1.48,-1.30
18:5:3:403,3.42,1.42,-1.37
18:5:3:473,3.42,1.38,-1.36
18:5:3:511,3.46,1.36,-1.40
18:5:3:513,3.34,1.38,-1.34
18:5:3:523,3.27,1.43,-1.27
18:5:3:578,3.26,1.41,-1.32
18:5:3:586,3.25,1.51,-1.23
18:5:3:606,3.07,1.49,-1.14
18:5:3:633,3.09,1.51,-1.15
18:5:3:665,3.44,1.51,-1.30
18:5:3:673,3.64,1.43,-1.50
18:5:3:693,3.90,1.36,-1.76
18:5:3:707,3.85,1.33,-1.92
18:5:3:708,3.63,1.26,-1.96
18:5:3:733,3.33,1.24,-1.82
18:5:3:753,3.13,1.39,-1.62
18:5:3:763,3.03,1.53,-1.41
18:5:3:769,3.03,1.56,-1.36
18:5:3:828,3.09,1.53,-1.36
18:5:3:843,3.25,1.50,-1.45
18:5:3:869,3.47,1.39,-1.56
18:5:3:873,3.57,1.25,-1.62
18:5:3:883,3.76,1.12,-1.68
18:5:3:904,3.83,1.01,-1.69
18:5:3:913,4.05,0.97,-1.64
18:5:3:926,4.11,0.60,-1.57
18:5:4:11,4.34,0.60,-1.73
18:5:4:14,4.63,0.63,-1.82
18:5:4:31,5.27,0.76,-1.93
18:5:4:38,4.64,1.18,-1.52
18:5:4:50,3.63,1.23,-0.89
18:5:4:53,3.19,1.00,-0.62
18:5:4:53,3.26,0.66,-0.84
18:5:4:106,3.58,0.44,-1.01
18:5:4:133,3.86,0.54,-1.17
18:5:4:158,3.44,0.88,-1.18
18:5:4:175,3.27,0.65,-1.19
18:5:4:223,3.14,0.59,-1.33
18:5:4:235,3.04,0.75,-1.27
18:5:4:278,3.08,0.87,-1.15
18:5:4:283,3.08,1.03,-1.05
18:5:4:396,2.96,1.12,-0.97
18:5:4:417,3.03,0.97,-1.01
18:5:4:423,3.23,0.78,-1.07
18:5:4:434,3.44,0.63,-1.16
18:5:4:443,3.42,1.39,-0.97
18:5:4:443,3.33,1.77,-1.07
18:5:4:455,3.79,1.68,-1.25
18:5:4:471,4.51,1.93,-1.52
18:5:4:474,5.07,1.89,-1.89
18:5:4:573,5.34,1.61,-2.00
18:5:4:593,4.99,1.53,-1.74
18:5:4:613,3.98,1.74,-1.11
18:5:4:613,3.46,1.83,-0.79
18:5:4:631,3.57,1.51,-0.75
18:5:4:631,3.49,1.15,-1.19
18:5:4:648,3.21,1.13,-1.50
18:5:4:648,3.01,1.28,-1.26
18:5:4:670,2.62,0.98,-1.31
18:5:4:690,2.55,0.85,-1.27
18:5:4:724,2.51,0.83,-1.24
18:5:4:742,2.58,0.81,-1.31
18:5:4:761,2.73,0.93,-1.21
18:5:4:778,2.80,1.15,-1.15
18:5:4:795,3.22,1.21,-1.29
18:5:4:811,3.71,1.22,-1.53
18:5:4:830,4.20,1.08,-1.85
18:5:4:830,4.48,0.96,-2.06
18:5:4:906,4.49,0.82,-2.07
18:5:4:929,4.72,0.96,-2.16
18:5:4:939,5.47,1.29,-1.97
18:5:4:942,4.66,1.20,-1.63
18:5:4:942,4.01,0.91,-1.27
18:5:4:982,3.97,0.81,-1.32
18:5:4:997,3.82,0.78,-1.29
18:5:5:36,3.99,0.47,-1.18
18:5:5:111,3.89,0.32,-1.11
18:5:5:128,3.80,0.30,-1.09
18:5:5:128,3.44,0.33,-0.86
18:5:5:145,3.08,0.51,-0.68
18:5:5:145,2.87,0.69,-0.71
18:5:5:165,2.75,0.91,-0.87
18:5:5:194,2.71,1.05,-0.96
18:5:5:282,2.87,1.20,-0.96
18:5:5:301,3.03,1.51,-1.01
18:5:5:301,2.99,1.51,-1.03
18:5:5:301,3.20,1.40,-0.85
18:5:5:322,3.46,1.45,-0.90
18:5:5:322,4.02,1.39,-1.23
18:5:5:359,4.54,1.59,-1.35
18:5:5:383,4.54,1.66,-1.26
18:5:5:456,4.94,1.91,-1.34
18:5:5:456,5.65,2.23,-1.26
18:5:5:474,5.33,2.41,-1.10
18:5:5:489,4.83,2.16,-1.12
18:5:5:508,4.40,1.84,-1.34
18:5:5:544,4.19,1.56,-1.42
18:5:5:564,3.88,1.25,-1.46
18:5:5:600,3.86,1.05,-1.62
18:5:5:618,3.78,0.93,-1.59
18:5:5:618,3.45,0.91,-1.49
18:5:5:655,3.04,0.87,-1.51
18:5:5:675,2.83,0.89,-1.47
18:5:5:692,2.86,1.04,-1.38
18:5:5:747,2.94,1.14,-1.41
18:5:5:766,2.92,1.16,-1.43
18:5:5:803,2.92,1.22,-1.45
18:5:5:821,2.97,1.16,-1.48
18:5:5:821,3.24,0.96,-1.57
18:5:5:839,3.42,0.87,-1.66
18:5:5:858,3.46,0.80,-1.73
18:5:5:930,3.45,0.86,-1.67
18:5:5:949,3.78,1.03,-1.45
18:5:5:985,4.49,1.12,-1.66
18:5:6:7,4.53,1.04,-1.96
18:5:6:44,3.88,0.83,-2.07
18:5:6:44,4.32,0.92,-2.07
18:5:6:44,4.64,1.31,-1.95
18:5:6:61,4.71,1.59,-1.78
18:5:6:81,4.71,1.79,-1.73
18:5:6:100,4.24,2.27,-1.01
18:5:6:136,3.79,2.52,-0.67
18:5:6:172,3.11,2.21,-0.71
18:5:6:172,2.80,1.87,-0.72
18:5:6:191,2.69,1.69,-0.68
18:5:6:229,2.78,1.42,-0.76
18:5:6:246,3.09,1.35,-0.87
18:5:6:282,3.28,1.52,-0.99
18:5:6:338,3.05,1.65,-0.93
18:5:6:356,3.20,1.79,-0.81
18:5:6:356,3.63,1.97,-0.90
18:5:6:356,4.33,2.01,-1.19
18:5:6:413,4.53,1.84,-1.38
18:5:6:432,4.93,1.93,-1.52
18:5:6:450,5.69,2.13,-1.63
18:5:6:522,5.28,2.11,-1.42
18:5:6:540,4.72,1.76,-1.46
18:5:6:540,4.59,1.39,-1.73
18:5:6:558,4.47,1.28,-1.87
