19:0:56:900,3.39,1.04,1.08
19:0:56:900,3.31,1.06,1.07
19:0:56:916,3.26,1.06,1.05
19:0:56:916,3.25,1.14,1.08
19:0:56:931,3.20,1.21,1.14
19:0:56:964,3.08,1.18,1.14
19:0:56:964,3.05,1.22,1.18
19:0:56:996,3.17,1.29,1.20
19:0:57:59,3.25,1.39,1.25
19:0:57:92,3.44,1.52,1.33
19:0:57:92,3.54,1.63,1.42
19:0:57:123,3.30,1.49,1.31
19:0:57:139,3.10,1.48,1.20
19:0:57:139,3.25,1.62,1.22
19:0:57:170,3.64,1.82,1.46
19:0:57:248,3.82,1.96,1.58
19:0:57:248,3.76,1.72,1.46
19:0:57:264,3.56,1.56,1.32
19:0:57:269,3.47,1.37,1.25
19:0:57:285,3.49,1.27,1.26
19:0:57:316,3.48,1.26,1.33
19:0:57:316,3.45,1.41,1.29
19:0:57:354,3.47,1.47,1.25
19:0:57:424,3.44,1.49,1.25
19:0:57:441,3.51,1.43,1.28
19:0:57:442,3.61,1.29,1.30
19:0:57:465,3.73,1.19,1.30
19:0:57:482,3.83,1.11,1.31
19:0:57:501,3.82,1.03,1.30
19:0:57:538,3.83,0.97,1.25
19:0:57:625,3.94,1.09,1.22
19:0:57:625,4.32,1.14,1.15
19:0:57:645,4.58,1.25,1.19
19:0:57:665,4.29,1.27,1.13
19:0:57:705,3.96,1.23,1.08
19:0:57:725,3.74,1.09,1.09
19:0:57:776,3.29,0.83,1.06
19:0:57:785,2.92,0.63,0.85
19:0:57:805,3.04,0.75,0.70
19:0:57:815,3.22,0.98,0.79
19:0:57:815,3.39,1.16,1.02
19:0:57:835,3.37,1.25,1.21
19:0:57:856,3.19,1.10,1.19
19:0:57:856,2.94,1.01,1.05
19:0:57:878,2.78,0.94,0.96
19:0:57:910,2.79,1.13,1.10
19:0:57:974,2.83,1.33,1.21
19:0:57:985,2.83,1.32,1.29
19:0:57:985,2.81,1.13,1.31
19:0:58:4,2.79,1.08,1.33
19:0:58:30,2.76,0.99,1.33
19:0:58:66,2.73,1.02,1.39
19:0:58:134,2.80,1.14,1.47
19:0:58:146,3.12,1.30,1.45
19:0:58:155,3.66,1.41,1.47
19:0:58:166,4.21,1.57,1.59
19:0:58:175,4.37,1.67,1.73
19:0:58:194,4.23,1.68,1.66
19:0:58:286,4.60,1.75,1.64
19:0:58:310,4.78,2.03,2.04
19:0:58:374,3.49,1.90,2.05
19:0:58:387,2.70,1.73,1.58
19:0:58:394,3.11,1.69,1.35
19:0:58:394,3.62,1.55,1.28
19:0:58:415,3.83,1.46,1.32
19:0:58:435,3.67,1.36,1.39
19:0:58:449,3.40,1.09,1.31
