19:0:57:107,4.00,-0.23,-0.93
19:0:57:107,3.99,0.12,-0.79
19:0:57:107,3.95,0.02,-0.70
19:0:57:107,4.02,-0.06,-0.79
19:0:57:123,4.17,-0.42,-1.26
19:0:57:123,4.46,-0.10,-0.87
19:0:57:154,4.38,0.27,-0.80
19:0:57:170,4.62,-0.59,-0.00
19:0:57:170,5.56,-1.05,-0.84
19:0:57:170,5.12,-0.61,-0.49
19:0:57:186,4.77,-0.13,-1.08
19:0:57:264,4.62,0.93,-2.21
19:0:57:269,2.76,-0.69,-1.60
19:0:57:269,2.17,-2.18,-2.08
19:0:57:285,2.21,-1.38,-1.67
19:0:57:285,2.63,-1.22,-1.14
19:0:57:301,3.18,-1.07,-0.94
19:0:57:316,3.44,-0.82,-0.83
19:0:57:332,3.75,-0.58,-0.67
19:0:57:338,4.10,-0.46,-0.59
19:0:57:338,4.30,-0.24,-0.51
19:0:57:440,4.44,0.50,-0.49
19:0:57:442,4.49,1.19,-0.33
19:0:57:465,4.73,1.53,-0.16
19:0:57:482,4.87,1.80,0.04
19:0:57:501,4.65,2.28,-0.22
19:0:57:517,4.08,3.02,-0.25
19:0:57:615,4.22,4.12,0.63
19:0:57:645,3.84,2.53,0.63
19:0:57:665,5.36,-3.68,-0.43
19:0:57:676,5.03,0.78,-1.54
19:0:57:685,3.65,-0.13,-0.33
19:0:57:715,3.41,-0.23,-1.61
19:0:57:715,4.81,1.17,-0.25
19:0:57:725,3.98,0.49,-0.76
19:0:57:805,3.82,-0.70,-0.65
19:0:57:815,3.94,-0.39,-1.03
19:0:57:835,3.99,0.49,-1.26
19:0:57:856,4.08,0.39,-1.17
19:0:57:885,3.89,-0.27,-0.82
19:0:57:915,3.93,-0.01,-0.81
19:0:57:945,4.20,0.18,-0.81
19:0:58:15,3.88,0.25,-0.96
19:0:58:45,3.81,0.33,-0.68
19:0:58:48,3.96,0.49,-0.78
19:0:58:65,4.07,0.51,-0.91
19:0:58:74,3.95,0.32,-0.93
19:0:58:86,4.17,0.08,-0.79
19:0:58:110,4.10,0.28,-0.95
19:0:58:194,4.11,0.31,-1.15
19:0:58:215,4.30,0.14,-0.98
19:0:58:225,4.40,0.09,-0.83
19:0:58:374,3.69,0.87,-0.55
19:0:58:374,5.23,0.55,-0.45
19:0:58:386,5.35,0.08,-0.90
19:0:58:387,6.18,-0.14,-0.13
19:0:58:405,6.64,-1.42,-2.01
19:0:58:410,7.68,-1.14,-2.22
19:0:58:415,8.00,-1.39,-2.67
19:0:58:445,7.13,-0.43,-1.50
19:0:58:526,3.78,0.97,-2.05
19:0:58:539,1.95,-1.88,-2.74
19:0:58:546,2.06,-2.68,-1.55
19:0:58:554,1.08,-3.02,-1.33
19:0:58:567,1.64,-2.41,-1.52
19:0:58:567,2.30,-0.80,-1.15
19:0:58:574,2.80,0.05,-0.86
19:0:58:595,3.23,0.86,-0.71
19:0:58:595,3.70,0.42,-0.43
19:0:58:624,4.21,0.46,-0.46
19:0:58:624,4.61,0.74,-0.46
19:0:58:654,5.32,0.97,-0.57
19:0:58:674,5.98,1.14,-0.53
19:0:58:694,6.60,2.14,-0.25
19:0:58:726,6.86,2.87,0.07
19:0:58:754,6.52,3.96,-0.19
19:0:58:764,5.44,7.63,0.81
19:0:58:781,5.77,8.00,3.58
19:0:58:784,1.80,8.00,5.06
19:0:58:796,5.24,-4.34,-4.16
19:0:58:796,6.52,-3.03,3.20
19:0:58:864,5.56,1.94,-1.07
19:0:58:884,2.17,2.42,0.89
19:0:58:884,4.24,0.44,-1.65
19:0:58:896,3.63,-0.03,-0.89
19:0:58:904,4.01,-0.70,-0.80
19:0:58:914,3.85,-0.33,-1.18
19:0:58:935,3.88,0.48,-1.44
19:0:58:965,3.74,-0.40,-1.50
