19:19:49:561,4.11,0.18,-0.14
19:19:49:561,4.60,1.06,0.01
19:19:49:640,5.32,0.83,0.34
19:19:49:676,4.51,0.47,0.35
19:19:49:676,4.13,0.16,-0.17
19:19:49:727,3.92,-0.03,-0.33
19:19:49:727,3.87,-0.04,-0.35
19:19:49:800,3.92,0.15,-0.33
19:19:49:819,3.97,-0.13,0.03
19:19:49:835,4.02,0.05,0.06
19:19:49:870,4.06,0.04,0.02
19:19:49:889,4.00,0.01,-0.21
19:19:49:905,3.98,0.12,-0.31
19:19:50:19,4.00,0.03,-0.26
19:19:50:113,3.93,-0.03,-0.22
19:19:50:279,3.92,0.01,-0.30
19:19:50:279,3.89,-0.05,-0.37
19:19:50:362,4.00,0.12,-0.34
19:19:50:374,4.08,0.40,-0.26
19:19:50:374,3.86,-0.23,-0.43
19:19:50:374,3.98,0.03,-0.52
19:19:50:394,3.99,0.04,-0.45
19:19:50:407,3.97,-0.04,-0.53
19:19:50:407,4.02,0.19,-0.52
19:19:50:446,3.99,0.01,-0.52
19:19:50:452,4.00,0.01,-0.54
19:19:50:452,3.98,-0.04,-0.58
19:19:50:462,3.96,-0.02,-0.55
19:19:50:477,3.96,0.01,-0.61
19:19:50:542,3.93,-0.05,-0.62
19:19:50:542,3.96,0.08,-0.52
19:19:50:542,3.97,-0.01,-0.46
19:19:50:542,4.00,0.12,-0.55
19:19:50:606,4.01,0.03,-0.48
19:19:50:606,4.00,0.01,-0.52
19:19:50:624,3.98,0.01,-0.47
19:19:50:664,3.98,0.21,-0.42
19:19:50:664,3.92,0.12,-0.31
19:19:50:664,3.99,0.04,-0.32
19:19:50:664,4.00,0.05,-0.32
19:19:50:664,4.03,0.09,-0.28
19:19:50:664,3.86,0.03,-0.28
19:19:50:664,3.87,0.06,-0.33
19:19:50:722,3.94,0.09,-0.27
19:19:50:722,3.96,0.13,-0.18
19:19:50:722,3.94,0.08,-0.20
19:19:50:727,3.95,0.13,-0.21
19:19:50:735,3.96,0.03,-0.21
19:19:50:753,4.00,0.08,-0.21
19:19:50:782,3.99,0.11,-0.20
19:19:50:814,3.97,0.04,-0.13
19:19:50:814,3.96,0.07,-0.19
19:19:50:842,3.98,0.17,-0.13
19:19:50:894,4.02,0.11,-0.14
19:19:50:927,3.95,0.06,-0.13
19:19:50:927,3.96,0.05,-0.12
19:19:50:927,4.00,0.08,-0.08
19:19:50:954,3.99,0.05,-0.08
19:19:50:962,3.96,0.06,-0.11
19:19:50:962,3.96,0.04,-0.06
19:19:51:2,3.93,0.04,-0.09
19:19:51:2,3.95,0.06,-0.07
19:19:51:9,4.00,0.07,-0.16
19:19:51:22,3.98,0.06,-0.03
19:19:51:77,3.98,0.08,-0.02
19:19:51:144,3.98,0.09,-0.09
19:19:51:145,4.01,0.13,-0.07
19:19:51:164,4.00,0.12,-0.08
19:19:51:172,4.01,0.13,-0.05
19:19:51:187,3.99,0.12,-0.08
19:19:51:272,3.98,0.15,-0.08
19:19:51:327,4.00,0.15,-0.06
19:19:51:337,4.00,0.12,-0.03
