19:19:50:98,4.33,0.26,1.49
19:19:50:133,3.71,1.31,0.99
19:19:50:159,3.92,0.22,-0.23
19:19:50:256,4.02,0.67,-0.22
19:19:50:261,3.85,0.73,-0.45
19:19:50:261,3.78,0.23,-0.42
19:19:50:279,3.92,-0.02,-0.23
19:19:50:279,3.97,-0.17,-0.05
19:19:50:307,4.03,0.47,-0.18
19:19:50:367,4.01,0.39,-0.29
19:19:50:392,3.85,0.07,-0.56
19:19:50:394,3.86,0.28,-0.50
19:19:50:402,3.85,0.11,-0.46
19:19:50:433,3.89,0.03,-0.53
19:19:50:452,3.92,0.06,-0.44
19:19:50:452,3.96,-0.07,-0.59
19:19:50:464,3.98,-0.03,-0.62
19:19:50:512,3.96,0.05,-0.59
19:19:50:542,3.91,0.03,-0.57
19:19:50:552,3.88,0.07,-0.59
19:19:50:567,3.89,0.10,-0.65
19:19:50:612,3.89,-0.02,-0.67
19:19:50:617,3.91,0.07,-0.61
19:19:50:624,3.92,0.08,-0.65
19:19:50:637,3.93,0.14,-0.64
19:19:50:652,3.89,0.07,-0.73
19:19:50:664,3.91,0.06,-0.69
19:19:50:722,3.89,0.13,-0.67
19:19:50:735,3.88,0.09,-0.77
19:19:50:742,3.89,0.09,-0.75
19:19:50:753,3.90,0.07,-0.72
19:19:50:762,3.91,0.08,-0.76
19:19:50:787,3.90,0.01,-0.77
19:19:50:807,3.91,0.05,-0.77
19:19:50:842,3.91,0.03,-0.76
19:19:50:917,3.90,0.03,-0.78
19:19:50:922,3.93,0.05,-0.77
19:19:50:932,3.93,0.10,-0.72
19:19:50:942,3.89,-0.01,-0.75
19:19:50:954,3.90,0.03,-0.76
19:19:50:972,3.89,0.01,-0.80
19:19:51:2,3.89,0.03,-0.79
19:19:51:27,3.90,0.01,-0.78
19:19:51:52,3.90,0.05,-0.75
19:19:51:132,3.90,0.04,-0.75
19:19:51:144,3.90,0.04,-0.77
19:19:51:145,3.89,0.02,-0.78
