16:43:5:395,3.82,0.84,-0.47
16:43:5:411,3.82,0.84,-0.47
16:43:5:436,3.83,0.86,-0.42
16:43:5:463,3.79,0.84,-0.49
16:43:5:524,3.83,0.84,-0.49
16:43:5:540,3.82,0.86,-0.46
16:43:5:549,3.79,0.83,-0.46
16:43:5:554,3.82,0.82,-0.47
16:43:5:573,3.81,0.83,-0.47
16:43:5:633,3.81,0.84,-0.49
16:43:5:663,3.81,0.84,-0.48
16:43:5:713,3.81,0.87,-0.50
16:43:5:723,3.82,0.85,-0.48
16:43:5:733,3.79,0.86,-0.44
16:43:5:755,3.80,0.81,-0.48
16:43:5:776,3.80,0.84,-0.45
16:43:5:783,3.78,0.84,-0.43
16:43:5:793,3.81,0.81,-0.45
16:43:5:813,3.82,0.83,-0.43
16:43:5:908,3.81,0.83,-0.45
16:43:5:943,3.82,0.81,-0.45
16:43:5:963,3.82,0.81,-0.48
16:43:5:963,3.80,0.82,-0.47
16:43:5:973,3.79,0.83,-0.44
16:43:5:983,3.80,0.82,-0.45
16:43:5:995,3.79,0.83,-0.49
16:43:6:3,3.83,0.83,-0.43
16:43:6:95,3.77,0.86,-0.49
16:43:6:115,3.81,0.84,-0.46
16:43:6:137,3.83,0.83,-0.44
16:43:6:137,3.82,0.82,-0.47
16:43:6:143,3.84,0.85,-0.46
16:43:6:155,3.80,0.86,-0.44
16:43:6:254,3.81,0.85,-0.37
16:43:6:264,3.83,0.85,-0.44
16:43:6:283,3.83,0.87,-0.43
16:43:6:293,3.81,0.89,-0.41
16:43:6:298,3.80,0.84,-0.42
16:43:6:323,3.82,0.86,-0.45
16:43:6:343,3.81,0.88,-0.46
16:43:6:355,3.82,0.86,-0.43
16:43:6:383,3.82,0.87,-0.49
16:43:6:433,3.81,0.86,-0.47
16:43:6:464,3.83,0.86,-0.47
16:43:6:475,3.81,0.81,-0.47
16:43:6:503,3.83,0.84,-0.46
16:43:6:508,3.82,0.86,-0.43
16:43:6:515,3.77,0.83,-0.44
16:43:6:555,3.80,0.81,-0.47
16:43:6:588,3.79,0.83,-0.45
16:43:6:613,3.84,0.87,-0.46
16:43:6:624,3.82,0.85,-0.51
16:43:6:633,3.83,0.83,-0.48
16:43:6:693,3.82,0.85,-0.47
16:43:6:707,3.79,0.82,-0.48
16:43:6:709,3.79,0.81,-0.45
16:43:6:724,3.82,0.85,-0.46
16:43:6:783,3.80,0.83,-0.47
16:43:6:793,3.79,0.84,-0.46
16:43:6:793,3.80,0.83,-0.48
16:43:6:853,3.79,0.87,-0.52
16:43:6:859,3.80,0.86,-0.45
16:43:6:873,3.79,0.85,-0.49
16:43:6:905,3.82,0.89,-0.48
16:43:6:965,3.81,0.87,-0.48
16:43:6:993,3.80,0.88,-0.47
16:43:7:24,3.82,0.86,-0.49
16:43:7:53,3.82,0.87,-0.44
16:43:7:75,3.80,0.87,-0.47
16:43:7:93,3.81,0.85,-0.45
16:43:7:147,3.83,0.86,-0.45
16:43:7:164,3.81,0.84,-0.45
16:43:7:188,3.82,0.85,-0.45
16:43:7:193,3.80,0.85,-0.48
16:43:7:213,3.79,0.87,-0.47
16:43:7:223,3.84,0.84,-0.50
16:43:7:223,3.76,0.84,-0.47
16:43:7:234,3.85,0.85,-0.50
16:43:7:265,3.81,0.86,-0.49
16:43:7:329,3.78,0.83,-0.47
16:43:7:353,3.80,0.82,-0.47
16:43:7:365,3.80,0.84,-0.49
16:43:7:384,3.83,0.87,-0.48
16:43:7:394,3.80,0.86,-0.50
16:43:7:403,3.81,0.83,-0.51
16:43:7:435,3.80,0.85,-0.51
16:43:7:453,3.82,0.86,-0.51
16:43:7:523,3.81,0.85,-0.48
16:43:7:536,3.79,0.83,-0.49
16:43:7:543,3.78,0.83,-0.49
16:43:7:553,3.79,0.85,-0.52
16:43:7:565,3.82,0.87,-0.47
16:43:7:596,3.82,0.85,-0.45
16:43:7:685,3.81,0.86,-0.48
16:43:7:693,3.78,0.87,-0.48
16:43:7:713,3.81,0.86,-0.50
16:43:7:733,3.81,0.87,-0.47
16:43:7:733,3.81,0.89,-0.49
16:43:7:744,3.82,0.88,-0.46
16:43:7:765,3.82,0.87,-0.48
16:43:7:793,3.76,0.84,-0.51
