17:23:27:883,3.71,1.05,0.62
17:23:27:899,3.69,1.03,0.62
17:23:27:914,3.69,0.99,0.62
17:23:27:918,3.67,0.97,0.59
17:23:27:918,3.69,0.95,0.66
17:23:27:933,3.72,0.97,0.67
17:23:27:952,3.72,1.01,0.64
17:23:27:984,3.72,0.99,0.67
17:23:28:19,3.70,0.98,0.68
17:23:28:19,3.71,0.96,0.68
17:23:28:22,3.70,0.93,0.66
17:23:28:22,3.73,0.93,0.65
17:23:28:38,3.72,0.96,0.63
17:23:28:38,3.70,0.97,0.65
17:23:28:57,3.69,0.94,0.65
17:23:28:73,3.70,0.92,0.63
17:23:28:88,3.70,0.93,0.64
17:23:28:107,3.65,0.96,0.59
17:23:28:161,3.68,0.95,0.60
17:23:28:177,3.74,0.99,0.57
17:23:28:197,3.67,0.97,0.56
17:23:28:212,3.68,1.00,0.59
17:23:28:212,3.68,0.98,0.61
17:23:28:252,3.74,0.99,0.60
17:23:28:269,3.69,1.00,0.59
17:23:28:306,3.64,1.04,0.56
17:23:28:329,3.55,1.05,0.56
17:23:28:379,3.62,1.05,0.58
17:23:28:406,3.62,1.00,0.60
17:23:28:412,3.65,0.99,0.61
17:23:28:441,3.70,1.00,0.66
17:23:28:446,3.70,0.96,0.65
17:23:28:465,3.69,0.98,0.67
17:23:28:471,3.71,1.02,0.68
17:23:28:490,3.75,1.01,0.69
17:23:28:561,3.75,0.93,0.65
17:23:28:583,3.68,0.96,0.69
17:23:28:591,3.68,0.97,0.74
17:23:28:604,3.77,0.88,0.75
17:23:28:616,3.77,0.82,0.72
17:23:28:631,3.71,0.87,0.73
17:23:28:636,3.64,0.88,0.78
17:23:28:644,3.73,0.71,0.75
17:23:28:665,3.71,0.66,0.72
17:23:28:724,3.70,0.77,0.77
17:23:28:736,3.72,0.82,0.72
17:23:28:751,3.77,0.70,0.61
17:23:28:766,3.71,0.72,0.60
17:23:28:777,3.66,0.82,0.58
17:23:28:811,3.63,0.87,0.58
17:23:28:816,3.60,0.84,0.51
17:23:28:826,3.67,0.83,0.54
17:23:28:842,3.73,0.93,0.52
17:23:28:871,3.70,1.00,0.53
17:23:28:926,3.68,1.03,0.55
17:23:28:972,3.71,0.98,0.51
17:23:29:2,3.68,0.96,0.50
17:23:29:7,3.71,1.05,0.46
17:23:29:96,3.72,1.10,0.47
17:23:29:111,3.74,1.03,0.46
17:23:29:163,3.67,0.97,0.43
17:23:29:191,3.66,1.00,0.50
17:23:29:206,3.57,1.10,0.52
17:23:29:213,3.58,1.13,0.49
17:23:29:233,3.56,1.12,0.50
17:23:29:281,3.64,1.21,0.51
17:23:29:311,3.71,1.27,0.54
17:23:29:326,3.59,1.26,0.53
17:23:29:336,3.67,1.28,0.54
17:23:29:341,3.77,1.36,0.56
17:23:29:356,3.82,1.37,0.63
17:23:29:361,3.73,1.31,0.63
17:23:29:361,3.67,1.26,0.66
17:23:29:461,3.51,1.32,0.81
17:23:29:481,3.41,1.30,0.90
17:23:29:487,3.49,1.23,0.94
17:23:29:501,3.54,1.16,0.87
17:23:29:541,3.63,1.26,0.85
17:23:29:625,3.62,1.38,1.03
17:23:29:651,3.54,1.22,0.92
17:23:29:661,3.50,1.29,0.88
17:23:29:682,3.61,1.51,0.90
17:23:29:682,3.58,1.63,0.90
17:23:29:682,3.59,1.67,0.84
17:23:29:729,3.74,1.54,0.86
17:23:29:736,3.98,1.43,0.88
17:23:29:741,3.98,1.24,0.84
17:23:29:782,3.89,1.30,0.75
17:23:29:811,4.27,1.36,0.97
17:23:29:823,4.49,1.00,0.62
17:23:29:831,4.61,1.01,0.49
17:23:29:851,3.98,1.01,0.81
17:23:29:862,3.13,0.72,0.86
17:23:29:882,2.84,0.58,0.70
17:23:29:891,2.89,0.65,0.71
17:23:29:891,3.12,0.83,0.79
17:23:29:906,3.45,0.89,0.83
17:23:29:933,3.77,0.71,0.89
17:23:29:993,3.69,0.62,0.99
17:23:30:12,3.42,0.52,1.04
17:23:30:21,3.30,0.59,0.97
17:23:30:32,3.18,0.82,0.95
17:23:30:41,3.05,0.98,0.96
17:23:30:71,3.03,0.94,0.98
17:23:30:114,3.04,0.82,0.90
17:23:30:186,3.01,0.96,0.84
17:23:30:192,3.03,1.04,0.87
17:23:30:206,3.29,1.10,0.85
17:23:30:241,3.54,1.25,0.85
17:23:30:251,3.62,1.45,0.96
17:23:30:252,3.53,1.54,0.97
17:23:30:273,3.76,1.66,0.93
17:23:30:296,3.77,1.84,0.94
17:23:30:371,3.98,2.08,0.96
17:23:30:403,4.96,2.37,1.02
17:23:30:432,5.84,2.46,1.15
17:23:30:432,4.87,2.04,1.10
17:23:30:443,3.22,1.50,1.09
17:23:30:463,2.89,1.51,1.08
17:23:30:471,3.37,1.62,1.08
17:23:30:471,3.60,1.78,0.92
17:23:30:541,3.97,1.86,0.77
17:23:30:546,3.88,1.57,0.76
17:23:30:561,3.65,1.12,0.66
17:23:30:561,3.46,0.69,0.58
17:23:30:586,3.16,0.73,0.42
17:23:30:621,2.89,0.98,0.43
17:23:30:641,2.66,1.25,0.50
17:23:30:712,2.57,1.29,0.45
17:23:30:721,2.55,1.22,0.37
17:23:30:732,2.93,1.38,0.53
17:23:30:741,3.11,1.45,0.57
17:23:30:754,3.07,1.50,0.58
17:23:30:813,3.23,1.57,0.56
17:23:30:821,3.49,1.54,0.61
17:23:30:821,3.79,1.56,0.68
17:23:30:975,4.53,1.55,0.72
17:23:30:992,5.35,1.57,0.90
17:23:31:10,5.11,1.42,0.96
17:23:31:10,5.05,1.27,1.03
17:23:31:27,4.07,0.88,0.90
17:23:31:63,3.30,0.69,0.50
17:23:31:80,3.21,1.25,0.30
17:23:31:97,3.57,2.02,1.05
17:23:31:97,3.06,2.00,1.28
17:23:31:131,2.83,1.37,0.95
17:23:31:148,3.29,0.88,1.18
17:23:31:148,3.46,0.36,1.05
17:23:31:167,3.15,0.15,0.71
17:23:31:183,2.97,0.43,0.59
17:23:31:183,3.04,1.12,0.81
17:23:31:219,3.13,1.41,0.96
17:23:31:254,3.07,1.19,0.78
17:23:31:271,2.94,1.11,0.69
17:23:31:288,2.59,1.31,0.77
17:23:31:306,2.62,1.48,1.05
17:23:31:340,2.86,1.12,0.91
17:23:31:426,3.42,1.09,0.75
17:23:31:477,4.00,1.32,0.77
17:23:31:495,4.50,1.59,0.72
17:23:31:530,4.69,1.72,0.89
17:23:31:547,4.71,1.50,0.98
17:23:31:599,5.00,1.34,0.77
17:23:31:616,5.49,1.98,0.92
17:23:31:633,5.31,2.54,1.34
17:23:31:633,4.62,2.35,1.61
17:23:31:650,3.68,1.73,1.59
17:23:31:667,3.05,1.48,1.46
17:23:31:685,3.07,1.51,1.29
17:23:31:685,3.16,1.26,0.87
17:23:31:702,3.62,1.49,0.73
17:23:31:702,4.04,1.64,0.73
17:23:31:720,4.05,1.47,0.67
17:23:31:737,3.77,1.12,0.61
17:23:31:788,3.48,0.79,0.32
17:23:31:805,3.16,0.77,0.21
17:23:31:805,2.88,0.86,0.22
17:23:31:841,2.74,0.95,0.19
17:23:31:841,2.72,1.07,0.15
17:23:31:889,2.77,1.13,0.14
17:23:31:908,2.76,1.11,0.19
17:23:31:941,3.06,1.02,0.22
17:23:31:976,3.52,0.93,0.11
17:23:31:993,4.03,0.94,0.12
17:23:31:993,4.52,1.16,0.51
17:23:32:10,4.52,1.11,0.67
17:23:32:44,4.82,0.89,0.55
17:23:32:76,4.40,0.71,0.57
17:23:32:112,3.65,0.75,0.68
17:23:32:180,3.56,0.99,0.69
17:23:32:197,3.56,1.32,1.02
17:23:32:214,3.65,1.58,1.33
17:23:32:214,3.71,1.66,1.39
17:23:32:248,3.73,1.65,1.46
17:23:32:265,3.72,1.33,1.42
17:23:32:265,3.57,1.00,1.14
17:23:32:349,3.24,1.03,1.07
17:23:32:383,3.12,1.27,1.37
17:23:32:399,3.17,1.03,1.24
17:23:32:400,2.95,0.93,0.95
17:23:32:400,2.67,0.95,0.86
17:23:32:434,2.69,1.26,0.94
17:23:32:451,2.96,1.53,0.94
17:23:32:468,3.24,1.61,0.95
17:23:32:502,3.52,1.43,0.76
17:23:32:570,4.02,1.39,0.63
17:23:32:587,4.71,1.52,0.63
17:23:32:587,5.44,1.67,0.83
17:23:32:604,5.57,1.51,0.83
17:23:32:622,5.33,1.47,0.88
17:23:32:622,4.69,1.94,1.37
17:23:32:656,3.74,2.28,1.64
17:23:32:690,3.26,2.14,1.43
17:23:32:708,3.64,1.56,1.00
17:23:32:708,3.80,1.15,0.68
17:23:32:759,3.92,0.87,0.61
17:23:32:759,3.97,1.04,0.62
17:23:32:845,3.79,1.03,0.63
17:23:32:861,3.41,0.93,0.58
17:23:32:861,2.97,0.79,0.40
17:23:32:878,2.75,0.86,0.29
17:23:32:895,2.70,1.10,0.40
17:23:32:895,2.61,1.23,0.44
17:23:32:944,2.47,1.14,0.34
17:23:32:962,2.58,0.90,0.30
17:23:32:980,2.88,0.85,0.39
17:23:33:31,3.16,0.85,0.44
17:23:33:31,3.71,1.00,0.55
17:23:33:49,4.36,1.08,0.65
17:23:33:65,4.63,1.12,0.72
17:23:33:100,4.61,1.14,0.81
17:23:33:117,4.85,0.96,0.87
17:23:33:151,5.10,0.62,0.42
17:23:33:167,4.16,0.85,0.46
17:23:33:202,3.32,1.40,0.72
17:23:33:234,3.97,1.62,1.05
17:23:33:235,3.75,1.61,1.15
17:23:33:270,3.48,1.66,1.18
17:23:33:287,3.34,1.70,1.20
17:23:33:320,3.04,1.40,1.35
17:23:33:337,2.80,0.82,1.02
17:23:33:372,2.70,0.54,0.87
17:23:33:422,2.79,0.85,0.90
17:23:33:439,2.96,1.25,0.84
17:23:33:439,3.18,1.50,0.97
17:23:33:456,3.14,1.34,0.93
17:23:33:492,2.83,1.16,0.74
17:23:33:508,3.05,1.25,0.79
17:23:33:579,3.37,1.39,0.76
17:23:33:579,3.91,1.47,0.79
17:23:33:597,4.34,1.41,0.70
17:23:33:614,4.43,1.45,0.62
17:23:33:631,4.47,1.50,0.66
17:23:33:648,5.06,1.64,0.79
17:23:33:682,5.58,1.97,1.10
17:23:33:700,4.60,2.26,1.29
17:23:33:733,3.42,2.45,1.09
17:23:33:784,3.33,2.42,1.14
17:23:33:802,3.52,1.89,1.29
17:23:33:818,3.70,1.35,1.01
17:23:33:818,3.92,1.05,0.69
17:23:33:835,3.73,1.04,0.68
17:23:33:870,3.26,1.00,0.61
17:23:33:882,3.00,1.05,0.61
17:23:33:934,2.89,1.13,0.52
17:23:33:951,2.84,1.20,0.42
17:23:33:969,2.80,1.29,0.36
17:23:33:985,2.70,1.22,0.46
17:23:34:18,2.71,1.06,0.45
17:23:34:35,2.78,0.83,0.31
17:23:34:54,3.05,0.85,0.19
17:23:34:88,3.64,1.07,0.41
17:23:34:173,4.22,1.25,0.71
17:23:34:226,4.60,1.18,0.71
17:23:34:243,4.54,0.98,0.52
17:23:34:243,4.77,0.89,0.57
17:23:34:312,5.28,0.87,0.78
17:23:34:363,4.13,0.78,0.52
17:23:34:363,3.27,1.07,0.45
17:23:34:379,3.59,1.57,0.93
17:23:34:379,3.85,1.96,1.23
17:23:34:414,3.86,1.87,1.25
17:23:34:430,3.78,1.65,1.44
17:23:34:430,3.16,0.98,1.20
17:23:34:463,2.75,0.38,0.99
17:23:34:497,2.65,0.45,1.01
17:23:34:497,2.70,0.88,1.00
17:23:34:514,2.82,1.14,0.95
17:23:34:549,3.05,1.23,0.90
17:23:34:549,3.03,1.14,0.85
17:23:34:566,2.81,1.13,0.82
17:23:34:582,2.87,1.20,0.73
17:23:34:599,3.20,1.21,0.60
17:23:34:651,3.75,1.33,0.59
17:23:34:686,4.25,1.36,0.55
17:23:34:686,4.47,1.53,0.60
17:23:34:702,4.73,1.75,0.64
17:23:34:702,4.64,1.82,0.86
17:23:34:720,4.62,1.87,0.91
17:23:34:772,4.92,2.13,1.06
17:23:34:839,4.78,2.66,1.44
17:23:34:855,4.22,2.86,1.57
17:23:34:889,3.68,2.34,1.22
17:23:34:889,3.69,1.59,0.93
17:23:34:906,3.77,1.04,0.84
17:23:34:906,3.95,0.92,0.83
17:23:34:922,3.78,0.94,0.74
17:23:34:941,3.38,0.91,0.72
17:23:34:958,3.08,0.99,0.67
17:23:34:992,3.06,1.00,0.54
17:23:35:77,3.05,0.97,0.37
17:23:35:94,2.87,1.09,0.28
17:23:35:112,2.62,1.20,0.17
17:23:35:128,2.49,1.36,0.32
17:23:35:128,2.61,1.36,0.47
17:23:35:214,2.76,1.19,0.36
17:23:35:265,3.11,1.08,0.21
17:23:35:266,3.61,1.18,0.31
17:23:35:266,3.90,1.27,0.42
17:23:35:283,4.01,1.35,0.49
17:23:35:299,4.00,1.31,0.58
17:23:35:317,4.31,1.38,0.66
17:23:35:334,5.38,1.42,0.83
17:23:35:401,5.39,1.23,0.89
17:23:35:418,3.87,0.95,0.70
17:23:35:418,3.40,1.28,0.81
17:23:35:435,3.65,1.77,1.41
17:23:35:435,3.33,1.74,1.63
17:23:35:487,3.54,1.68,1.49
17:23:35:572,3.47,1.61,1.53
17:23:35:588,3.32,0.64,1.01
17:23:35:588,2.85,-0.16,0.59
17:23:35:621,2.81,0.14,0.86
17:23:35:639,2.99,0.79,1.04
17:23:35:639,3.18,1.21,1.05
17:23:35:656,2.97,1.35,0.84
17:23:35:673,2.77,1.29,0.75
17:23:35:758,3.11,1.49,0.83
17:23:35:775,3.25,1.40,0.65
17:23:35:775,3.49,1.46,0.52
17:23:35:775,3.92,1.55,0.46
17:23:35:808,4.22,1.67,0.47
17:23:35:808,4.09,1.83,0.54
17:23:35:825,3.97,1.96,0.52
17:23:35:825,4.17,2.18,0.44
17:23:35:842,5.04,2.56,0.78
17:23:35:859,5.64,2.67,1.22
17:23:35:893,4.59,2.58,1.31
17:23:35:944,4.02,2.43,1.33
17:23:35:944,3.99,2.05,1.19
17:23:35:961,3.87,1.37,0.98
17:23:35:978,4.13,1.09,0.93
17:23:36:13,4.19,0.96,0.90
17:23:36:29,3.87,0.74,0.89
17:23:36:116,3.48,0.54,0.79
17:23:36:116,3.31,0.54,0.69
17:23:36:184,3.20,0.63,0.56
17:23:36:184,3.04,0.74,0.44
17:23:36:202,2.87,0.98,0.34
17:23:36:202,2.75,1.22,0.37
17:23:36:218,2.80,1.31,0.44
17:23:36:252,3.09,1.12,0.37
17:23:36:321,3.35,0.88,0.25
17:23:36:339,3.33,0.74,0.25
17:23:36:373,3.51,0.78,0.52
17:23:36:424,4.12,0.78,0.72
17:23:36:475,3.69,0.46,0.36
17:23:36:527,3.99,0.40,0.29
17:23:36:560,4.98,0.73,0.76
17:23:36:647,5.18,0.71,0.42
17:23:36:698,5.35,1.12,0.84
17:23:36:749,3.72,1.31,1.36
17:23:36:749,2.75,1.34,1.54
17:23:36:766,2.97,1.40,1.71
17:23:36:836,3.49,1.48,1.73
17:23:36:853,3.79,1.24,1.36
17:23:36:853,3.63,0.83,0.72
17:23:36:888,3.76,0.60,0.57
17:23:36:905,3.95,0.62,0.90
17:23:36:928,3.83,0.80,1.00
17:23:36:933,3.55,1.08,1.08
17:23:36:935,3.58,1.51,1.50
17:23:37:18,3.42,1.63,1.53
17:23:37:52,2.97,1.45,1.16
17:23:37:122,2.88,1.52,1.11
17:23:37:208,3.21,1.61,1.29
17:23:37:226,3.53,1.22,1.32
17:23:37:245,3.33,0.68,0.88
17:23:37:262,3.17,0.72,0.88
17:23:37:282,3.48,0.99,0.74
17:23:37:334,5.40,1.68,1.11
17:23:37:355,6.24,1.90,1.46
17:23:37:565,3.38,1.47,0.79
17:23:37:585,2.89,1.13,0.82
17:23:37:603,3.55,0.57,0.98
17:23:37:603,4.17,0.27,0.75
17:23:37:637,4.98,0.48,0.75
17:23:37:740,4.73,0.67,0.70
17:23:37:740,3.99,0.25,0.58
17:23:37:740,3.47,-0.09,0.77
17:23:37:881,3.40,-0.28,0.69
17:23:37:881,3.52,-0.13,0.38
17:23:37:881,3.21,0.12,0.00
17:23:37:968,3.40,0.38,-0.39
17:23:37:968,4.03,0.67,-0.26
17:23:38:1,3.83,0.78,-0.12
17:23:38:86,3.93,0.64,-0.32
17:23:38:138,3.35,0.36,-0.72
17:23:38:189,3.22,0.61,-0.66
17:23:38:189,3.61,0.43,-0.41
17:23:38:293,3.37,0.16,-0.71
17:23:38:293,3.70,0.96,-0.55
17:23:38:293,3.85,1.67,-0.35
17:23:38:293,3.97,2.22,0.03
17:23:38:293,4.12,2.26,0.52
17:23:38:293,4.20,1.45,1.06
17:23:38:293,3.99,0.52,1.67
17:23:38:327,4.95,-1.91,3.71
17:23:38:327,3.92,2.04,3.50
17:23:38:489,4.33,3.17,2.74
17:23:38:644,3.70,2.47,1.11
