14:32:24:229,3.93,0.89,0.02
14:32:24:249,3.95,0.86,0.06
14:32:24:319,3.96,0.78,0.05
14:32:24:319,3.93,0.73,-0.02
14:32:24:319,3.90,0.71,-0.03
14:32:24:338,3.85,0.76,-0.07
14:32:24:460,3.79,0.78,-0.08
14:32:24:501,3.74,0.78,-0.12
14:32:24:518,3.72,0.80,-0.12
14:32:24:537,3.75,0.77,-0.16
14:32:24:567,3.74,0.74,-0.14
14:32:24:572,3.77,0.72,-0.20
14:32:24:578,3.77,0.76,-0.18
14:32:24:607,3.78,0.83,-0.20
14:32:24:632,3.80,0.82,-0.23
14:32:24:667,3.80,0.83,-0.27
14:32:24:687,3.79,0.87,-0.25
14:32:24:707,3.77,0.87,-0.20
14:32:24:707,3.77,0.89,-0.20
14:32:24:712,3.77,0.88,-0.14
14:32:24:734,3.76,0.86,-0.13
14:32:24:737,3.76,0.87,-0.14
14:32:24:747,3.79,0.91,-0.13
14:32:24:807,3.78,0.89,-0.04
14:32:24:837,3.83,0.92,-0.06
14:32:24:842,3.84,0.91,-0.06
14:32:24:847,3.84,0.94,-0.00
14:32:24:857,3.87,0.95,-0.02
14:32:24:887,3.86,0.91,-0.03
14:32:24:897,3.86,0.88,-0.02
14:32:24:917,3.87,0.87,-0.05
14:32:24:947,3.84,0.90,-0.05
14:32:24:962,3.81,0.92,-0.06
14:32:25:7,3.81,0.93,-0.02
14:32:25:77,3.80,0.90,-0.06
14:32:25:172,3.76,0.86,-0.06
14:32:25:217,3.75,0.85,-0.12
14:32:25:227,3.76,0.85,-0.10
14:32:25:239,3.78,0.86,-0.12
14:32:25:259,3.80,0.83,-0.11
14:32:25:299,3.80,0.82,-0.12
14:32:25:347,3.75,0.81,-0.14
14:32:25:377,3.76,0.84,-0.12
14:32:25:399,3.75,0.86,-0.11
14:32:25:419,3.78,0.83,-0.11
14:32:25:438,3.77,0.82,-0.12
14:32:25:447,3.78,0.82,-0.11
14:32:25:447,3.79,0.87,-0.12
14:32:25:499,3.80,0.80,-0.11
14:32:25:562,3.82,0.82,-0.07
14:32:25:582,3.81,0.84,-0.06
14:32:25:599,3.79,0.87,-0.04
14:32:25:638,3.82,0.85,-0.04
14:32:25:647,3.83,0.85,-0.05
14:32:25:658,3.83,0.84,-0.04
14:32:25:707,3.81,0.85,-0.03
14:32:25:777,3.83,0.89,-0.05
14:32:25:777,3.82,0.90,-0.04
14:32:25:789,3.82,0.92,-0.08
14:32:25:808,3.82,0.93,-0.07
14:32:25:808,3.79,0.92,-0.07
14:32:25:837,3.79,0.90,-0.11
14:32:25:838,3.82,0.89,-0.12
14:32:25:887,3.83,0.90,-0.12
14:32:25:917,3.81,0.91,-0.10
14:32:25:923,3.80,0.88,-0.11
14:32:25:939,3.81,0.89,-0.11
14:32:25:967,3.79,0.89,-0.11
14:32:26:7,3.80,0.88,-0.11
14:32:26:7,3.80,0.87,-0.14
14:32:26:17,3.81,0.85,-0.14
14:32:26:39,3.80,0.84,-0.13
14:32:26:67,3.80,0.84,-0.11
14:32:26:102,3.81,0.82,-0.11
14:32:26:112,3.82,0.83,-0.10
14:32:26:117,3.84,0.84,-0.14
14:32:26:132,3.80,0.83,-0.12
14:32:26:177,3.80,0.83,-0.12
14:32:26:217,3.82,0.83,-0.10
14:32:26:269,3.82,0.81,-0.11
14:32:26:282,3.81,0.81,-0.10
14:32:26:317,3.81,0.84,-0.11
14:32:26:322,3.81,0.87,-0.13
14:32:26:328,3.82,0.86,-0.10
14:32:26:369,3.83,0.86,-0.12
14:32:26:377,3.82,0.85,-0.14
14:32:26:382,3.81,0.86,-0.10
14:32:26:440,3.81,0.88,-0.13
14:32:26:467,3.81,0.87,-0.11
14:32:26:477,3.82,0.86,-0.11
14:32:26:490,3.82,0.87,-0.12
14:32:26:490,3.83,0.88,-0.07
14:32:26:517,3.81,0.89,-0.10
14:32:26:540,3.83,0.86,-0.12
14:32:26:548,3.82,0.86,-0.18
14:32:26:641,3.80,0.85,-0.09
14:32:26:657,3.78,0.90,-0.09
14:32:26:668,3.77,0.87,-0.11
14:32:26:677,3.81,0.85,-0.12
14:32:26:717,3.79,0.87,-0.14
14:32:26:727,3.79,0.87,-0.14
14:32:26:742,3.79,0.86,-0.11
14:32:26:850,3.82,0.88,-0.12
14:32:26:877,3.80,0.82,-0.13
14:32:26:897,3.79,0.82,-0.11
14:32:26:957,3.81,0.83,-0.13
14:32:26:981,3.81,0.85,-0.11
14:32:26:997,3.79,0.87,-0.09
14:32:26:997,3.80,0.85,-0.14
14:32:27:56,3.81,0.85,-0.13
14:32:27:56,3.82,0.84,-0.14
14:32:27:56,3.80,0.86,-0.12
14:32:27:108,3.81,0.88,-0.10
14:32:27:124,3.80,0.87,-0.12
14:32:27:141,3.79,0.86,-0.10
14:32:27:210,3.80,0.86,-0.09
14:32:27:225,3.80,0.86,-0.09
14:32:27:225,3.83,0.85,-0.08
14:32:27:241,3.82,0.87,-0.05
14:32:27:257,3.80,0.84,-0.09
14:32:27:274,3.82,0.87,-0.07
14:32:27:274,3.82,0.86,-0.07
14:32:27:291,3.81,0.87,-0.07
14:32:27:340,3.82,0.84,-0.08
14:32:27:410,3.82,0.85,-0.09
14:32:27:427,3.81,0.85,-0.10
14:32:27:497,3.81,0.87,-0.09
14:32:27:585,3.83,0.85,-0.13
14:32:27:585,3.82,0.84,-0.13
14:32:27:635,3.82,0.81,-0.16
14:32:27:734,3.85,0.82,-0.16
14:32:27:751,3.81,0.80,-0.12
14:32:27:769,3.81,0.81,-0.14
14:32:27:807,3.79,0.75,-0.12
14:32:27:824,3.79,0.76,-0.10
14:32:27:912,3.75,0.76,-0.09
14:32:27:930,3.80,0.75,-0.07
14:32:27:947,3.87,0.67,-0.10
14:32:27:947,3.90,0.35,-0.31
14:32:27:947,3.90,-0.05,-0.62
14:32:27:964,3.91,-0.26,-0.76
14:32:27:964,3.71,-0.20,-0.96
14:32:27:964,3.58,0.29,-0.88
14:32:27:964,3.64,0.72,-0.66
14:32:28:0,3.70,0.92,-0.52
14:32:28:0,3.72,1.01,-0.43
14:32:28:0,3.71,1.10,-0.33
14:32:28:17,3.64,1.14,-0.11
14:32:28:17,3.52,1.09,0.14
14:32:28:53,3.44,1.08,0.23
14:32:28:53,3.51,1.06,0.24
14:32:28:53,3.79,1.15,0.23
14:32:28:53,4.32,1.47,0.35
14:32:28:70,4.75,1.91,0.49
14:32:28:123,4.81,2.38,0.43
14:32:28:157,4.63,2.51,0.27
14:32:28:192,4.41,2.36,0.31
14:32:28:261,4.28,2.32,0.33
14:32:28:261,4.10,2.15,0.32
